family,ligand_id,x,y,z,cluster,kept
Donor,4BDT_HUW_A701,89.82,84.471,-11.322,0,0
Donor,4BDT_HUW_A701,92.145,81.149,-5.235,1,1
Donor,4EY5_HUP_A604,93.999,80.83,-10.324,0,0
Donor,4EY5_HUP_A604,92.293,81.736,-5.954,1,1
Donor,4EY6_GNT_A604,91.654,82.99,-5.179,1,1
Donor,4EY6_GNT_A604,91.856,80.931,-11.616,0,0
Donor,4M0F_1YK_B605,90.611,84.836,-6.545,1,1
Donor,4M0F_1YK_B605,91.93,83.165,-7.702,1,1
Donor,6O4W_E20_A604,90.096,81.336,-5.883,1,1
Donor,6O4X_AA_B603,92.423,81.858,-5.976,1,1
Donor,7D9O_H0L_B601,89.783,81.704,-6.061,1,1
Donor,7D9P_H0R_A601,89.907,81.803,-5.915,1,1
Donor,7D9Q_H1R_B601,89.945,81.709,-6.064,1,1
Donor,7XN1_THA_A601,89.272,78.353,-7.206,1,1
Acceptor,4BDT_HUW_A701,89.82,84.471,-11.322,4,0
Acceptor,4EY5_HUP_A604,96.209,81.16,-10.799,2,0
Acceptor,4EY6_GNT_A604,89.677,81.509,-9.695,7,0
Acceptor,4EY6_GNT_A604,88.149,83.986,-10.515,4,0
Acceptor,4EY6_GNT_A604,91.856,80.931,-11.616,2,0
Acceptor,4M0E_1YL_B605,85.539,89.292,-3.673,3,1
Acceptor,4M0E_1YL_B605,85.517,87.05,-5.152,3,1
Acceptor,4M0E_1YL_B605,89.763,85.425,-3.542,5,0
Acceptor,4M0F_1YK_B605,86.334,86.555,-5.507,3,1
Acceptor,4M0F_1YK_B605,85.811,91.388,-1.096,6,0
Acceptor,4M0F_1YK_B605,87.666,91.867,0.89,6,0
Acceptor,4M0F_1YK_B605,89.863,90.3,1.098,1,0
Acceptor,4M0F_1YK_B605,90.362,84.572,-3.948,5,0
Acceptor,4M0F_1YK_B605,90.611,84.836,-6.545,0,0
Acceptor,4M0F_1YK_B605,88.994,84.395,-8.871,4,0
Acceptor,4M0F_1YK_B605,91.93,83.165,-7.702,0,0
Acceptor,6O4W_E20_A604,85.834,87.163,-5.13,3,1
Acceptor,6O4W_E20_A604,86.829,91.127,-1.403,6,0
Acceptor,6O4W_E20_A604,89.265,90.381,-0.433,1,0
Acceptor,6O50_EBW_A601,86.92,86.474,-6.05,3,1
Acceptor,7D9O_H0L_B601,88.487,83.891,-7.151,0,0
