het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
HI6,c1cc[n+](c(c1)\C=N\O)COC[n+]2ccc(cc2)C(=O)N,[NH-]C(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,7.4,2,4.28;6.47,pkasolver
VX,CCO[P@](=O)(C)O,CCO[P@@](C)(=O)[O-],7.4,1,3.89,pkasolver
DEP,CCOP(=O)OCC,CCO[PH](=O)OCC,7.4,0,,pkasolver:no_ionizable
LND,c1c[n+](ccc1C(=O)N)CCCn2ccnc2/C=N/O,NC(=O)c1cc[n+](CCCn2ccnc2/C=N/O)cc1,7.4,2,5.30;7.93,pkasolver
MG,[Mg+2],[Mg+2],7.4,0,,pkasolver:no_ionizable
3VI,c1c(cc[n+](c1)C[n+]2ccc(cc2)/C=N/O)/C=N/O,O/N=C/c1cc[n+](C[n+]2ccc(/C=N/O)cc2)cc1,7.4,0,,pkasolver:no_ionizable
E20,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3CCN(CC3)Cc4ccccc4,COc1cc2c(cc1OC)C(=O)[C@H](CC1CC[NH+](Cc3ccccc3)CC1)C2,7.4,1,9.02,pkasolver
L0S,CCN(CC)/C(=N/[P@@](=O)(C)OC)/C,CCN(CC)/C(C)=N/[P@](C)(=O)OC,7.4,1,5.64,pkasolver
NWA,CC(CCC[N+](C)(C)C)(O)O,CC(O)(O)CCC[N+](C)(C)C,7.4,2,9.47;9.51,pkasolver
EBW,C[N+](C)(CC=C)c1ccc(cc1)CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,7.4,0,,pkasolver:no_ionizable
EFS,CCOP(=O)(O)O,CCOP(=O)([O-])[O-],7.4,1,2.57,pkasolver
ELT,CCOP(=O)(N(C)C)O,CCOP(=O)(O)N(C)C,7.4,1,3.38,pkasolver
L1M,CCN(CC)/C(=N/[P@H](=O)OCC)/C,CCO[P@@H](=O)/N=C(\C)N(CC)CC,7.4,1,5.92,pkasolver
L2Y,CCN(CC)/C(=N/[P@](=O)(C)F)/C,CCN(CC)/C(C)=N/[P@@](C)(=O)F,7.4,1,5.33,pkasolver
PQV,C1CCCN(CC1)CCNC(=O)/C=N/O,O=C(/C=N/O)NCC[NH+]1CCCCCC1,7.4,3,7.39;8.68;8.85,pkasolver
UCJ,CC(C)OP(=O)(C)O,CC(C)OP(C)(=O)[O-],7.4,1,3.95,pkasolver
UCY,CC1(CCC[C@@H]1O[P@H](=O)C)C,C[P@@H](=O)O[C@H]1CCCC1(C)C,7.4,0,,pkasolver:no_ionizable
ZN,[Zn+2],[Zn+2],7.4,0,,pkasolver:no_ionizable
1YK,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)c5cc(c(c(c5)OC)OC)OC)O)(C(=O)C=CC3(C)C)C)O,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC,7.4,2,7.97;8.26,pkasolver
1YL,Cc1cccc2c1ccc3c2C(=O)C(=O)C4=C3OC[C@@H]4C,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,7.4,0,,pkasolver:no_ionizable
4IX,c1cc(c(nc1CCCn2cc(nn2)CCCCO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)/C=N\O)O,OC[C@H]1O[C@@H](OCCCCc2cn(CCCc3ccc(O)c(/C=N\O)n3)nn2)[C@H](O)[C@@H](O)[C@@H]1O,7.4,5,5.14;7.08;8.85;9.04;9.47,pkasolver
4J1,c1cc(c(nc1CCCCn2cc(nn2)CCCCO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)/C=N\O)O,OC[C@H]1O[C@@H](OCCCCc2cn(CCCCc3ccc(O)c(/C=N\O)n3)nn2)[C@H](O)[C@@H](O)[C@@H]1O,7.4,4,5.11;7.16;8.90;9.09,pkasolver
A1AAJ,CC(=O)N[C@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O,CC(=O)N[C@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O,7.4,5,5.00;8.48;8.95;9.44;9.88,pkasolver
A1CD5,C1C[C@H](CN(C1)CCCNC(=O)/C=N/O)CCNC(=O)C=NO,O=C(C=NO)[NH2+]CC[C@@H]1CCC[NH+](CCC[NH2+]C(=O)/C=N/O)C1,7.4,4,7.62;7.89;8.86;8.87,pkasolver
A1CDA,C1C[C@@H](CN(C1)CCCNC(=O)/C=N/O)CCNC(=O)/C=N/O,O=C(/C=N/O)[NH2+]CCC[NH+]1CCC[C@H](CC[NH2+]C(=O)/C=N/O)C1,7.4,4,7.62;7.89;8.86;8.87,pkasolver
A1IAS,c1ccc2c(c1)c(ccn2)NCCCCc3ccc(c(n3)/C=N\O)O,O/N=C\c1nc(CCCCNc2cc[nH+]c3ccccc23)ccc1O,7.4,3,5.69;7.83;9.43,pkasolver
AA,c1ccc2c(c1)c(c3ccccc3[nH+]2)N,Nc1c2ccccc2[nH+]c2ccccc12,7.4,3,4.01;10.06;10.70,pkasolver
CVZ,CCN(CCCCCN1C(=CC(=O)N(C1=O)/C=C/CCCN(CC)Cc2ccccc2[N+](=O)[O-])C)Cc3ccccc3[N+](=O)[O-],CC[NH+](CCC/C=C/n1c(=O)cc(C)n(CCCCC[NH+](CC)Cc2ccccc2[N+](=O)[O-])c1=O)Cc1ccccc1[N+](=O)[O-],7.4,1,7.89,pkasolver
FP1,CN\1C=CC=C/C1=C/NO,C[NH+]1C=CC=C/C1=C/NO,7.4,2,5.18;7.49,pkasolver
GD8,C[C@H](C(C)(C)C)O[P@H](=O)C,C[C@@H](O[P@@H](C)=O)C(C)(C)C,7.4,0,,pkasolver:no_ionizable
GNT,C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[NH+](C)C2,7.4,2,8.24;8.59,pkasolver
H0L,COc1cc2c(cc1OC)C(=O)[C@H](C2)CC3(CCN(CC3)Cc4ccc(cc4)F)F,COc1cc2c(cc1OC)C(=O)[C@@H](CC1(F)CC[NH+](Cc3ccc(F)cc3)CC1)C2,7.4,1,7.72,pkasolver
H0R,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3(CCN(CC3)Cc4ccccc4F)F,COc1cc2c(cc1OC)C(=O)[C@H](CC1(F)CC[NH+](Cc3ccccc3F)CC1)C2,7.4,1,7.60,pkasolver
H1R,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3(CCN(CC3)Cc4cccc(c4)F)F,COc1cc2c(cc1OC)C(=O)[C@H](CC1(F)CC[NH+](Cc3cccc(F)c3)CC1)C2,7.4,1,7.65,pkasolver
HLO,c1c[n+](ccc1C(=O)N)COC[n+]2ccc(cc2\C=N\O)\C=N\O,[NH-]C(=O)c1cc[n+](COC[n+]2ccc(/C=N/O)cc2/C=N/O)cc1,7.4,2,4.54;6.49,pkasolver
HUP,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,C/C=C1\[C@H]2C=C(C)C[C@]1([NH3+])c1ccc(=O)[nH]c1C2,7.4,3,4.36;7.42;9.64,pkasolver
HUW,c1cc2c(cc1Cl)nc3c(c2N)[C@H]4C[C@@H](C3)C=C(C4)CCO,Nc1c2c([nH+]c3cc(Cl)ccc13)C[C@H]1C=C(CCO)C[C@@H]2C1,7.4,4,5.05;9.27;9.82;10.08,pkasolver
LWL,C[N+](C)(C)CC(=O)N/N=C/c1ccccn1,C[N+](C)(C)CC(=O)N/N=C/c1ccccn1,7.4,2,4.33;8.21,pkasolver
LWU,c1ccc(cc1)c2nc(cc(n2)C(O)O)CNNC(=O)C[n+]3ccccc3,O=C(C[n+]1ccccc1)NNCc1cc(C(O)O)nc(-c2ccccc2)n1,7.4,3,3.64;8.32;8.76,pkasolver
PQY,C1CN(CCN(C1)CCNC(=O)/C=N/O)CCNC(=O)/C=N/O,O=C(/C=N/O)NCC[NH+]1CCC[NH+](CCNC(=O)/C=N/O)CC1,7.4,5,7.07;7.24;8.05;8.43;8.59,pkasolver
QRH,c1ccc(cc1)P(CCCCCCNC(=O)/C=C/C=C/c2ccc3c(c2)OCO3)(c4ccccc4)c5ccccc5,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)NCCCCCC[PH](c1ccccc1)(c1ccccc1)c1ccccc1,7.4,2,6.57;7.89,pkasolver
THA,c1ccc2c(c1)c(c3c(n2)CCCC3)N,Nc1c2c([nH+]c3ccccc13)CCCC2,7.4,3,4.86;10.08;10.48,pkasolver
