het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
HI6,4-(AMINOCARBONYL)-1-[({2-[(E)-(HYDROXYIMINO)METHYL]PYRIDINIUM-1-YL}METHOXY)METHYL]PYRIDINIUM,ligand,False,11,22,6WVO,288.302,c1cc[n+](c(c1)\C=N\O)COC[n+]2ccc(cc2)C(=O)N
VX,O-ETHYLMETHYLPHOSPHONIC ACID ESTER GROUP,ligand,False,9,20,6CQZ,124.076,CCO[P@](=O)(C)O
DEP,DIETHYL PHOSPHONATE,ligand,False,8,16,5HF5,138.102,CCOP(=O)OCC
LND,4-carbamoyl-1-(3-{2-[(E)-(hydroxyimino)methyl]-1H-imidazol-1-yl}propyl)pyridin-1-ium,ligand,False,5,10,6O5V,274.298,c1c[n+](ccc1C(=O)N)CCCn2ccnc2/C=N/O
MG,MAGNESIUM ION,metal,True,5,51,9F6R,24.305,[Mg+2]
3VI,"1,1'-methylenebis{4-[(E)-(hydroxyimino)methyl]pyridin-1-ium}",ligand,False,3,6,8DT7,258.276,c1c(cc[n+](c1)C[n+]2ccc(cc2)/C=N/O)/C=N/O
E20,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",ligand,False,3,6,6O4W,379.492,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3CCN(CC3)Cc4ccccc4
L0S,methyl (R)-N-[(1E)-1-(diethylamino)ethylidene]-P-methylphosphonamidate,ligand,False,3,6,6NTK,206.222,CCN(CC)/C(=N/[P@@](=O)(C)OC)/C
NWA,"4,4-DIHYDROXY-N,N,N-TRIMETHYLPENTAN-1-AMINIUM",ligand,False,3,5,7RB6,162.25,CC(CCC[N+](C)(C)C)(O)O
EBW,"4-(5-{4-[DIMETHYL(PROP-2-ENYL)AMMONIO]PHENYL}-3-OXOPENTYL)-N,N-DIMETHYL-N-PROP-2-ENYLBENZENAMINIUM",ligand,False,2,4,6O50,406.603,C[N+](C)(CC=C)c1ccc(cc1)CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C
EFS,ETHYL DIHYDROGEN PHOSPHATE,ligand,False,2,4,5HF6,126.048,CCOP(=O)(O)O
ELT,"ethoxy-~{N},~{N}-dimethyl-phosphonamidic acid",ligand,False,2,4,6WUY,153.117,CCOP(=O)(N(C)C)O
L1M,ethyl (R)-N-[(1E)-1-(diethylamino)ethylidene]phosphonamidate,ligand,False,2,4,6NTL,206.222,CCN(CC)/C(=N/[P@H](=O)OCC)/C
L2Y,(S)-N-[(1E)-1-(diethylamino)ethylidene]-P-methylphosphonamidic fluoride,ligand,False,2,4,6NTO,194.187,CCN(CC)/C(=N/[P@](=O)(C)F)/C
PQV,(2E)-N-[2-(azepan-1-yl)ethyl]-2-(hydroxyimino)acetamide,ligand,False,2,4,6U37,213.277,C1CCCN(CC1)CCNC(=O)/C=N/O
UCJ,propan-2-yl hydrogen (S)-methylphosphonate,ligand,False,2,4,6WUZ,138.102,CC(C)OP(=O)(C)O
UCY,"(1S)-2,2-dimethylcyclopentyl (R)-methylphosphinate",ligand,False,2,4,6WVQ,176.193,CC1(CCC[C@@H]1O[P@H](=O)C)C
ZN,ZINC ION,metal,True,2,9,8AEV,65.409,[Zn+2]
1YK,territrem B,ligand,False,1,2,4M0F,526.575,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)c5cc(c(c(c5)OC)OC)OC)O)(C(=O)C=CC3(C)C)C)O
1YL,Dihydrotanshinone I,ligand,False,1,2,4M0E,278.302,Cc1cccc2c1ccc3c2C(=O)C(=O)C4=C3OC[C@@H]4C
4IX,"(2R,3R,4S,5S,6R)-2-[4-[1-[3-[6-[(Z)-hydroxyiminomethyl]-5-oxidanyl-pyridin-2-yl]propyl]-1,2,3-triazol-4-yl]butoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",ligand,False,1,1,7P1P,481.5,c1cc(c(nc1CCCn2cc(nn2)CCCCO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)/C=N\O)O
4J1,"(2R,3R,4S,5S,6R)-2-[4-[1-[4-[6-[(Z)-hydroxyiminomethyl]-5-oxidanyl-pyridin-2-yl]butyl]-1,2,3-triazol-4-yl]butoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",ligand,False,1,2,7P1N,495.526,c1cc(c(nc1CCCCn2cc(nn2)CCCCO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)/C=N\O)O
A1AAJ,N-Acetyl-D-Talosamine,ligand,False,1,1,9F6R,221.208,CC(=O)N[C@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O
A1CD5,2-(hydroxyimino)-N-{2-[(3S)-1-(3-{[(2E)-2-(hydroxyimino)acetyl]amino}propyl)piperidin-3-yl]ethyl}acetamide,ligand,False,1,2,9OMS,327.379,C1C[C@H](CN(C1)CCCNC(=O)/C=N/O)CCNC(=O)C=NO
A1CDA,(2E)-2-(hydroxyimino)-N-{3-[(3R)-3-(2-{[(2E)-2-(hydroxyimino)acetyl]amino}ethyl)piperidin-1-yl]propyl}acetamide,ligand,False,1,2,9OMT,327.379,C1C[C@@H](CN(C1)CCCNC(=O)/C=N/O)CCNC(=O)/C=N/O
A1IAS,2-[(~{Z})-hydroxyiminomethyl]-6-[4-(quinolin-4-ylamino)butyl]pyridin-3-ol,ligand,False,1,1,9F6R,336.388,c1ccc2c(c1)c(ccn2)NCCCCc3ccc(c(n3)/C=N\O)O
AA,9-AMINOACRIDINE,ligand,False,1,2,6O4X,195.24,c1ccc2c(c1)c(c3ccccc3[nH+]2)N
CVZ,"3-[(~{E})-5-[ethyl-[(2-nitrophenyl)methyl]amino]pent-1-enyl]-1-[5-[ethyl-[(2-nitrophenyl)methyl]amino]pentyl]-6-methyl-pyrimidine-2,4-dione",ligand,False,1,2,6F25,620.739,CCN(CCCCCN1C(=CC(=O)N(C1=O)/C=C/CCCN(CC)Cc2ccccc2[N+](=O)[O-])C)Cc3ccccc3[N+](=O)[O-]
FP1,N-hydroxy-1-(1-methylpyridin-2(1H)-ylidene)methanamine,ligand,False,1,3,5HFA,138.167,CN\1C=CC=C/C1=C/NO
GD8,"(1R)-1,2,2-TRIMETHYLPROPYL (S)-METHYLPHOSPHINATE",ligand,False,1,2,6WVO,164.182,C[C@H](C(C)(C)C)O[P@H](=O)C
GNT,(-)-GALANTHAMINE,ligand,False,1,2,4EY6,287.354,C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O
H0L,"(2R)-2-[[4-fluoranyl-1-[(4-fluorophenyl)methyl]piperidin-4-yl]methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one",ligand,False,1,2,7D9O,415.473,COc1cc2c(cc1OC)C(=O)[C@H](C2)CC3(CCN(CC3)Cc4ccc(cc4)F)F
H0R,"(2S)-2-[[4-fluoranyl-1-[(2-fluorophenyl)methyl]piperidin-4-yl]methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one",ligand,False,1,2,7D9P,415.473,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3(CCN(CC3)Cc4ccccc4F)F
H1R,"(2S)-2-[[4-fluoranyl-1-[(3-fluorophenyl)methyl]piperidin-4-yl]methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one",ligand,False,1,2,7D9Q,415.473,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3(CCN(CC3)Cc4cccc(c4)F)F
HLO,"1-[({2,4-BIS[(E)-(HYDROXYIMINO)METHYL]PYRIDINIUM-1-YL}METHOXY)METHYL]-4-CARBAMOYLPYRIDINIUM",ligand,False,1,2,6NEA,331.327,c1c[n+](ccc1C(=O)N)COC[n+]2ccc(cc2\C=N\O)\C=N\O
HUP,Huperzine A,ligand,False,1,2,4EY5,242.316,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
HUW,HUPRINE W,ligand,False,1,1,4BDT,314.809,c1cc2c(cc1Cl)nc3c(c2N)[C@H]4C[C@@H](C3)C=C(C4)CCO
LWL,"N,N,N-trimethyl-2-oxo-2-(2-(pyridin-2-ylmethylene)hydrazineyl)ethan-1-aminium",ligand,False,1,2,8AEN,221.279,C[N+](C)(C)CC(=O)N/N=C/c1ccccn1
LWU,1-(2-(2-((6-(dihydroxymethyl)-2-phenylpyrimidin-4-yl)methylene)hydrazineyl)-2-oxoethyl)pyridin-1-ium,ligand,False,1,1,8AEV,366.394,c1ccc(cc1)c2nc(cc(n2)C(O)O)CNNC(=O)C[n+]3ccccc3
