family,ligand_id,x,y,z,cluster,kept
Donor,10KT_A1C5S_A1202,-1.473,97.568,51.9,3,1
Donor,3REY_XAC_A999,2.503,97.476,53.791,1,0
Donor,3REY_XAC_A999,0.412,98.24,53.733,1,0
Donor,3REY_XAC_A999,3.533,101.617,62.022,4,0
Donor,3REY_XAC_A999,3.054,101.605,65.718,4,0
Donor,3UZA_T4G_A330,-2.335,98.64,51.324,3,1
Donor,5IU7_6DY_A2401,-1.755,98.436,51.936,3,1
Donor,5IU7_6DY_A2401,2.249,99.323,54.249,1,0
Donor,5IU7_6DY_A2401,0.556,102.282,55.636,0,0
Donor,5IU8_6DZ_A2401,-0.859,104.734,55.654,0,0
Donor,5IU8_6DZ_A2401,0.797,102.545,55.398,0,0
Donor,5IU8_6DZ_A2401,2.145,99.454,54.358,1,0
Donor,5IU8_6DZ_A2401,-1.847,98.462,51.926,3,1
Donor,5IUA_6DX_A2401,-1.721,98.415,52.219,3,1
Donor,5IUA_6DX_A2401,2.537,99.179,54.388,1,0
Donor,5IUA_6DX_A2401,0.791,103.036,55.397,0,0
Donor,5IUB_6DV_A2401,-1.654,98.293,52.109,3,1
Donor,5IUB_6DV_A2401,2.54,98.929,54.205,1,0
Donor,5IUB_6DV_A2401,0.867,101.939,55.633,0,0
Donor,5N2R_8JN_A2401,4.621,98.929,56.113,1,0
Donor,5N2R_8JN_A2401,-1.409,97.364,51.995,3,1
Donor,5N2R_8JN_A2401,0.028,98.651,53.098,3,1
Donor,5NM4_ZMA_A507,-0.174,106.128,54.997,0,0
Donor,5NM4_ZMA_A507,2.313,99.015,54.202,1,0
Donor,5NM4_ZMA_A507,-1.731,98.288,52.064,3,1
Donor,5OLZ_T4E_A1201,-1.761,98.311,51.769,3,1
Donor,5OLZ_T4E_A1201,5.555,92.206,54.498,2,0
Donor,7IO5_TEP_A1202,-1.143,97.124,52.081,3,1
Donor,7IO5_TEP_A1202,0.518,98.027,53.159,1,0
Donor,8CU7_LJX_A1202,-1.505,98.097,52.075,3,1
Donor,8CU7_LJX_A1202,4.751,94.739,53.195,2,0
Donor,8CU7_LJX_A1202,5.016,92.263,53.898,2,0
Donor,8DU3_TKO_A3001,-1.806,98.136,51.807,3,1
Donor,8GNE_JQR_A1201,-1.477,97.486,52.029,3,1
Donor,8JWY_VBF_A1201,-1.621,97.971,51.152,3,1
Donor,8JWY_VBF_A1201,2.704,101.484,57.309,0,0
Donor,8RW4_A1H3L_A1201,0.032,97.484,52.618,3,1
Donor,8RW4_A1H3L_A1201,1.822,97.505,53.965,1,0
Donor,8RW7_A1H3J_A1201,0.107,97.396,52.567,3,1
Donor,8RW7_A1H3J_A1201,1.884,97.441,53.871,1,0
Donor,8RWC_A1H3I_A1201,0.259,105.539,56.317,0,0
Donor,8RWC_A1H3I_A1201,2.483,104.387,56.965,0,0
Donor,8RWD_A1H3H_A1201,2.567,104.202,57.074,0,0
Donor,8RWE_A1H3K_A1201,0.596,105.571,56.384,0,0
Donor,9H2X_A1IR1_A1226,-1.502,97.835,52.001,3,1
Donor,9H37_A1IR0_A1226,-1.907,97.865,52.05,3,1
Acceptor,10KT_A1C5S_A1202,-0.874,95.382,51.488,0,1
Acceptor,10KT_A1C5S_A1202,-1.561,92.93,50.693,0,1
Acceptor,10KT_A1C5S_A1202,2.693,96.375,53.253,0,1
Acceptor,10KT_A1C5S_A1202,1.091,97.995,53.167,0,1
Acceptor,10KT_A1C5S_A1202,2.097,103.963,56.453,1,1
Acceptor,3REY_XAC_A999,-1.64,97.255,51.863,0,1
Acceptor,3REY_XAC_A999,1.559,94.387,50.209,0,1
Acceptor,3REY_XAC_A999,2.503,97.476,53.791,0,1
Acceptor,3REY_XAC_A999,2.658,101.697,58.808,1,1
Acceptor,3REY_XAC_A999,3.73,103.551,60.876,1,1
Acceptor,3UZA_T4G_A330,-0.461,98.274,52.651,0,1
Acceptor,3UZA_T4G_A330,0.437,97.356,53.112,0,1
Acceptor,3UZA_T4G_A330,-1.496,96.454,51.452,0,1
Acceptor,3UZA_T4G_A330,3.669,93.72,54.475,0,1
Acceptor,5IU7_6DY_A2401,0.267,98.842,53.099,0,1
Acceptor,5IU7_6DY_A2401,1.903,97.115,53.483,0,1
Acceptor,5IU7_6DY_A2401,1.225,94.946,52.502,0,1
Acceptor,5IU7_6DY_A2401,-0.803,95.633,51.677,0,1
Acceptor,5IU8_6DZ_A2401,1.116,94.998,52.528,0,1
Acceptor,5IU8_6DZ_A2401,1.757,97.24,53.514,0,1
Acceptor,5IU8_6DZ_A2401,-0.793,95.673,51.695,0,1
Acceptor,5IU8_6DZ_A2401,0.168,98.916,53.138,0,1
Acceptor,5IUA_6DX_A2401,0.415,98.773,53.295,0,1
Acceptor,5IUA_6DX_A2401,1.979,97.045,53.502,0,1
Acceptor,5IUA_6DX_A2401,1.199,94.859,52.497,0,1
Acceptor,5IUA_6DX_A2401,-0.759,95.607,51.828,0,1
Acceptor,5IUB_6DV_A2401,0.423,98.629,53.152,0,1
Acceptor,5IUB_6DV_A2401,-4.829,108.132,56.669,1,1
Acceptor,5IUB_6DV_A2401,-2.737,104.225,58.385,1,1
Acceptor,5IUB_6DV_A2401,2.024,96.817,53.363,0,1
Acceptor,5IUB_6DV_A2401,1.238,94.71,52.397,0,1
Acceptor,5IUB_6DV_A2401,-0.767,95.469,51.7,0,1
Acceptor,5MZP_CFF_A2401,-0.927,94.806,51.042,0,1
Acceptor,5MZP_CFF_A2401,1.622,98.015,53.651,0,1
Acceptor,5MZP_CFF_A2401,3.24,93.862,52.582,0,1
Acceptor,5N2R_8JN_A2401,3.543,95.166,52.941,0,1
Acceptor,5N2R_8JN_A2401,4.621,98.929,56.113,1,1
Acceptor,5N2R_8JN_A2401,0.028,98.651,53.098,0,1
Acceptor,5N2R_8JN_A2401,-0.588,94.487,51.068,0,1
Acceptor,5NM4_ZMA_A507,-0.174,106.128,54.997,1,1
Acceptor,5NM4_ZMA_A507,1.868,96.885,53.35,0,1
Acceptor,5NM4_ZMA_A507,0.283,98.616,53.117,0,1
Acceptor,5NM4_ZMA_A507,-0.781,95.47,51.741,0,1
Acceptor,5NM4_ZMA_A507,1.205,94.811,52.413,0,1
Acceptor,5OLZ_T4E_A1201,0.362,97.828,52.843,0,1
Acceptor,5OLZ_T4E_A1201,1.287,97.009,53.141,0,1
Acceptor,5OLZ_T4E_A1201,-0.831,96.117,51.66,0,1
Acceptor,5OLZ_T4E_A1201,5.555,92.206,54.498,0,1
Acceptor,6ZDR_QGE_A1201,-0.726,93.88,51.269,0,1
Acceptor,6ZDR_QGE_A1201,2.66,95.718,53.151,0,1
Acceptor,6ZDR_QGE_A1201,1.139,101.568,54.665,1,1
Acceptor,6ZDR_QGE_A1201,-0.332,103.251,54.097,1,1
Acceptor,6ZDV_QGW_A1201,-0.587,94.014,51.368,0,1
Acceptor,6ZDV_QGW_A1201,3.083,94.653,52.939,0,1
Acceptor,6ZDV_QGW_A1201,3.742,100.247,55.561,1,1
Acceptor,6ZDV_QGW_A1201,4.679,101.441,53.872,1,1
Acceptor,7IO5_TEP_A1202,3.104,94.208,52.721,0,1
Acceptor,7IO5_TEP_A1202,-0.965,94.471,51.08,0,1
Acceptor,7IO5_TEP_A1202,0.518,98.027,53.159,0,1
Acceptor,8CU7_LJX_A1202,0.459,98.487,53.268,0,1
Acceptor,8CU7_LJX_A1202,2.064,96.776,53.482,0,1
Acceptor,8CU7_LJX_A1202,-0.484,95.316,51.585,0,1
Acceptor,8CU7_LJX_A1202,4.751,94.739,53.195,0,1
Acceptor,8CU7_LJX_A1202,2.054,92.502,53.109,0,1
Acceptor,8CU7_LJX_A1202,5.016,92.263,53.898,0,1
Acceptor,8DU3_TKO_A3001,-0.877,95.89,51.608,0,1
Acceptor,8DU3_TKO_A3001,0.355,97.66,52.772,0,1
Acceptor,8GNE_JQR_A1201,-1.11,95.219,51.507,0,1
Acceptor,8GNE_JQR_A1201,2.371,92.779,52.558,0,1
Acceptor,8GNE_JQR_A1201,6.313,95.082,53.725,0,1
Acceptor,8GNE_JQR_A1201,0.048,98.891,52.918,0,1
Acceptor,8GNE_JQR_A1201,-4.056,100.912,52.268,0,1
Acceptor,8JWY_VBF_A1201,4.346,99.45,57.373,1,1
Acceptor,8JWY_VBF_A1201,0.361,97.336,52.339,0,1
Acceptor,8JWY_VBF_A1201,-0.853,95.703,51.246,0,1
Acceptor,8JWY_VBF_A1201,2.704,101.484,57.309,1,1
Acceptor,8JWY_VBF_A1201,5.022,95.489,55.301,0,1
Acceptor,8RW4_A1H3L_A1201,3.105,93.105,52.671,0,1
Acceptor,8RW4_A1H3L_A1201,1.822,97.505,53.965,0,1
Acceptor,8RW4_A1H3L_A1201,0.827,105.316,56.336,1,1
Acceptor,8RW4_A1H3L_A1201,2.816,103.824,57.041,1,1
Acceptor,8RW4_A1H3L_A1201,-0.621,95.027,50.908,0,1
Acceptor,8RW7_A1H3J_A1201,2.897,104.05,57.1,1,1
Acceptor,8RW7_A1H3J_A1201,3.145,92.991,52.647,0,1
Acceptor,8RW7_A1H3J_A1201,-0.583,94.932,50.906,0,1
