family,ligand_id,x,y,z,cluster,kept
Donor,5OLH_9XT_A1201,4.317,97.736,59.221,1,0
Donor,5OLH_9XT_A1201,-1.576,97.923,51.934,0,1
Donor,5OLO_9XW_A1201,-1.804,98.131,51.945,0,1
Donor,5OLO_9XW_A1201,-2.432,100.534,52.226,0,1
Donor,5OLO_9XW_A1201,-5.056,102.888,52.67,0,1
Donor,6GT3_F9Q_A2401,-1.976,98.611,51.611,0,1
Donor,8CIC_U30_A1202,3.462,102.795,56.155,1,0
Donor,8CIC_U30_A1202,-1.421,97.886,51.759,0,1
Acceptor,5OLH_9XT_A1201,3.357,95.112,52.981,2,1
Acceptor,5OLH_9XT_A1201,2.431,94.351,52.506,2,1
Acceptor,5OLH_9XT_A1201,-0.879,95.727,51.691,0,0
Acceptor,5OLH_9XT_A1201,0.603,97.297,52.523,4,1
Acceptor,5OLO_9XW_A1201,-1.191,95.783,51.536,0,0
Acceptor,5OLO_9XW_A1201,-1.59,93.079,50.675,5,0
Acceptor,5OLO_9XW_A1201,5.814,95.836,53.9,2,1
Acceptor,5OLO_9XW_A1201,-0.268,99.752,52.656,4,1
Acceptor,5OLO_9XW_A1201,-5.056,102.888,52.67,3,0
Acceptor,6GT3_F9Q_A2401,4.538,93.376,54.138,2,1
Acceptor,6GT3_F9Q_A2401,-0.99,96.367,51.577,0,0
Acceptor,6GT3_F9Q_A2401,0.157,98.199,52.804,4,1
Acceptor,6GT3_F9Q_A2401,1.177,97.318,53.181,4,1
Acceptor,6GT3_F9Q_A2401,-0.648,89.961,50.075,5,0
Acceptor,8CIC_U30_A1202,-0.829,95.61,51.502,0,0
Acceptor,8CIC_U30_A1202,0.641,97.219,52.751,4,1
Acceptor,8CIC_U30_A1202,3.462,102.795,56.155,1,0
Acceptor,8CIC_U30_A1202,4.085,100.173,56.395,1,0
Acceptor,8CIC_U30_A1202,4.636,95.874,54.688,2,1
Acceptor,8CIC_U30_A1202,3.651,95.421,54.023,2,1
Acceptor,8RW0_JQ9_A1201,3.114,93.078,52.698,2,1
Acceptor,8RW0_JQ9_A1201,1.848,97.458,53.808,4,1
Acceptor,8RW0_JQ9_A1201,-0.677,94.913,50.901,0,0
Acceptor,8RW0_JQ9_A1201,0.924,105.365,56.577,1,0
Acceptor,8RW0_JQ9_A1201,2.984,103.887,57.149,1,0
Aromatic,5OLH_9XT_A1201,2.309,95.469,52.709,0,1
Aromatic,5OLH_9XT_A1201,-0.659,92.33,51.055,0,1
Aromatic,5OLH_9XT_A1201,3.975,97.664,56.463,1,1
Aromatic,5OLH_9XT_A1201,0.341,96.034,52.166,0,1
Aromatic,5OLO_9XW_A1201,-0.101,95.995,51.977,0,1
Aromatic,5OLO_9XW_A1201,0.872,93.978,51.78,0,1
Aromatic,6GT3_F9Q_A2401,3.415,94.229,53.689,0,1
Aromatic,6GT3_F9Q_A2401,0.095,96.844,52.379,0,1
Aromatic,6GT3_F9Q_A2401,-0.301,92.639,50.975,0,1
Aromatic,8CIC_U30_A1202,3.743,96.512,54.32,1,1
Aromatic,8CIC_U30_A1202,0.356,95.908,52.248,0,1
Aromatic,8CIC_U30_A1202,-0.632,91.976,50.791,0,1
Aromatic,8CIC_U30_A1202,4.147,99.647,57.692,1,1
Aromatic,8RW0_JQ9_A1201,0.978,97.086,53.088,0,1
Aromatic,8RW0_JQ9_A1201,1.493,95.142,52.434,0,1
Aromatic,8RW0_JQ9_A1201,0.899,102.728,55.775,1,1
LumpedHydrophobe,5OLH_9XT_A1201,3.975,97.664,56.463,1,0
LumpedHydrophobe,5OLO_9XW_A1201,0.872,93.978,51.78,0,1
LumpedHydrophobe,6GT3_F9Q_A2401,-0.301,92.639,50.975,0,1
LumpedHydrophobe,8CIC_U30_A1202,-0.632,91.976,50.791,0,1
LumpedHydrophobe,8RW0_JQ9_A1201,0.899,102.728,55.775,1,0
PosIonizable,8RW0_JQ9_A1201,0.978,97.086,53.088,0,0
