family,ligand_id,x,y,z,cluster,kept
Donor,2YDV_NEC_A400,1.812,89.522,49.921,2,0
Donor,2YDV_NEC_A400,2.549,90.413,53.832,0,1
Donor,2YDV_NEC_A400,4.017,92.614,53.805,0,1
Donor,2YDV_NEC_A400,-1.531,97.964,52.315,1,0
Donor,4UHR_NGI_A1320,1.775,89.508,49.878,2,0
Donor,4UHR_NGI_A1320,4.064,92.549,53.826,0,1
Donor,4UHR_NGI_A1320,-1.555,97.687,52.178,1,0
Donor,4UHR_NGI_A1320,2.854,90.245,53.79,0,1
Donor,4UHR_NGI_A1320,0.614,108.723,56.512,4,0
Donor,4UHR_NGI_A1320,2.617,98.386,54.216,3,0
Donor,5WF5_UKA_A1201,1.718,89.601,49.983,2,0
Donor,5WF5_UKA_A1201,2.618,90.523,53.662,0,1
Donor,5WF5_UKA_A1201,4.337,92.641,53.458,0,1
Donor,5WF5_UKA_A1201,-1.202,98.145,51.885,1,0
Donor,5WF5_UKA_A1201,2.606,99.679,54.591,3,0
Donor,5WF5_UKA_A1201,2.472,102.549,54.369,3,0
Donor,5WF5_UKA_A1201,0.783,104.017,54.768,3,0
Donor,7ARO_RVZ_A1201,-0.639,98.851,52.579,1,0
Donor,7ARO_RVZ_A1201,2.583,99.383,57.322,3,0
Donor,7ARO_RVZ_A1201,1.852,101.333,56.723,3,0
Donor,8WDT_WCH_A1000,-1.902,97.798,51.471,1,0
Donor,8WDT_WCH_A1000,1.602,89.509,50.06,2,0
Donor,8WDT_WCH_A1000,2.436,90.252,54.01,0,1
Donor,8WDT_WCH_A1000,4.065,92.376,54.125,0,1
Donor,9EE8_ADN_A400,1.489,91.642,49.836,2,0
Donor,9EE8_ADN_A400,1.93,90.376,54.074,0,1
Donor,9EE8_ADN_A400,3.816,92.387,54.427,0,1
Donor,9EE8_ADN_A400,-1.434,97.877,52.043,1,0
Acceptor,2YDV_NEC_A400,0.276,90.961,50.717,1,1
Acceptor,2YDV_NEC_A400,2.778,92.505,50.954,1,1
Acceptor,2YDV_NEC_A400,2.549,90.413,53.832,1,1
Acceptor,2YDV_NEC_A400,4.017,92.614,53.805,1,1
Acceptor,2YDV_NEC_A400,-0.548,95.081,51.435,0,1
Acceptor,2YDV_NEC_A400,0.648,98.16,53.193,0,1
Acceptor,2YDV_NEC_A400,2.274,96.442,53.034,0,1
Acceptor,4UHR_NGI_A1320,0.239,90.672,51.062,1,1
Acceptor,4UHR_NGI_A1320,2.699,92.411,50.988,1,1
Acceptor,4UHR_NGI_A1320,-0.509,94.974,51.399,0,1
Acceptor,4UHR_NGI_A1320,4.064,92.549,53.826,1,1
Acceptor,4UHR_NGI_A1320,2.854,90.245,53.79,1,1
Acceptor,4UHR_NGI_A1320,0.532,98.018,53.192,0,1
Acceptor,4UHR_NGI_A1320,0.614,108.723,56.512,3,0
Acceptor,4UHR_NGI_A1320,2.43,107.581,56.99,3,0
Acceptor,4UHR_NGI_A1320,2.196,96.346,53.13,0,1
Acceptor,5WF5_UKA_A1201,2.739,92.697,50.829,1,1
Acceptor,5WF5_UKA_A1201,2.618,90.523,53.662,1,1
Acceptor,5WF5_UKA_A1201,-0.416,95.228,51.241,0,1
Acceptor,5WF5_UKA_A1201,4.337,92.641,53.458,1,1
Acceptor,5WF5_UKA_A1201,0.855,98.264,52.959,0,1
Acceptor,5WF5_UKA_A1201,0.245,91.056,50.878,1,1
Acceptor,5WF5_UKA_A1201,2.449,96.498,52.946,0,1
Acceptor,5WF5_UKA_A1201,4.131,98.035,54.39,0,1
Acceptor,5WF5_UKA_A1201,2.226,103.447,56.423,2,0
Acceptor,5WF5_UKA_A1201,-3.862,107.119,54.517,4,0
Acceptor,7ARO_RVZ_A1201,1.852,101.333,56.723,2,0
Acceptor,7ARO_RVZ_A1201,1.61,98.759,53.456,0,1
Acceptor,8WDT_WCH_A1000,-0.342,94.954,50.953,0,1
Acceptor,8WDT_WCH_A1000,1.845,96.706,53.386,0,1
Acceptor,8WDT_WCH_A1000,-0.028,98.291,53.002,0,1
Acceptor,8WDT_WCH_A1000,3.019,92.52,51.394,1,1
Acceptor,8WDT_WCH_A1000,2.436,90.252,54.01,1,1
Acceptor,8WDT_WCH_A1000,4.065,92.376,54.125,1,1
Acceptor,8WDT_WCH_A1000,0.303,90.981,51.22,1,1
Acceptor,9EE8_ADN_A400,1.489,91.642,49.836,1,1
Acceptor,9EE8_ADN_A400,3.007,92.708,51.551,1,1
Acceptor,9EE8_ADN_A400,1.93,90.376,54.074,1,1
Acceptor,9EE8_ADN_A400,3.816,92.387,54.427,1,1
Acceptor,9EE8_ADN_A400,-0.287,95.092,51.366,0,1
Acceptor,9EE8_ADN_A400,0.426,98.118,53.388,0,1
Acceptor,9EE8_ADN_A400,2.124,96.428,53.637,0,1
PosIonizable,2YDV_NEC_A400,0.563,95.043,51.82,0,1
PosIonizable,4UHR_NGI_A1320,0.569,94.937,51.829,0,1
PosIonizable,5WF5_UKA_A1201,0.695,95.202,51.686,0,1
PosIonizable,7ARO_RVZ_A1201,1.975,100.351,57.264,1,0
PosIonizable,8WDT_WCH_A1000,0.635,95.053,51.663,0,1
PosIonizable,9EE8_ADN_A400,0.712,95.098,52.025,0,1
Aromatic,2YDV_NEC_A400,0.563,95.043,51.82,0,1
Aromatic,2YDV_NEC_A400,0.998,96.901,52.778,0,1
Aromatic,4UHR_NGI_A1320,0.569,94.937,51.829,0,1
Aromatic,4UHR_NGI_A1320,0.944,96.777,52.806,0,1
Aromatic,4UHR_NGI_A1320,0.995,103.065,55.632,1,0
Aromatic,5WF5_UKA_A1201,0.695,95.202,51.686,0,1
Aromatic,5WF5_UKA_A1201,1.181,97.011,52.607,0,1
Aromatic,5WF5_UKA_A1201,-4.948,106.441,55.05,3,0
Aromatic,5WF5_UKA_A1201,-3.541,102.617,52.887,2,0
Aromatic,5WF5_UKA_A1201,-1.266,99.482,55.717,1,0
Aromatic,7ARO_RVZ_A1201,1.975,100.351,57.264,1,0
Aromatic,7ARO_RVZ_A1201,1.829,93.22,52.281,0,1
Aromatic,7ARO_RVZ_A1201,1.676,97.428,53.174,0,1
Aromatic,8WDT_WCH_A1000,0.635,95.053,51.663,0,1
Aromatic,8WDT_WCH_A1000,3.007,101.899,57.033,1,0
Aromatic,8WDT_WCH_A1000,0.6,97.027,52.727,0,1
Aromatic,9EE8_ADN_A400,0.712,95.098,52.025,0,1
Aromatic,9EE8_ADN_A400,0.899,96.889,53.068,0,1
NegIonizable,4UHR_NGI_A1320,1.456,108.021,56.59,0,0
LumpedHydrophobe,4UHR_NGI_A1320,0.995,103.065,55.632,0,1
LumpedHydrophobe,5WF5_UKA_A1201,-3.541,102.617,52.887,3,0
LumpedHydrophobe,5WF5_UKA_A1201,-1.266,99.482,55.717,2,0
LumpedHydrophobe,7ARO_RVZ_A1201,1.829,93.22,52.281,1,0
LumpedHydrophobe,8WDT_WCH_A1000,3.007,101.899,57.033,0,1
