het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
TEP,CN1c2c([nH]cn2)C(=O)N(C1=O)C,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7.4,3,3.77;5.65;8.60,,pkasolver
ZMA,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCc4ccc(cc4)O,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,7.4,8,3.73;3.81;3.93;4.72;5.53;8.00;8.95;10.00,phenol@11:8.67->10.00,pkasolver+phenol_rule
ADN,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.4,6,2.78;3.06;3.76;8.17;8.88;9.13,,pkasolver
T4E,c1ccc(cc1)c2c(nnc(n2)N)c3ccc(c(c3)Cl)O,[NH-]c1nnc(-c2ccc(O)c(Cl)c2)c(-c2ccccc2)n1,7.4,5,3.85;4.12;4.85;6.96;10.00,phenol@9:7.92->10.00,pkasolver+phenol_rule
UKA,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2nc(nc3NCC(c4ccccc4)c5ccccc5)C(=O)NCCNC(=O)NC6CCN(CC6)c7ccccn7)O)O,CC[NH2+]C(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O,7.4,10,5.47;6.03;7.11;7.71;8.88;9.15;9.38;9.41;9.44;9.55,,pkasolver
8K6,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
A1H3H,CCN1c2c(n(c(n2)/C=C/c3ccc(c(c3)O)OC)C)C(=O)N(C1=O)CC,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(O)c3)n2C)n(CC)c1=O,7.4,2,6.73;10.00,phenol@18:9.76->10.00,pkasolver+phenol_rule
A1H3I,CCN1c2c(n(c(n2)/C=C/c3ccc(c(c3)O)O)C)C(=O)N(C1=O)CC,CCn1c(=O)c2c(nc(/C=C/c3ccc(O)c(O)c3)n2C)n(CC)c1=O,7.4,3,6.93;10.00;10.00,phenol@15:9.54->10.00;phenol@17:9.78->10.00,pkasolver+phenol_rule
ER0,C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@@H](C)CCCC(=O)OC[C@H]([C@H](CO)O)O,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CCCC(=O)OC[C@@H](O)[C@@H](O)CO,7.4,2,9.74;9.96,,pkasolver
JQ9,CCN1c2c(n(c(n2)/C=C/c3ccc(c(c3)OC)OC)C)C(=O)N(C1=O)CC,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,7.4,1,6.61,,pkasolver
MYS,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
NEC,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,CCNC(=O)[C@H]1O[C@@H](n2cnc3c([NH-])ncnc32)[C@H](O)[C@@H]1O,7.4,8,2.93;3.03;3.52;5.42;7.33;8.15;8.51;8.62,,pkasolver
NGI,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2nc(nc3N)NCCc4ccc(cc4)CCC(=O)O)O)O,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)[O-])cc4)nc32)[C@H](O)[C@@H]1O,7.4,9,3.44;3.81;5.15;5.31;6.76;8.20;8.68;9.06;9.25,,pkasolver
OCT,CCCCCCCC,CCCCCCCC,7.4,0,,,pkasolver:no_ionizable
SOG,CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,CCCCCCCCS[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7.4,2,9.15;9.53,,pkasolver
TRD,CCCCCCCCCCCCC,CCCCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
U30,Cc1c(cccc1c2cc(nc(n2)N)c3cn(nn3)Cc4cccc(n4)C(C)(C)O)C#N,Cc1c(C#N)cccc1-c1cc(-c2cn(Cc3cccc(C(C)(C)O)n3)nn2)nc(N)n1,7.4,6,3.58;3.96;4.61;5.22;7.95;8.87,,pkasolver
UND,CCCCCCCCCCC,CCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
9Y2,CC(C)(C)CC(=O)Nc1c(cc(cc1F)C(=O)Nc2nccs2)F,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,7.4,5,3.79;4.93;5.57;8.13;9.17,,pkasolver
CFF,Cn1cnc2c1C(=O)N(C(=O)N2C)C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,7.4,1,3.65,,pkasolver
LJX,CCCCC#Cc1nc(c2c(n1)n(c(n2)c3cccs3)[C@H]4[C@@H]([C@@H](CO4)O)O)N,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,7.4,6,3.51;3.53;4.00;4.88;8.46;9.18,,pkasolver
2O8,c1cc(ccc1C(=O)N)SC(F)(F)F,NC(=O)c1ccc(SC(F)(F)F)cc1,7.4,2,4.72;8.29,,pkasolver
6DV,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCN4CCN(CC4)c5ccc(cc5F)F,Nc1nc(NCCN2CCN(c3ccc(F)cc3F)CC2)nc2nc(-c3ccco3)nn12,7.4,8,3.68;3.70;3.82;4.99;5.54;6.85;7.97;8.45,,pkasolver
6DX,c1ccc(cc1)N2CCN(CC2)CCCNc3nc(n4c(n3)nc(n4)c5ccco5)N,Nc1nc(NCCC[NH+]2CCN(c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.4,8,3.90;3.97;4.19;5.16;5.91;7.51;8.36;8.76,,pkasolver
6DY,c1ccc(cc1)C2CCN(CC2)CCNc3nc(n4c(n3)nc(n4)c5ccco5)N,Nc1nc(NCC[NH+]2CCC(c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.4,6,3.90;4.04;4.67;5.87;8.11;8.80,,pkasolver
6DZ,CN1CCN(CC1)CCNc2nc(n3c(n2)nc(n3)c4ccco4)N,C[NH+]1CCN(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.4,8,3.67;3.74;4.21;5.06;7.33;7.71;7.73;8.44,,pkasolver
6N4,c1ccc2c(c1)[nH]c(n2)SCCO,OCCSc1nc2ccccc2[nH]1,7.4,4,3.57;6.34;8.92;9.68,,pkasolver
