family,ligand_id,x,y,z,cluster,kept
Donor,2RH1_CAU_A408,-33.479,10.957,8.168,0,1
Donor,2RH1_CAU_A408,-25.594,9.657,5.974,1,0
Donor,3NY9_JSZ_A1203,-33.543,11.136,7.991,0,1
Donor,6PS3_CVD_A1201,-33.433,10.493,8.355,0,1
Donor,6PS3_CVD_A1201,-25.765,9.657,5.537,1,0
Donor,6PS4_JRZ_A1201,-33.518,10.335,8.192,0,1
Donor,6PS5_SNP_A1201,-33.051,10.738,8.308,0,1
Donor,6PS6_TIM_A1201,-33.059,11.257,8.184,0,1
Donor,9RKF_A1JHU_A520,-27.634,2.856,9.68,2,0
Donor,9RKF_A1JHU_A520,-33.375,11.148,7.976,0,1
Acceptor,2RH1_CAU_A408,-33.479,10.957,8.168,2,0
Acceptor,2RH1_CAU_A408,-30.051,10.367,7.181,0,1
Acceptor,3NY9_JSZ_A1203,-24.739,7.036,6.212,3,0
Acceptor,3NY9_JSZ_A1203,-25.991,6.55,8.117,3,0
Acceptor,3NY9_JSZ_A1203,-30.428,10.72,6.672,0,1
Acceptor,3NY9_JSZ_A1203,-33.543,11.136,7.991,2,0
Acceptor,6PS3_CVD_A1201,-33.433,10.493,8.355,2,0
Acceptor,6PS3_CVD_A1201,-30.025,10.382,7.418,0,1
Acceptor,6PS3_CVD_A1201,-35.332,5.974,8.747,1,0
Acceptor,6PS3_CVD_A1201,-35.914,3.018,8.826,1,0
Acceptor,6PS4_JRZ_A1201,-30.054,10.651,7.749,0,1
Acceptor,6PS4_JRZ_A1201,-33.518,10.335,8.192,2,0
Acceptor,6PS5_SNP_A1201,-29.637,10.617,7.589,0,1
Acceptor,6PS5_SNP_A1201,-33.051,10.738,8.308,2,0
Acceptor,6PS6_TIM_A1201,-26.484,7.264,7.549,3,0
Acceptor,6PS6_TIM_A1201,-26.668,12.016,5.696,5,0
Acceptor,6PS6_TIM_A1201,-29.115,12.712,5.495,5,0
Acceptor,6PS6_TIM_A1201,-30.009,10.817,6.456,0,1
Acceptor,6PS6_TIM_A1201,-33.059,11.257,8.184,2,0
Acceptor,9RKF_A1JHU_A520,-29.928,2.761,9.464,4,0
Acceptor,9RKF_A1JHU_A520,-29.911,10.453,7.391,0,1
Acceptor,9RKF_A1JHU_A520,-33.375,11.148,7.976,2,0
PosIonizable,2RH1_CAU_A408,-33.704,8.25,7.598,1,1
PosIonizable,3NY9_JSZ_A1203,-33.708,8.4,7.245,1,1
PosIonizable,6PS3_CVD_A1201,-33.602,7.784,7.708,2,0
PosIonizable,6PS4_JRZ_A1201,-33.713,7.81,7.416,2,0
PosIonizable,6PS5_SNP_A1201,-33.504,8.098,7.403,1,1
PosIonizable,6PS6_TIM_A1201,-33.286,8.429,7.523,1,1
PosIonizable,9RKF_A1JHU_A520,-33.314,8.264,8.107,0,0
Aromatic,2RH1_CAU_A408,-26.702,9.563,6.395,1,1
Aromatic,2RH1_CAU_A408,-27.76,11.371,5.95,1,1
Aromatic,2RH1_CAU_A408,-26.927,7.645,7.327,1,1
Aromatic,3NY9_JSZ_A1203,-26.987,9.609,6.43,1,1
Aromatic,3NY9_JSZ_A1203,-27.865,11.501,5.933,1,1
Aromatic,6PS3_CVD_A1201,-26.725,9.518,6.1,1,1
Aromatic,6PS3_CVD_A1201,-27.908,11.452,5.826,1,1
Aromatic,6PS3_CVD_A1201,-26.653,7.413,6.983,1,1
Aromatic,6PS3_CVD_A1201,-37.725,4.962,9.9,0,0
Aromatic,6PS4_JRZ_A1201,-27.893,11.159,6.022,1,1
Aromatic,6PS5_SNP_A1201,-27.39,11.124,5.967,1,1
Aromatic,6PS5_SNP_A1201,-26.502,8.939,6.574,1,1
Aromatic,6PS6_TIM_A1201,-27.96,12.125,5.715,1,1
Aromatic,9RKF_A1JHU_A520,-27.664,11.216,5.902,1,1
Aromatic,9RKF_A1JHU_A520,-27.271,5.358,8.365,1,1
LumpedHydrophobe,2RH1_CAU_A408,-34.176,6.514,7.178,0,0
LumpedHydrophobe,3NY9_JSZ_A1203,-33.559,6.522,7.01,1,0
LumpedHydrophobe,6PS4_JRZ_A1201,-34.485,6.076,7.417,0,0
LumpedHydrophobe,6PS5_SNP_A1201,-34.009,6.331,6.887,0,0
LumpedHydrophobe,6PS6_TIM_A1201,-33.322,6.963,7.21,1,0
LumpedHydrophobe,9RKF_A1JHU_A520,-33.662,6.466,7.728,1,0
