family,ligand_id,x,y,z,cluster,kept
Donor,6PS2_JTZ_A1201,-33.114,8.299,7.235,1,1
Donor,6PS2_JTZ_A1201,-32.903,10.954,8.116,1,1
Donor,8W1V_A1AE2_B1201,-33.45,8.33,7.714,1,1
Donor,8W1V_A1AE2_B1201,-25.664,3.019,9.736,0,0
Donor,8W1V_A1AE2_B1201,-33.45,11.09,7.719,1,1
Donor,8W1V_A1AE2_B1201,-26.521,-0.089,8.446,0,0
Acceptor,6PS2_JTZ_A1201,-32.903,10.954,8.116,1,1
Acceptor,6PS2_JTZ_A1201,-29.436,10.639,7.28,1,1
Acceptor,8W1V_A1AE2_B1201,-35.439,3.317,6.863,0,1
Acceptor,8W1V_A1AE2_B1201,-35.839,2.468,7.901,0,1
Acceptor,8W1V_A1AE2_B1201,-29.945,10.676,7.129,1,1
Acceptor,8W1V_A1AE2_B1201,-33.45,11.09,7.719,1,1
Acceptor,8W1V_A1AE2_B1201,-28.394,-0.56,9.939,2,0
Acceptor,8W1V_A1AE2_B1201,-26.521,-0.089,8.446,2,0
Acceptor,9W3F_BER_A1201,-26.644,10.464,5.967,1,1
Acceptor,9W3F_BER_A1201,-27.942,12.282,5.67,1,1
Acceptor,9W3F_BER_A1201,-33.538,3.953,9.276,0,1
Acceptor,9W3F_BER_A1201,-31.905,1.907,10.259,0,1
PosIonizable,6PS2_JTZ_A1201,-33.114,8.299,7.235,1,1
PosIonizable,8W1V_A1AE2_B1201,-33.45,8.33,7.714,1,1
PosIonizable,8W1V_A1AE2_B1201,-25.664,3.019,9.736,0,0
PosIonizable,9W3F_BER_A1201,-31.832,7.474,7.712,1,1
Aromatic,6PS2_JTZ_A1201,-27.219,11.236,5.651,1,1
Aromatic,8W1V_A1AE2_B1201,-35.571,3.617,7.993,0,1
Aromatic,8W1V_A1AE2_B1201,-27.801,11.886,5.748,1,1
Aromatic,8W1V_A1AE2_B1201,-31.04,-0.285,10.782,0,1
Aromatic,9W3F_BER_A1201,-31.02,6.462,8.192,0,1
Aromatic,9W3F_BER_A1201,-29.334,10.048,6.654,1,1
Aromatic,9W3F_BER_A1201,-30.755,4.245,9.218,0,1
Hydrophobe,6PS2_JTZ_A1201,-27.399,9.955,6.26,1,1
Hydrophobe,6PS2_JTZ_A1201,-27.606,8.56,6.829,1,1
Hydrophobe,6PS2_JTZ_A1201,-26.627,8.107,7.863,1,1
Hydrophobe,8W1V_A1AE2_B1201,-27.75,10.594,6.324,1,1
Hydrophobe,8W1V_A1AE2_B1201,-32.361,-0.149,11.197,2,0
Hydrophobe,8W1V_A1AE2_B1201,-33.286,6.066,6.782,0,1
Hydrophobe,8W1V_A1AE2_B1201,-27.637,9.2,6.926,1,1
Hydrophobe,8W1V_A1AE2_B1201,-26.162,8.853,7.062,1,1
Hydrophobe,8W1V_A1AE2_B1201,-34.778,5.804,6.596,0,1
Hydrophobe,8W1V_A1AE2_B1201,-35.679,1.289,10.55,2,0
Hydrophobe,8W1V_A1AE2_B1201,-34.312,1.385,11.225,2,0
Hydrophobe,8W1V_A1AE2_B1201,-33.814,0.005,11.643,2,0
Hydrophobe,9W3F_BER_A1201,-29.903,8.851,7.138,1,1
Hydrophobe,9W3F_BER_A1201,-30.708,9.98,6.965,1,1
Hydrophobe,9W3F_BER_A1201,-30.19,5.418,8.695,0,1
Hydrophobe,9W3F_BER_A1201,-31.563,5.28,8.721,0,1
