family,ligand_id,x,y,z,cluster,kept
Donor,4LDE_P0G_A1401,-26.378,11.713,5.372,0,0
Donor,4LDE_P0G_A1401,-32.102,10.841,7.878,1,1
Donor,4LDE_P0G_A1401,-33.014,8.224,7.247,1,1
Donor,4LDE_P0G_A1401,-26.515,9.146,6.275,0,0
Donor,4LDL_XQC_A1401,-33.037,8.023,7.738,1,1
Donor,4LDL_XQC_A1401,-35.485,0.82,9.321,2,0
Donor,4LDL_XQC_A1401,-32.451,10.809,7.736,1,1
Donor,4LDL_XQC_A1401,-26.615,11.59,5.462,0,0
Donor,4LDL_XQC_A1401,-26.948,8.947,6.122,0,0
Donor,4LDO_ALE_A1402,-26.667,9.022,6.585,0,0
Donor,4LDO_ALE_A1402,-26.72,11.3,5.299,0,0
Donor,4LDO_ALE_A1402,-32.323,10.484,7.79,1,1
Donor,4LDO_ALE_A1402,-33.066,7.72,7.632,1,1
Donor,6MXT_K5Y_A1401,-32.882,8.293,7.431,1,1
Donor,6MXT_K5Y_A1401,-31.956,10.931,7.321,1,1
Donor,6MXT_K5Y_A1401,-26.162,11.156,5.274,0,0
Donor,6MXT_K5Y_A1401,-26.233,8.033,5.639,0,0
Donor,7DHI_68H_R401,-25.797,9.344,5.762,0,0
Donor,7DHI_68H_R401,-26.496,11.55,5.588,0,0
Donor,7DHI_68H_R401,-32.426,10.981,7.392,1,1
Donor,7DHI_68H_R401,-33.207,8.383,7.292,1,1
Donor,7XK9_GJ6_A1401,-32.91,7.827,7.476,1,1
Donor,7XK9_GJ6_A1401,-26.777,9.114,6.294,0,0
Donor,7XK9_GJ6_A1401,-26.646,11.687,5.428,0,0
Donor,7XK9_GJ6_A1401,-32.505,10.658,7.66,1,1
Donor,8GG0_G1I_R501,-32.414,7.681,7.372,1,1
Donor,8GG0_G1I_R501,-26.211,9.347,5.931,0,0
Donor,8GG0_G1I_R501,-26.051,12.029,5.447,0,0
Donor,8GG0_G1I_R501,-31.992,10.497,7.173,1,1
Donor,8JJ8_H98_F501,-33.166,8.208,6.937,1,1
Donor,8JJ8_H98_F501,-26.489,11.812,5.343,0,0
Donor,8JJ8_H98_F501,-26.672,9.135,6.133,0,0
Donor,8JJ8_H98_F501,-32.438,10.662,7.157,1,1
Donor,8JJL_DZQ_A501,-32.92,8.479,7.233,1,1
Donor,8JJL_DZQ_A501,-31.932,11.17,7.347,1,1
Donor,8JJL_DZQ_A501,-28.196,13.587,5.321,0,0
Donor,8JJL_DZQ_A501,-26.321,9.113,6.06,0,0
Donor,9BUY_A1ASM_R504,-33.092,8.262,7.237,1,1
Donor,9BUY_A1ASM_R504,-26.177,10.634,5.283,0,0
Donor,9BUY_A1ASM_R504,-32.242,10.621,7.056,1,1
Donor,9BUY_A1ASM_R504,-26.723,8.283,6.66,0,0
Donor,9LW5_LDP_R401,-26.148,9.121,6.154,0,0
Donor,9LW5_LDP_R401,-25.984,11.724,5.521,0,0
Donor,9LW5_LDP_R401,-32.991,10.344,8.109,1,1
Acceptor,4LDE_P0G_A1401,-25.252,7.558,7.208,0,1
Acceptor,4LDE_P0G_A1401,-26.378,11.713,5.372,0,1
Acceptor,4LDE_P0G_A1401,-32.102,10.841,7.878,1,0
