het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
G1I,CN[C@@H]1CCc2c(ccc(c2O)O)[C@H]1O,C[NH2+][C@@H]1CCc2c(ccc(O)c2O)[C@H]1O,7.4,4,9.51;10.00;10.00;10.62,phenol@12:9.60->10.00;phenol@10:9.94->10.00,pkasolver+phenol_rule
GTP,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,[NH-]c1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]2O)c(=O)[n-]1,7.4,7,3.60;3.65;3.69;4.07;5.17;5.33;5.69,,pkasolver
CAU,CC(C)NC[C@@H](COc1cccc2c1c3ccccc3[nH]2)O,CC(C)[NH2+]C[C@H](O)COc1cccc2[nH]c3ccccc3c12,7.4,3,6.66;9.13;10.81,,pkasolver
ACM,CC(=O)N,CC(N)=O,7.4,2,6.66;9.25,,pkasolver
P0G,Cc1ccccc1CC(C)(C)NC[C@@H](c2ccc(c3c2OCC(=O)N3)O)O,Cc1ccccc1CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c2c1OCC(=O)N2,7.4,5,7.32;8.58;8.84;9.88;10.00,phenol@19:9.14->10.00,pkasolver+phenol_rule
JTZ,CC(C)NC[C@@H](COc1ccccc1CC=C)O,C=CCc1ccccc1OC[C@@H](O)C[NH2+]C(C)C,7.4,1,9.48,,pkasolver
1WV,CCCCCCC=CCCCCCC(=O)OC[C@H](CO)O,CCCCCCC=CCCCCCC(=O)OC[C@@H](O)CO,7.4,2,9.72;9.83,,pkasolver
A1JHU,CC(C)NC[C@@H](COc1ccccc1/N=N/c2ccc(cc2)NC(=O)C)O,CC(=O)Nc1ccc(/N=N/c2ccccc2OC[C@@H](O)C[NH2+]C(C)C)cc1,7.4,3,5.42;9.37;9.76,,pkasolver
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
FK5,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](\C=C(\C1)/C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H]([O-])[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,7.4,4,6.28;7.33;7.54;8.35,,pkasolver
TIM,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O,CC(C)(C)[NH2+]C[C@H](O)COc1nsnc1N1CCOCC1,7.4,3,4.46;4.68;9.20,,pkasolver
H98,C[C@H](Cc1ccc(cc1)OC)NC[C@@H](c2ccc(c(c2)NC=O)O)O,COc1ccc(C[C@@H](C)[NH2+]C[C@H](O)c2ccc(O)c(NC=O)c2)cc1,7.4,5,6.37;9.00;9.37;9.59;10.00,phenol@17:9.87->10.00,pkasolver+phenol_rule
JRZ,Cc1ccc(c2c1CCC2)OC[C@H]([C@H](C)NC(C)C)O,Cc1ccc(OC[C@@H](O)[C@H](C)[NH2+]C(C)C)c2c1CCC2,7.4,1,9.81,,pkasolver
KBY,CC(C)N(C)S(=O)(=O)c1ccc(c(c1)C(=O)N[C@H](Cc2ccc(cc2)C(C)(C)C)CC(=O)NCC(=O)O)Sc3ccc(cc3)OC,COc1ccc(Sc2ccc(S(=O)(=O)[NH+](C)C(C)C)cc2C(=O)N[C@@H](CC(=O)NCC(=O)[O-])Cc2ccc(C(C)(C)C)cc2)cc1,7.4,6,3.30;4.83;4.88;6.46;8.69;9.11,,pkasolver
35V,COc1cc(ccc1OCCS)CCNC[C@@H](c2ccc(c(c2)O)O)O,COc1cc(CC[NH2+]C[C@H](O)c2ccc(O)c(O)c2)ccc1OCC[SH2+],7.4,3,7.88;9.06;9.11,,pkasolver
5FW,CC(C)NC[C@@H](c1ccc(c(c1)O)O)O,CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,7.4,2,9.41;9.51,,pkasolver
68H,CC(C)(C)NC[C@@H](c1ccc(c(c1)CO)O)O,CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c(CO)c1,7.4,4,9.38;9.57;9.98;10.00,phenol@12:9.83->10.00,pkasolver+phenol_rule
8VS,CNC(=O)[C@H](Cc1cccc(c1)Br)NC(=O)[C@H](Cc2ccc(cc2)C(=O)N)NC(=O)[C@@H](c3ccccc3)C4CCCCC4,CNC(=O)[C@H](Cc1cccc(Br)c1)NC(=O)[C@H](Cc1ccc(C(N)=O)cc1)NC(=O)[C@@H](c1ccccc1)C1CCCCC1,7.4,8,6.26;6.38;6.41;6.57;7.48;7.89;8.61;9.39,,pkasolver
A1AE2,CCCc1ccccc1OC[C@H](CNCCCc2cn(nn2)CCCCc3ccc(cc3)OC[C@H](CNC(C)C)O)O,CCCc1ccccc1OC[C@@H](O)C[NH2+]CCCc1cn(CCCCc2ccc(OC[C@@H](O)C[NH2+]C(C)C)cc2)nn1,7.4,3,6.62;6.98;9.64,,pkasolver
A1ASM,c1ccc(cc1)CCCCOCCCCCCNC[C@@H](c2ccc(c(c2)O)O)O,Oc1ccc([C@@H](O)C[NH2+]CCCCCCOCCCCc2ccccc2)cc1O,7.4,4,9.38;10.00;10.00;10.01,phenol@0:9.47->10.00;phenol@28:9.69->10.00,pkasolver+phenol_rule
A1D9A,Cc1cc(sc1C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(c2ccc(cc2)Cl)c3ccc(cc3)Cl,Cc1cc(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)sc1C(=O)N[C@@H](CCCN=C(N)N)C(=O)[O-],7.4,4,4.65;5.68;7.22;9.48,,pkasolver
A1IZU,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)c3cccn4c3ncc4,Cc1cc(-c2cccn3ccnc23)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,7.4,3,4.65;5.87;8.83,,pkasolver
A1IZV,CC1=C(N(C(=O)NC1=O)C)c2c(cc(cn2)Oc3c4ccoc4ccn3)F,Cc1c(-c2ncc(Oc3nccc4occc34)cc2F)n(C)c(=O)[nH]c1=O,7.4,4,3.81;4.50;5.76;9.03,,pkasolver
ALE,CNC[C@@H](c1ccc(c(c1)O)O)O,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,7.4,4,9.21;10.00;10.00;10.37,phenol@9:9.40->10.00;phenol@11:9.74->10.00,pkasolver+phenol_rule
