het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
G1I,"(5R,6R)-6-(methylamino)-5,6,7,8-tetrahydronaphthalene-1,2,5-triol",ligand,False,81,81,8GG0,209.242,CN[C@@H]1CCc2c(ccc(c2O)O)[C@H]1O
GTP,GUANOSINE-5'-TRIPHOSPHATE,cofactor,False,40,40,8GG0,523.18,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
CAU,(2S)-1-(9H-Carbazol-4-yloxy)-3-(isopropylamino)propan-2-ol,ligand,False,9,10,2RH1,298.379,CC(C)NC[C@@H](COc1cccc2c1c3ccccc3[nH]2)O
ACM,ACETAMIDE,ligand,False,7,7,2RH1,59.067,CC(=O)N
P0G,"8-[(1R)-2-{[1,1-dimethyl-2-(2-methylphenyl)ethyl]amino}-1-hydroxyethyl]-5-hydroxy-2H-1,4-benzoxazin-3(4H)-one",ligand,False,7,8,4LDE,370.442,Cc1ccccc1CC(C)(C)NC[C@@H](c2ccc(c3c2OCC(=O)N3)O)O
JTZ,(2S)-1-[(1-methylethyl)amino]-3-(2-prop-2-en-1-ylphenoxy)propan-2-ol,ligand,False,5,5,6PS2,249.349,CC(C)NC[C@@H](COc1ccccc1CC=C)O
1WV,"(2S)-2,3-dihydroxypropyl (7Z)-tetradec-7-enoate",ligand,False,4,4,4LDE,300.434,CCCCCCC=CCCCCCC(=O)OC[C@H](CO)O
A1JHU,~{N}-[4-[(~{E})-[2-[(2~{S})-2-oxidanyl-3-(propan-2-ylamino)propoxy]phenyl]diazenyl]phenyl]ethanamide,ligand,False,4,4,9RKF,370.445,CC(C)NC[C@@H](COc1ccccc1/N=N/c2ccc(cc2)NC(=O)C)O
MG,MAGNESIUM ION,metal,True,4,4,6MXT,24.305,[Mg+2]
FK5,8-DEETHYL-8-[BUT-3-ENYL]-ASCOMYCIN,ligand,False,3,3,9CHU,804.018,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](\C=C(\C1)/C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
