het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
ZN,[Zn+2],[Zn+2],7.4,0,,pkasolver:no_ionizable
HG,[Hg+2],[Hg+2],7.4,0,,pkasolver:no_ionizable
MBO,c1cc(ccc1C(=O)O)[Hg],O=C([O-])c1cc[c]([Hg])cc1,7.4,1,3.93,pkasolver
CO2,C(=O)=O,O=C=O,7.4,0,,pkasolver:no_ionizable
BE7,c1cc(ccc1C(=O)O)[Hg]Cl,O=C([O-])c1cc[c]([Hg][Cl])cc1,7.4,1,3.76,pkasolver
BCT,C(=O)(O)[O-],O=C([O-])[O-],7.4,2,3.52;4.19,pkasolver
NI,[Ni+2],[Ni+2],7.4,0,,pkasolver:no_ionizable
CO,[Co+2],[Co+2],7.4,0,,pkasolver:no_ionizable
HGB,c1cc(ccc1C(=O)O)[Hg]O,O=C([O-])c1cc[c]([Hg][OH])cc1,7.4,1,3.86,pkasolver
CU,[Cu+2],[Cu+2],7.4,0,,pkasolver:no_ionizable
MNP,c1cc(cc(c1)[N+](=O)[O-])CC(=O)O,O=C([O-])Cc1cccc([N+](=O)[O-])c1,7.4,1,4.02,pkasolver
AZM,CC(=O)Nc1nnc(s1)S(=O)(=O)N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,7.4,5,5.10;5.31;6.90;8.04;8.89,pkasolver
EVF,c1ccc2c(c1)nc(s2)S(=O)(=O)N,NS(=O)(=O)c1nc2ccccc2s1,7.4,3,2.77;6.78;8.09,pkasolver
BEZ,c1ccc(cc1)C(=O)O,O=C([O-])c1ccccc1,7.4,1,4.03,pkasolver
FB2,c1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccccc1,7.4,2,6.71;9.71,pkasolver
V14,C1CCCC(CCC1)Nc2c(c(c(c(c2S(=O)(=O)CCO)F)F)S(=O)(=O)N)F,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F,7.4,4,6.52;6.56;8.07;8.25,pkasolver
ETS,CCN[C@H]1C[C@@H](S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C,CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,7.4,2,6.84;8.03,pkasolver
EZL,CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,7.4,3,3.07;6.94;8.29,pkasolver
V90,C1CCCC(CCC1)Nc2c(c(c(c(c2S(=O)(=O)N)F)F)SCCO)F,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1[NH2+]C1CCCCCCC1,7.4,4,6.81;7.68;8.43;8.86,pkasolver
WWO,c1ccc(cc1)CNc2c(c(c(c(c2S(=O)(=O)CCO)F)F)S(=O)(=O)N)F,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F,7.4,5,3.58;6.45;7.85;8.00;9.14,pkasolver
4MZ,Cc1c[nH]cn1,Cc1c[nH]c[nH+]1,7.4,3,3.96;7.48;10.24,pkasolver
LSA,c1ccc2c(c1)C(=O)NS2(=O)=O,O=C1NS(=O)(=O)c2ccccc21,7.4,1,8.84,pkasolver
MMC,C[Hg+],[CH3][Hg+],7.4,0,,pkasolver:no_ionizable
MZM,CC(=O)/N=C\1/N(N=C(S1)S(=O)(=O)N)C,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.4,3,2.70;7.19;8.15,pkasolver
N7S,c1cc(c(cc1S(=O)(=O)N)NC(=O)NCCCCO)O,[NH3+]S(=O)(=O)c1ccc(O)c(NC(=O)NCCCCO)c1,7.4,6,4.56;7.92;9.97;10.37;10.50;10.62,pkasolver
N84,c1cc(c(cc1S(=O)(=O)N)NC(=O)NCc2ccncc2)O,NS(=O)(=O)c1ccc(O)c(NC(=O)NCc2cc[nH+]cc2)c1,7.4,7,4.15;7.31;7.87;9.35;9.96;10.40;10.78,pkasolver
N8A,c1ccnc(c1)CCNC(=O)Nc2cc(ccc2O)S(=O)(=O)N,NS(=O)(=O)c1ccc(O)c(NC(=O)NCCc2cccc[nH+]2)c1,7.4,6,6.42;7.54;9.63;10.14;10.16;10.37,pkasolver
SHH,c1ccc(cc1)NC(=O)CCCCCCC(=O)NO,O=C(CCCCCCC(=O)Nc1ccccc1)NO,7.4,1,9.56,pkasolver
V50,Cc1cc(nc(n1)Sc2c(c(c(c(c2F)F)S(=O)(=O)N)F)F)C,Cc1cc(C)nc(Sc2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)n1,7.4,3,3.71;5.99;8.15,pkasolver
0VV,c1ccc2c(c1)CN/C(=N\S(=O)(=O)N)/N2,NS(=O)(=O)/[NH+]=C1\NCc2ccccc2N1,7.4,2,7.19;9.86,pkasolver
3TV,CCCSc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,7.4,2,6.17;8.27,pkasolver
4J8,Cc1ccc(cc1)S(=O)(=O)N,Cc1ccc(S(N)(=O)=O)cc1,7.4,2,6.71;9.95,pkasolver
4WA,c1cc(ccc1N)N=Nc2ccc(cc2)S(=O)(=O)N,Nc1ccc(N=Nc2ccc(S(N)(=O)=O)cc2)cc1,7.4,0,,pkasolver:no_ionizable
7Q1,c1ccc(cc1)[C@@H]2C(=O)NC(=O)O2,O=C1NC(=O)[C@@H](c2ccccc2)O1,7.4,1,7.45,pkasolver
A1H15,[H]/N=C(\N)/N/C(=N\[H])/NCc1ccc(cc1)S(=O)(=O)N,[H]/[NH+]=C(/NCc1ccc(S([NH3+])(=O)=O)cc1)N/C(N)=[NH+]/[H],7.4,4,7.66;8.84;9.15;9.37,pkasolver
A1H9O,CC1(C(=O)N2c3ccc(cc3N4[Fe]25N1C(=O)N(C(=O)N5C(C4=O)(C)C)C)C(=O)NCCc6ccc(cc6)S(=O)(=O)N)C,CN1C(=O)[N]2C(C)(C)C(=O)[N]3c4ccc(C(=O)[N-]CCc5ccc(S([NH-])(=O)=O)cc5)cc4[N]4C(=O)C(C)(C)[N](C1=O)[Fe]342,7.4,8,2.87;3.09;3.94;4.00;4.77;5.12;7.02;7.33,pkasolver
BEW,c1cc[n+](c(c1)S)O,O[n+]1ccccc1[S-],7.4,2,2.36;2.43,pkasolver
BZ1,CCN[C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC,CC[NH2+][C@H]1C[NH+](CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,7.4,4,4.67;6.99;8.08;8.45,pkasolver
CO3,C(=O)([O-])[O-],O=C([O-])[O-],7.4,2,3.52;4.19,pkasolver
D9Z,c1ccc(c(c1)c2nnc(s2)S(=O)(=O)N)Cl,NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1,7.4,3,2.96;6.48;7.78,pkasolver
