family,ligand_id,x,y,z,cluster,kept
Donor,5KLS_6UC_C1304,26.709,163.667,14.616,0,1
Donor,5KLS_6UC_C1304,26.726,165.602,19.563,1,1
Donor,5KMF_6U9_A1301,24.787,162.008,15.036,0,1
Donor,6KE5_6UB_B1301,25.4,163.317,16.0,0,1
Donor,6KE5_6UB_B1301,28.824,164.277,18.083,1,1
Acceptor,5KLS_6UC_C1304,22.259,164.332,15.998,2,0
Acceptor,5KLS_6UC_C1304,22.128,162.812,14.293,2,0
Acceptor,5KLS_6UC_C1304,25.448,168.202,13.646,1,1
Acceptor,5KLS_6UC_C1304,25.854,167.771,15.812,1,1
Acceptor,5KLS_6UC_C1304,24.705,163.374,17.283,2,0
Acceptor,5KMF_6U9_A1301,20.365,160.494,7.973,3,0
Acceptor,5KMF_6U9_A1301,22.518,161.439,10.815,3,0
Acceptor,5KMF_6U9_A1301,21.226,162.317,12.455,3,0
Acceptor,5KMF_6U9_A1301,25.142,166.515,13.188,1,1
Acceptor,5KMF_6U9_A1301,26.168,166.567,15.156,1,1
Acceptor,6KE5_6UB_B1301,26.761,160.713,12.671,0,0
Acceptor,6KE5_6UB_B1301,27.978,162.495,12.006,0,0
Acceptor,6KE5_6UB_B1301,24.254,166.823,13.133,1,1
Acceptor,6KE5_6UB_B1301,25.904,167.712,14.345,1,1
Acceptor,6KE5_6UB_B1301,27.84,161.475,16.034,0,0
PosIonizable,5KLS_6UC_C1304,26.726,165.602,19.563,0,1
PosIonizable,6KE5_6UB_B1301,28.824,164.277,18.083,0,1
Aromatic,5KLS_6UC_C1304,24.681,163.146,10.763,1,0
Aromatic,5KMF_6U9_A1301,25.887,163.98,10.16,0,1
Aromatic,6KE5_6UB_B1301,24.902,164.713,10.661,0,1
Hydrophobe,5KLS_6UC_C1304,24.256,163.825,14.373,0,1
Hydrophobe,5KLS_6UC_C1304,25.779,165.756,13.999,0,1
Hydrophobe,5KLS_6UC_C1304,24.65,164.913,13.362,0,1
Hydrophobe,5KLS_6UC_C1304,24.75,164.067,11.921,1,1
Hydrophobe,5KLS_6UC_C1304,25.229,164.396,10.633,1,1
Hydrophobe,5KMF_6U9_A1301,23.58,162.456,12.908,0,1
Hydrophobe,5KMF_6U9_A1301,25.206,164.275,14.003,0,1
Hydrophobe,5KMF_6U9_A1301,24.288,163.831,12.782,0,1
Hydrophobe,5KMF_6U9_A1301,25.126,163.926,11.323,1,1
Hydrophobe,6KE5_6UB_B1301,26.482,162.968,13.759,0,1
Hydrophobe,6KE5_6UB_B1301,25.48,165.183,14.411,0,1
Hydrophobe,6KE5_6UB_B1301,26.028,164.342,13.32,0,1
Hydrophobe,6KE5_6UB_B1301,25.33,164.487,11.927,1,1
Hydrophobe,6KE5_6UB_B1301,26.103,165.213,11.055,1,1
