family,ligand_id,x,y,z,cluster,kept
Donor,5KLS_6UC_C1304,26.709,163.667,14.616,0,1
Donor,5KMF_6U9_A1301,24.787,162.008,15.036,0,1
Donor,6KE5_6UB_B1301,25.4,163.317,16.0,0,1
Acceptor,5KLS_6UC_C1304,22.259,164.332,15.998,1,0
Acceptor,5KLS_6UC_C1304,22.128,162.812,14.293,1,0
Acceptor,5KLS_6UC_C1304,25.448,168.202,13.646,0,0
Acceptor,5KLS_6UC_C1304,25.854,167.771,15.812,0,0
Acceptor,5KLS_6UC_C1304,24.705,163.374,17.283,0,0
Acceptor,5KMF_6U9_A1301,20.365,160.494,7.973,3,0
Acceptor,5KMF_6U9_A1301,22.518,161.439,10.815,1,0
Acceptor,5KMF_6U9_A1301,21.226,162.317,12.455,1,0
Acceptor,5KMF_6U9_A1301,25.142,166.515,13.188,0,0
Acceptor,5KMF_6U9_A1301,26.168,166.567,15.156,0,0
Acceptor,6KE5_6UB_B1301,26.761,160.713,12.671,2,0
Acceptor,6KE5_6UB_B1301,27.978,162.495,12.006,2,0
Acceptor,6KE5_6UB_B1301,24.254,166.823,13.133,0,0
Acceptor,6KE5_6UB_B1301,25.904,167.712,14.345,0,0
Acceptor,6KE5_6UB_B1301,27.84,161.475,16.034,2,0
PosIonizable,5KLS_6UC_C1304,26.726,165.602,19.563,0,1
PosIonizable,6KE5_6UB_B1301,28.824,164.277,18.083,0,1
Aromatic,5KLS_6UC_C1304,24.681,163.146,10.763,0,1
Aromatic,5KMF_6U9_A1301,25.887,163.98,10.16,0,1
Aromatic,6KE5_6UB_B1301,24.902,164.713,10.661,0,1
LumpedHydrophobe,5KMF_6U9_A1301,26.563,166.944,8.639,1,0
LumpedHydrophobe,5KMF_6U9_A1301,26.817,168.311,15.644,0,0
