het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
CA,[Ca+2],[Ca+2],7.4,0,,,pkasolver:no_ionizable
6UB,CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCCN,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,7.4,2,5.23;6.79,,pkasolver
6UC,CCOC(=O)C1=C(NC(=C([C@H]1c2ccccc2Br)C(=O)OC)C)COCCN(C)C,CCOC(=O)C1=C(COCCN(C)C)NC(C)=C(C(=O)OC)[C@H]1c1ccccc1Br,7.4,2,5.38;6.69,,pkasolver
D6C,CC(=O)O[C@H]1[C@@H](Sc2ccccc2N(C1=O)CCN(C)C)c3ccc(cc3)OC,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@H]2OC(C)=O)cc1,7.4,2,3.61;8.03,,pkasolver
G3P,C([C@H](COP(=O)(O)O)O)O,O=P([O-])([O-])OC[C@H](O)CO,7.4,3,2.76;5.66;5.77,alcohol:2,pkasolver+weak_acid_guard
5P2,CCN1CC(C1)n2c(ccn2)c3cc(ccc3Oc4ccc(cc4C#N)S(=O)(=O)Nc5ncns5)C(F)(F)F,CCN1CC(n2nccc2-c2cc(C(F)(F)F)ccc2Oc2ccc(S(=O)(=O)Nc3ncns3)cc2C#N)C1,7.4,5,3.63;3.86;4.32;6.47;6.63,sulfonamide:1,pkasolver+weak_acid_guard
6U8,CC(C)[C@@](CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccccc2Br,COc1ccc(CC[NH+](C)CCC[C@](C#N)(c2ccccc2Br)C(C)C)cc1OC,7.4,1,8.82,,pkasolver
6U9,CC1=C([C@@H](C(=C(N1)C)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-])C(=O)OCCOC,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,7.4,1,4.81,,pkasolver
BNC,CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,7.4,3,9.10;9.18;9.36,,pkasolver
C9X,CC1=C([C@H](C(=C(N1)C)P2(=O)OCC(CO2)(C)C)c3cccc(c3)[N+](=O)[O-])C(=O)OCCN(Cc4ccccc4)c5ccccc5,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,7.4,2,3.79;5.03,,pkasolver
CD,[Cd+2],[Cd+2],7.4,0,,,pkasolver:no_ionizable
GAI,C(=N)(N)N,N=C(N)N,7.4,0,,,pkasolver:no_ionizable
K4D,c1cc(c(cc1OCC(F)(F)F)C(=O)NC[C@H]2CCCCN2)OCC(F)(F)F,O=C(NC[C@H]1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,7.4,3,4.61;9.11;9.18,,pkasolver
MGX,[H]/N=C(/N)\NC,[H]/[NH+]=C(/N)NC,7.4,1,9.56,,pkasolver
MN,[Mn+2],[Mn+2],7.4,0,,,pkasolver:no_ionizable
UHH,C[C@H](CCC(=O)N)C1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(C=C[C@H](C4)O)C)O)O)C,C[C@H](CCC([NH3+])=O)C1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)C=C[C@]4(C)[C@H]3C[C@H](O)[C@]12C,7.4,5,7.66;8.61;9.03;9.17;9.32,,pkasolver
