het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
CA,CALCIUM ION,metal,True,31,74,9UC1,40.078,[Ca+2]
6UB,amlodipine,ligand,False,2,2,6KE5,408.876,CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCCN
6UC,"O3-ethyl O5-methyl (4R)-4-(2-bromophenyl)-2-[2-(dimethylamino)ethoxymethyl]-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",ligand,False,2,3,5KLS,481.38,CCOC(=O)C1=C(NC(=C([C@H]1c2ccccc2Br)C(=O)OC)C)COCCN(C)C
D6C,"[(2~{S},3~{R})-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxidanylidene-2,3-dihydro-1,5-benzothiazepin-3-yl] ethanoate",ligand,False,2,2,6KE5,414.518,CC(=O)O[C@H]1[C@@H](Sc2ccccc2N(C1=O)CCN(C)C)c3ccc(cc3)OC
G3P,SN-GLYCEROL-3-PHOSPHATE,ligand,False,2,9,6KE5,172.074,C([C@H](COP(=O)(O)O)O)O
5P2,"3-cyano-4-[2-[2-(1-ethylazetidin-3-yl)pyrazol-3-yl]-4-(trifluoromethyl)phenoxy]-~{N}-(1,2,4-thiadiazol-5-yl)benzenesulfonamide",ligand,False,1,4,5EK0,575.586,CCN1CC(C1)n2c(ccn2)c3cc(ccc3Oc4ccc(cc4C#N)S(=O)(=O)Nc5ncns5)C(F)(F)F
6U8,"(2~{R})-2-(2-bromophenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methyl-amino]-2-propan-2-yl-pentanenitrile",ligand,False,1,1,5KMH,473.446,CC(C)[C@@](CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccccc2Br
6U9,S-nimodipine,ligand,False,1,1,5KMF,418.44,CC1=C([C@@H](C(=C(N1)C)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-])C(=O)OCCOC
BNC,"5-BETA-24-NOR-CHOLANE-3(ALPHA),7(ALPHA),12(ALPHA)-TRIOL",ligand,False,1,1,6C1E,364.562,CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
C9X,"2-[phenyl-(phenylmethyl)amino]ethyl (4~{R})-5-(5,5-dimethyl-2-oxidanylidene-1,3,2$l^{5}-dioxaphosphinan-2-yl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylate",ligand,False,1,1,6JUH,631.655,CC1=C([C@H](C(=C(N1)C)P2(=O)OCC(CO2)(C)C)c3cccc(c3)[N+](=O)[O-])C(=O)OCCN(Cc4ccccc4)c5ccccc5
CD,CADMIUM ION,metal,True,1,5,4MVS,112.411,[Cd+2]
GAI,GUANIDINE,ligand,False,1,2,6C1K,59.07,C(=N)(N)N
K4D,Flecainide,ligand,False,1,1,6MVX,414.343,c1cc(c(cc1OCC(F)(F)F)C(=O)NC[C@H]2CCCCN2)OCC(F)(F)F
MGX,1-METHYLGUANIDINE,ligand,False,1,2,6C1M,73.097,[H]/N=C(/N)\NC
MN,MANGANESE (II) ION,metal,True,1,1,4MVR,54.938,[Mn+2]
UHH,"(3ALPHA,5ALPHA,7ALPHA,8ALPHA,12ALPHA,14BETA,17ALPHA)-3,7,12-TRIHYDROXYCHOL-1-EN-24-AMIDE",ligand,False,1,1,6C1E,405.571,C[C@H](CCC(=O)N)C1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(C=C[C@H](C4)O)C)O)O)C
