family,ligand_id,x,y,z,cluster,kept
Donor,1GZ8_MBP_A1300,10.167,-21.701,-22.532,0,0
Donor,1GZ8_MBP_A1300,7.414,-24.252,-25.445,5,1
Donor,1GZ8_MBP_A1300,8.55,-20.867,-21.359,4,0
Donor,1H00_FAP_A1300,7.408,-20.732,-21.333,4,0
Donor,1H00_FAP_A1300,8.136,-24.438,-24.721,5,1
Donor,1H00_FAP_A1300,-1.749,-27.8,-26.653,2,0
Donor,1H00_FAP_A1300,0.67,-28.455,-25.228,2,0
Donor,1H00_FCP_A1400,7.408,-20.732,-21.333,4,0
Donor,1H00_FCP_A1400,8.136,-24.438,-24.721,5,1
Donor,1H00_FCP_A1400,-0.172,-28.272,-28.287,2,0
Donor,1H00_FCP_A1400,0.401,-28.04,-24.773,2,0
Donor,1JVP_89E_P301,9.84,-23.403,-24.275,0,0
Donor,1JVP_89E_P301,10.203,-22.346,-23.469,0,0
Donor,1OIT_HDT_A1299,1.686,-27.012,-24.762,2,0
Donor,1OIT_HDT_A1299,7.755,-24.464,-24.97,5,1
Donor,1URW_I1P_A1300,8.236,-24.803,-25.372,5,1
Donor,1URW_I1P_A1300,1.837,-27.065,-25.154,2,0
Donor,1URW_I1P_A1300,-2.538,-26.59,-26.091,2,0
Donor,2R3F_SC8_A501,7.262,-24.801,-24.18,5,1
Donor,2R3G_SC9_A501,3.615,-25.032,-22.72,1,0
Donor,2R3H_SCE_A501,6.904,-25.15,-25.045,5,1
Donor,2R3I_SCF_A501,7.181,-24.494,-24.49,5,1
Donor,2R3J_SCJ_A501,7.032,-24.796,-24.56,5,1
Donor,2R3K_SCQ_A501,7.062,-24.906,-24.213,5,1
Donor,2R3L_SCW_A501,7.052,-25.004,-24.605,5,1
Donor,2R3M_SCX_A501,7.108,-24.736,-24.139,5,1
Donor,2R3M_SCX_A501,2.548,-25.587,-28.231,2,0
Donor,2R3N_SCZ_A501,6.964,-25.115,-24.975,5,1
Donor,2R3P_3SC_A501,7.091,-24.887,-24.129,5,1
Donor,2R3Q_5SC_A501,7.105,-24.69,-24.447,5,1
Donor,2R3R_6SC_A501,6.974,-25.056,-24.899,5,1
Donor,2VTT_LZD_A1299,7.079,-24.668,-24.899,5,1
Donor,2VTT_LZD_A1299,9.578,-23.363,-24.465,0,0
Donor,2VTT_LZD_A1299,10.562,-22.625,-23.888,0,0
Donor,2VTT_LZD_A1299,7.712,-21.37,-22.143,4,0
Donor,2VTT_LZD_A1299,3.962,-26.783,-24.477,2,0
Donor,3PXZ_JWS_A301,3.346,-23.521,-22.328,1,0
Donor,3PXZ_JWS_A301,9.104,-22.607,-25.099,0,0
Donor,3PXZ_JWS_A301,5.76,-25.074,-26.1,5,1
Donor,3PY0_SU9_A301,6.618,-24.682,-25.211,5,1
Donor,3PY0_SU9_A301,4.715,-25.788,-25.391,5,1
Donor,3PY0_SU9_A301,9.334,-21.57,-23.105,0,0
Donor,3QQF_X07_A543,7.22,-24.773,-23.928,5,1
Donor,3QQF_X07_A543,10.078,-21.879,-22.987,0,0
Donor,3QQJ_X11_A300,3.172,-23.887,-23.843,1,0
Donor,3QQJ_X11_A300,6.688,-26.103,-26.198,5,1
Donor,3QQJ_X11_A300,9.591,-23.642,-24.349,0,0
Donor,3QRT_X14_A535,9.488,-23.266,-24.259,0,0
Donor,3QRT_X14_A535,10.192,-22.652,-23.28,0,0
Donor,3QRT_X14_A535,7.446,-24.337,-25.762,5,1
Donor,3QRT_X14_A535,1.381,-28.215,-23.729,2,0
Donor,3QWJ_X6A_A483,7.306,-24.375,-24.103,5,1
Donor,3QWJ_X6A_A483,10.296,-21.881,-22.772,0,0
Donor,3QWJ_X6A_A483,2.988,-25.673,-28.346,2,0
Donor,3QX2_X63_A300,7.427,-24.9,-23.927,5,1
Donor,3QX2_X63_A300,10.061,-21.843,-22.983,0,0
Donor,3QX2_X63_A300,3.831,-22.518,-21.914,1,0
Donor,3QX2_X63_A300,2.864,-25.702,-28.064,2,0
Donor,3QX2_X63_A300,1.08,-23.098,-22.128,1,0
Donor,3QXO_X65_A668,7.279,-24.744,-23.913,5,1
Donor,3QXO_X65_A668,10.117,-21.871,-22.96,0,0
Donor,3QXO_X65_A668,2.378,-25.092,-29.357,2,0
Donor,3QZG_X67_A471,6.512,-26.054,-26.027,5,1
Donor,3QZG_X67_A471,9.488,-23.449,-24.427,0,0
Donor,3QZG_X67_A471,3.263,-24.106,-23.308,1,0
Donor,3QZI_X72_A512,7.365,-24.345,-24.077,5,1
Donor,3QZI_X72_A512,10.329,-21.868,-22.739,0,0
Donor,3R28_XA0_A782,7.275,-24.41,-24.327,5,1
Donor,3R28_XA0_A782,10.317,-22.048,-22.809,0,0
Donor,3R73_X87_A920,7.317,-24.932,-24.019,5,1
Donor,3R73_X87_A920,9.953,-21.987,-22.896,0,0
Donor,3R73_X87_A920,3.697,-22.641,-21.989,1,0
Donor,3R73_X87_A920,-0.622,-23.041,-21.108,1,0
Donor,3RAI_X85_A923,9.918,-21.926,-22.913,0,0
Donor,3RAI_X85_A923,7.368,-25.087,-23.901,5,1
Donor,3RAI_X85_A923,3.58,-22.736,-21.849,1,0
Donor,3RAI_X85_A923,0.496,-26.296,-22.656,2,0
Donor,3RM6_18Z_A478,10.384,-21.972,-22.769,0,0
Donor,3RM6_18Z_A478,4.104,-21.48,-22.088,1,0
Donor,3RM6_18Z_A478,7.333,-24.457,-23.978,5,1
Donor,3RM6_18Z_A478,2.718,-25.551,-27.959,2,0
Donor,3RM6_18Z_A478,1.8,-22.091,-19.332,3,0
Donor,3RM6_18Z_A478,0.574,-22.116,-16.73,3,0
Donor,3SW4_18K_A299,3.653,-20.637,-20.893,1,0
Donor,3SW4_18K_A299,8.047,-25.045,-25.027,5,1
Donor,4ACM_7YG_A1302,-0.76,-25.988,-26.855,2,0
Donor,4ACM_7YG_A1302,1.947,-27.178,-26.303,2,0
Donor,4ACM_7YG_A1302,6.507,-21.536,-21.612,4,0
Donor,4ACM_7YG_A1302,10.566,-21.673,-23.032,0,0
Donor,4EK4_1CK_A301,9.661,-23.214,-24.226,0,0
Donor,4EK4_1CK_A301,7.599,-24.149,-24.757,5,1
Donor,4EK4_1CK_A301,10.136,-22.268,-23.421,0,0
Donor,4EK5_03K_A300,7.54,-24.227,-24.8,5,1
Donor,4EK5_03K_A300,3.146,-29.662,-27.205,2,0
Donor,4EK5_03K_A300,10.118,-22.385,-23.604,0,0
Donor,4EK5_03K_A300,9.604,-23.285,-24.308,0,0
Donor,4EK6_10K_A301,7.55,-24.508,-24.493,5,1
Donor,4EK6_10K_A301,9.589,-23.318,-24.228,0,0
Donor,4EK6_10K_A301,9.986,-22.257,-23.506,0,0
Donor,4EK8_16K_A301,7.703,-24.414,-24.94,5,1
Donor,4FKG_4CK_A300,10.121,-22.363,-23.551,0,0
Donor,4FKG_4CK_A300,9.643,-23.26,-24.281,0,0
Donor,4FKG_4CK_A300,7.534,-24.15,-24.777,5,1
Donor,4FKG_4CK_A300,3.759,-28.191,-29.24,2,0
Donor,4FKI_09K_A301,7.597,-24.56,-24.501,5,1
Donor,4FKI_09K_A301,9.639,-23.353,-24.214,0,0
Donor,4FKI_09K_A301,10.045,-22.297,-23.52,0,0
Donor,4FKJ_11K_A301,10.033,-22.331,-23.521,0,0
Donor,4FKJ_11K_A301,9.606,-23.32,-24.169,0,0
Donor,4FKJ_11K_A301,7.617,-24.492,-24.515,5,1
Donor,4FKJ_11K_A301,0.459,-25.327,-31.161,2,0
Donor,4FKL_CK2_A300,10.079,-21.497,-22.395,0,0
Donor,4FKO_20K_A301,7.979,-24.904,-25.028,5,1
Donor,4FKP_LS5_A301,10.152,-21.625,-22.807,0,0
Donor,4FKP_LS5_A301,7.124,-24.072,-24.424,5,1
Donor,4FKP_LS5_A301,1.701,-27.314,-25.748,2,0
Donor,4FKP_LS5_A301,0.222,-25.666,-26.408,2,0
Donor,4FKP_LS5_A301,2.039,-26.093,-27.73,2,0
Donor,4FKS_46K_A301,1.41,-27.688,-25.783,2,0
Donor,4FKS_46K_A301,6.864,-24.254,-24.71,5,1
Donor,4FKS_46K_A301,9.866,-21.627,-23.257,0,0
Donor,4FKT_48K_A301,1.387,-27.461,-26.003,2,0
Donor,4FKT_48K_A301,6.893,-24.066,-24.544,5,1
Donor,4FKT_48K_A301,10.004,-21.666,-22.984,0,0
Donor,4FKT_48K_A301,0.465,-25.283,-28.723,2,0
Donor,4FKU_60K_A303,1.701,-27.977,-24.801,2,0
Donor,4FKU_60K_A303,7.193,-24.228,-24.629,5,1
Donor,4FKU_60K_A303,10.233,-21.715,-23.406,0,0
Donor,4FKU_60K_A303,5.472,-19.487,-19.975,4,0
Donor,4FKV_61K_A301,1.689,-21.98,-21.6,1,0
Donor,4FKV_61K_A301,1.106,-20.898,-19.835,3,0
Donor,4FKV_61K_A301,5.098,-19.87,-19.747,4,0
Donor,4FKV_61K_A301,10.061,-21.817,-23.234,0,0
Donor,4FKV_61K_A301,1.48,-27.875,-24.928,2,0
Donor,4FKV_61K_A301,7.076,-24.307,-24.608,5,1
Donor,4GCJ_X64_A305,8.071,-24.504,-25.204,5,1
Donor,4GCJ_X64_A305,11.128,-21.998,-22.825,0,0
Donor,4GCJ_X64_A305,1.837,-27.123,-24.93,2,0
Donor,4RJ3_3QS_A302,7.501,-24.205,-24.975,5,1
Donor,5ANE_SZL_A1299,8.388,-20.801,-21.672,4,0
Donor,5ANE_SZL_A1299,10.244,-21.491,-22.549,0,0
Donor,5ANE_SZL_A1299,9.146,-22.868,-24.266,0,0
Donor,5ANJ_ZXC_A1299,8.04,-21.236,-21.671,4,0
Donor,5ANJ_ZXC_A1299,5.406,-22.559,-22.802,1,0
Donor,5ANJ_ZXC_A1299,10.035,-21.767,-22.522,0,0
Donor,5ANJ_ZXC_A1299,9.199,-23.229,-24.24,0,0
Donor,5IEY_6AE_A1001,4.814,-20.145,-20.491,4,0
Donor,5IEY_6AE_A1001,6.826,-21.45,-22.036,4,0
Donor,5IEY_6AE_A1001,7.904,-24.697,-25.193,5,1
Donor,5IEY_6AE_A1001,1.773,-27.372,-24.988,2,0
Donor,5K4J_6QB_A301,7.491,-24.667,-25.076,5,1
Donor,5K4J_6QB_A301,2.323,-21.203,-17.364,3,0
Donor,5MHQ_8QT_A301,4.382,-22.411,-21.628,1,0
Donor,5MHQ_8QT_A301,6.909,-24.994,-24.498,5,1
Donor,5MHQ_8QT_A301,4.101,-22.291,-18.641,3,0
Donor,6GUH_FB8_A301,7.829,-23.927,-24.992,5,1
Donor,6GUK_FC8_A301,6.823,-24.633,-25.34,5,1
Donor,6GUK_FC8_A301,4.224,-22.103,-22.437,1,0
Donor,6GUK_FC8_A301,2.54,-24.091,-21.084,1,0
Donor,6Q3B_PYZ_A301,8.096,-23.165,-24.772,5,1
Donor,6Q3B_PYZ_A301,9.399,-23.197,-24.506,0,0
Donor,6Q3C_BYZ_A302,9.768,-23.482,-24.121,0,0
Donor,6Q3C_BYZ_A302,8.568,-23.021,-24.533,0,0
Donor,6Q4D_HHT_A301,2.717,-19.687,-18.061,3,0
Donor,6Q4E_HH5_A303,7.459,-24.355,-25.353,5,1
Donor,6Q4E_HH5_A303,8.637,-21.133,-21.226,4,0
Donor,6Q4E_HH5_A303,10.317,-21.959,-22.502,0,0
Donor,6Q4F_26D_A301,7.803,-23.814,-25.166,5,1
Donor,6Q4F_26D_A301,10.624,-21.671,-22.363,0,0
Donor,6Q4G_HJK_A301,7.459,-24.308,-25.48,5,1
Donor,6Q4G_HJK_A301,8.374,-21.237,-21.16,4,0
Donor,6Q4G_HJK_A301,2.604,-19.327,-18.572,3,0
Donor,6Q4G_HJK_A301,10.125,-22.047,-22.311,0,0
Donor,6Q4G_HJK_A301,8.932,-23.304,-23.998,0,0
Donor,6Q4H_HGH_A301,7.149,-24.129,-25.033,5,1
Donor,6Q4H_HGH_A301,8.849,-21.008,-21.031,4,0
Donor,6Q4H_HGH_A301,1.054,-20.642,-17.084,3,0
Donor,6Q4H_HGH_A301,10.374,-21.936,-22.413,0,0
Donor,6Q4H_HGH_A301,8.847,-23.132,-23.88,0,0
Donor,6Q4I_HGK_A302,2.419,-19.54,-17.722,3,0
Donor,6Q4J_HHB_A303,7.277,-21.388,-21.377,4,0
Donor,6Q4J_HHB_A303,2.24,-18.977,-17.293,3,0
Donor,7M2F_YOS_A901,10.005,-23.36,-24.113,0,0
Donor,7M2F_YOS_A901,7.878,-24.352,-24.782,5,1
Donor,7M2F_YOS_A901,3.414,-26.803,-25.604,2,0
Donor,7M2F_YOS_A901,-2.907,-29.39,-29.251,2,0
Donor,7QHL_D5P_C301,2.958,-23.912,-20.39,1,0
Donor,7QHL_D5P_C301,7.073,-25.005,-24.707,5,1
Donor,7QHL_D5P_C301,9.391,-23.169,-24.168,0,0
Donor,7QHL_D5P_C301,10.112,-22.126,-23.66,0,0
Donor,7RA5_3I3_A301,5.319,-20.458,-20.053,4,0
Donor,7RA5_3I3_A301,7.272,-24.793,-24.948,5,1
Donor,7RA5_3I3_A301,4.186,-26.661,-23.834,2,0
Donor,7RWE_7TH_A301,7.341,-23.885,-23.832,5,1
Donor,7RWE_7TH_A301,10.538,-21.354,-23.01,0,0
Donor,7VDU_65L_A301,7.507,-24.872,-25.718,5,1
Donor,7VDU_65L_A301,-1.666,-28.007,-25.522,2,0
Donor,7VDU_65L_A301,3.398,-20.758,-17.919,3,0
Donor,7ZPC_JLC_A301,7.695,-23.777,-24.682,5,1
Donor,8ERD_WQ6_A301,7.545,-24.605,-25.192,5,1
Donor,8ERD_WQ6_A301,5.208,-19.94,-19.801,4,0
Donor,8ERN_WQK_A402,4.952,-19.886,-19.874,4,0
Donor,8ERN_WQK_A402,1.269,-26.692,-24.056,2,0
Donor,8ERN_WQK_A402,7.387,-24.567,-25.351,5,1
Donor,8FOW_1QK_A303,7.375,-25.399,-24.969,5,1
Donor,8FOW_1QK_A303,1.912,-26.508,-26.576,2,0
Donor,8FOW_1QK_A303,6.503,-20.875,-20.178,4,0
Donor,8RU8_I74_A301,5.316,-20.555,-20.803,4,0
Donor,8RU8_I74_A301,2.703,-22.16,-18.728,3,0
Donor,8RU8_I74_A301,3.851,-22.467,-23.256,1,0
Donor,8RU8_I74_A301,7.254,-25.317,-25.108,5,1
Donor,8UV0_XKU_A301,7.358,-24.545,-25.418,5,1
Donor,8UV0_XKU_A301,4.676,-20.962,-18.367,3,0
Donor,9GNO_A1INI_A301,6.801,-24.715,-25.243,5,1
Donor,9GNO_A1INI_A301,4.296,-22.108,-22.367,1,0
Donor,9GNO_A1INI_A301,2.24,-25.106,-22.071,1,0
Donor,9UAW_A1EOO_A301,7.539,-24.621,-25.168,5,1
Donor,9UAW_A1EOO_A301,2.314,-22.608,-21.075,1,0
Donor,9UAW_A1EOO_A301,3.033,-24.917,-21.19,1,0
Donor,9UAW_A1EOO_A301,1.072,-24.381,-22.355,1,0
