family,ligand_id,x,y,z,cluster,kept
Donor,5ZK3_QNB_A501,139.589,145.097,102.777,0,0
Donor,5ZKB_82F_A1201,135.173,147.038,103.6,1,0
Donor,5ZKB_82F_A1201,139.354,145.666,102.317,0,0
Donor,5ZKC_3C0_A501,140.13,146.192,101.208,0,0
Acceptor,5ZK3_QNB_A501,139.589,145.097,102.777,1,1
Acceptor,5ZK3_QNB_A501,137.53,143.81,101.63,1,1
Acceptor,5ZK3_QNB_A501,136.007,145.149,102.591,2,1
Acceptor,5ZKB_82F_A1201,138.462,149.239,101.917,0,0
Acceptor,5ZKB_82F_A1201,138.964,143.859,103.572,1,1
Acceptor,5ZKB_82F_A1201,135.737,148.119,101.684,0,0
Acceptor,5ZKC_3C0_A501,133.048,146.6,104.188,2,1
Acceptor,5ZKC_3C0_A501,136.257,145.717,101.826,2,1
Acceptor,5ZKC_3C0_A501,137.997,144.225,101.969,1,1
Acceptor,5ZKC_3C0_A501,140.13,146.192,101.208,1,1
PosIonizable,5ZK3_QNB_A501,132.642,144.992,102.752,1,1
PosIonizable,5ZKB_82F_A1201,131.998,145.503,102.054,1,1
PosIonizable,5ZKB_82F_A1201,130.403,147.189,100.232,0,0
PosIonizable,5ZKC_3C0_A501,132.549,144.43,102.499,1,1
Aromatic,5ZK3_QNB_A501,137.731,146.412,105.622,1,1
Aromatic,5ZK3_QNB_A501,138.507,148.188,101.191,0,1
Aromatic,5ZKB_82F_A1201,139.451,148.343,101.504,0,1
Aromatic,5ZKB_82F_A1201,138.117,146.649,105.742,1,1
Aromatic,5ZKC_3C0_A501,137.711,146.682,105.508,1,1
