family,ligand_id,x,y,z,cluster,kept
Donor,5F1A_SAL_A601,23.938,3.081,33.477,1,1
Donor,5F1A_SAL_A601,27.644,4.728,33.339,0,1
Donor,5IKR_ID8_A601,27.699,4.296,32.015,0,1
Donor,5IKR_ID8_A601,24.932,3.832,32.637,1,1
Donor,5IKT_TLF_B601,27.419,4.346,32.078,0,1
Donor,5IKT_TLF_B601,25.121,3.797,32.688,1,1
Donor,5IKV_FLF_B601,28.881,4.992,33.656,0,1
Donor,5IKV_FLF_B601,25.026,3.648,32.739,1,1
Acceptor,5F1A_SAL_A601,25.581,3.825,32.308,0,1
Acceptor,5F1A_SAL_A601,23.938,3.081,33.477,0,1
Acceptor,5F1A_SAL_A601,27.644,4.728,33.339,0,1
Acceptor,5IKR_ID8_A601,28.705,5.257,33.434,0,1
Acceptor,5IKR_ID8_A601,27.699,4.296,32.015,0,1
Acceptor,5IKT_TLF_B601,28.879,5.091,33.514,0,1
Acceptor,5IKT_TLF_B601,27.419,4.346,32.078,0,1
Acceptor,5IKV_FLF_B601,27.58,4.449,32.128,0,1
Acceptor,5IKV_FLF_B601,28.881,4.992,33.656,0,1
Acceptor,5KIR_RCX_A601,22.861,2.544,30.489,0,1
Acceptor,5KIR_RCX_A601,24.334,4.445,30.727,0,1
Acceptor,5KIR_RCX_A601,21.578,-3.654,36.438,1,0
Acceptor,5KIR_RCX_A601,19.884,-2.012,37.21,1,0
NegIonizable,5F1A_SAL_A601,24.836,3.531,33.046,1,0
NegIonizable,5IKR_ID8_A601,28.026,4.778,32.855,0,1
NegIonizable,5IKT_TLF_B601,28.002,4.715,32.947,0,1
NegIonizable,5IKV_FLF_B601,28.065,4.722,33.028,0,1
Aromatic,5F1A_SAL_A601,26.178,4.854,35.613,0,1
Aromatic,5IKR_ID8_A601,25.586,4.733,35.09,0,1
Aromatic,5IKR_ID8_A601,22.868,2.28,31.864,1,1
Aromatic,5IKT_TLF_B601,22.914,2.28,31.808,1,1
Aromatic,5IKT_TLF_B601,25.672,4.683,35.302,0,1
Aromatic,5IKV_FLF_B601,25.615,4.632,35.209,0,1
Aromatic,5IKV_FLF_B601,22.848,2.184,31.883,1,1
Aromatic,5KIR_RCX_A601,25.363,3.973,34.716,0,1
Aromatic,5KIR_RCX_A601,22.227,-0.21,34.639,2,0
Hydrophobe,5F1A_SAL_A601,25.584,4.286,34.529,1,1
Hydrophobe,5IKR_ID8_A601,26.54,4.734,34.098,1,1
Hydrophobe,5IKR_ID8_A601,26.834,5.126,35.373,1,1
Hydrophobe,5IKR_ID8_A601,25.907,5.125,36.354,1,1
Hydrophobe,5IKR_ID8_A601,24.645,4.737,36.069,1,1
Hydrophobe,5IKR_ID8_A601,24.336,4.355,34.816,1,1
Hydrophobe,5IKR_ID8_A601,23.46,3.143,30.982,0,1
Hydrophobe,5IKR_ID8_A601,24.054,4.076,30.011,0,1
Hydrophobe,5IKR_ID8_A601,23.353,2.145,33.117,0,1
Hydrophobe,5IKR_ID8_A601,22.274,1.416,32.737,0,1
Hydrophobe,5IKR_ID8_A601,21.793,1.553,31.483,0,1
Hydrophobe,5IKR_ID8_A601,22.37,2.408,30.614,0,1
Hydrophobe,5IKR_ID8_A601,21.785,2.517,29.261,0,1
Hydrophobe,5IKT_TLF_B601,22.293,1.358,32.639,0,1
Hydrophobe,5IKT_TLF_B601,23.379,2.088,33.096,0,1
Hydrophobe,5IKT_TLF_B601,24.395,4.237,35.008,1,1
Hydrophobe,5IKT_TLF_B601,24.7,4.675,36.285,1,1
Hydrophobe,5IKT_TLF_B601,25.975,5.126,36.58,1,1
Hydrophobe,5IKT_TLF_B601,26.949,5.136,35.597,1,1
Hydrophobe,5IKT_TLF_B601,26.644,4.689,34.322,1,1
Hydrophobe,5IKT_TLF_B601,23.536,3.203,30.979,0,1
Hydrophobe,5IKT_TLF_B601,24.233,4.218,30.09,0,1
Hydrophobe,5IKT_TLF_B601,22.449,2.467,30.516,0,1
Hydrophobe,5IKT_TLF_B601,21.829,1.546,31.346,0,1
Hydrophobe,5IKV_FLF_B601,26.535,4.634,34.205,1,1
Hydrophobe,5IKV_FLF_B601,26.858,5.129,35.434,1,1
Hydrophobe,5IKV_FLF_B601,25.938,5.121,36.42,1,1
Hydrophobe,5IKV_FLF_B601,24.697,4.643,36.199,1,1
Hydrophobe,5IKV_FLF_B601,24.371,4.136,34.992,1,1
Hydrophobe,5IKV_FLF_B601,23.471,3.04,31.064,0,1
Hydrophobe,5IKV_FLF_B601,22.413,2.328,30.587,0,1
Hydrophobe,5IKV_FLF_B601,21.79,1.469,31.433,0,1
Hydrophobe,5IKV_FLF_B601,22.223,1.326,32.707,0,1
Hydrophobe,5IKV_FLF_B601,23.282,2.037,33.163,0,1
Hydrophobe,5KIR_RCX_A601,23.751,2.809,32.522,0,1
Hydrophobe,5KIR_RCX_A601,22.906,1.639,32.521,0,1
Hydrophobe,5KIR_RCX_A601,24.591,3.413,33.683,1,1
Hydrophobe,5KIR_RCX_A601,22.582,0.681,33.641,0,1
Hydrophobe,5KIR_RCX_A601,21.865,-1.097,35.641,0,1
