het,pdb,pmid,site,efficacy_or_track,confidence,rationale
7LD,8JXR,39094559,orthosteric,positive,high,"LSD bound in DRD1 orthosteric pocket in active-state legobody/Gs complex; paper studies G-protein vs beta-arrestin coupling of LSD agonism at D1"
A1EKL,9LLG,,orthosteric,negative,high,"Flupentixol is an established D1/D2 thioxanthene antagonist; deposit has no PMID, sign from well-documented pharmacology"
A1IZU,9I52,40552668,orthosteric,positive,high,"Compound 19B, non-catecholamine D1/D5 G-protein-biased agonist captured in active-state DRD1-Gs complex"
A1IZV,9I54,40552668,orthosteric,positive,high,"Compound 24, D1/D5 biased agonist with beta-arrestin recruitment, active-state DRD1-Gs complex"
ALE,9LWC,,orthosteric,positive,medium,"L-epinephrine catecholamine bound in DRD1 orthosteric site in active-state miniGs complex (deposit title); epinephrine is a known lower-potency D1 agonist; no PMID"
G3C,7CKW,33571432,orthosteric,positive,high,"Fenoldopam, catechol-based D1 agonist among the three catechol agonists in DRD1-Gs structures"
G3O,7CKX,33571432,orthosteric,positive,high,"A77636, synthetic catechol D1 full agonist, DRD1-Gs active-state complex"
G3U,7CKY,33571432,orthosteric,positive,high,"PW0464, non-catechol Gs-protein-biased D1 agonist, DRD1-Gs active-state complex"
GBU,7CRH,33571432,orthosteric,positive,high,"6-chloro-benzazepine SKF-type D1-selective agonist in DRD1-Gs active-state complex"
OR9,7JVQ,33571431,orthosteric,positive,high,"Apomorphine, non-selective dopamine agonist; paper reports agonist-bound DRD1-Gs complex"
R5F,8IRR,37221270,orthosteric,positive,high,"Rotigotine pan-dopamine agonist (used in PD); DRD1-Gs active-state complex in 5-receptor agonist series"
SK0,7JV5,33571431,orthosteric,positive,high,"SKF-81297-class 6-chloro-1-phenyl-benzazepine D1 agonist; agonist-bound DRD1-Gs complex"
SK9,7JVP,33571431,orthosteric,positive,high,"SKF-type 6-chloro-1-(3-methylphenyl)-benzazepine D1 agonist; agonist-bound DRD1-Gs complex"
V6X,8JXS,39094559,orthosteric,positive,high,"PF-6142, non-catecholamine D1 agonist (PMC7358525 characterization); active-state legobody/Gs complex"
VFP,7JOZ,34083522,orthosteric,positive,high,"Non-catechol selective D1 agonist Compound 1; DRD1-Gs crystal structure, active state"
