family,ligand_id,x,y,z,cluster,kept
Donor,9LLG_A1EKL_R602,128.873,122.713,145.791,0,1
Donor,9LLG_A1EKL_R602,128.08,121.316,143.527,0,1
Donor,9LLG_A1EKL_R602,128.642,125.362,147.703,1,0
Acceptor,9LLG_A1EKL_R602,128.642,125.362,147.703,0,0
PosIonizable,9LLG_A1EKL_R602,128.873,122.713,145.791,0,1
PosIonizable,9LLG_A1EKL_R602,128.08,121.316,143.527,0,1
Aromatic,9LLG_A1EKL_R602,122.748,119.531,143.252,0,1
Aromatic,9LLG_A1EKL_R602,123.662,118.521,138.373,0,1
Hydrophobe,9LLG_A1EKL_R602,122.25,119.631,141.97,2,1
Hydrophobe,9LLG_A1EKL_R602,122.742,119.064,139.268,1,1
Hydrophobe,9LLG_A1EKL_R602,124.572,119.971,140.879,0,1
Hydrophobe,9LLG_A1EKL_R602,123.618,119.747,142.165,2,1
Hydrophobe,9LLG_A1EKL_R602,124.089,119.192,139.542,1,1
Hydrophobe,9LLG_A1EKL_R602,123.256,119.432,144.549,2,1
Hydrophobe,9LLG_A1EKL_R602,125.668,120.769,140.82,0,1
Hydrophobe,9LLG_A1EKL_R602,126.248,121.59,141.976,0,1
