family,ligand_id,x,y,z,cluster,kept
Donor,7CKX_G3O_R501,127.726,121.67,140.478,2,1
Donor,7CKX_G3O_R501,121.314,118.268,143.156,1,1
Donor,7CKX_G3O_R501,122.815,119.361,145.226,1,1
Donor,7CKY_G3U_R502,128.631,124.617,148.06,0,0
Donor,7CKY_G3U_R502,130.738,125.549,147.866,0,0
Donor,7CRH_GBU_R501,127.735,122.332,142.226,2,1
Donor,7CRH_GBU_R501,122.817,119.671,146.224,1,1
Donor,7CRH_GBU_R501,121.926,118.976,143.659,1,1
Donor,7JOZ_VFP_R1201,130.865,124.901,149.813,0,0
Donor,7JOZ_VFP_R1201,128.754,124.358,148.853,0,0
Donor,7JVP_SK9_R501,127.301,122.071,142.247,2,1
Donor,7JVP_SK9_R501,122.418,119.082,145.912,1,1
Donor,7JVP_SK9_R501,121.758,118.507,143.306,1,1
Donor,7JVQ_OR9_R501,128.077,121.939,142.066,2,1
Donor,7JVQ_OR9_R501,123.13,119.182,145.416,1,1
Donor,7JVQ_OR9_R501,121.554,118.171,143.559,1,1
Donor,7LJC_SK0_R501,127.811,122.152,141.922,2,1
Donor,7LJC_SK0_R501,122.848,119.389,145.757,1,1
Donor,7LJC_SK0_R501,122.058,118.795,143.192,1,1
Donor,7X2C_G3C_F503,127.857,121.999,141.907,2,1
Donor,7X2C_G3C_F503,121.673,118.643,142.941,1,1
Donor,7X2C_G3C_F503,122.394,119.286,145.565,1,1
Donor,7X2C_G3C_F503,127.53,122.919,149.849,0,0
Donor,7X2D_86W_F502,130.992,125.201,148.212,0,0
Donor,7X2D_86W_F502,128.589,124.372,148.108,0,0
Donor,8IRR_R5F_R501,127.821,122.07,142.899,2,1
Donor,8IRR_R5F_R501,122.584,118.887,145.431,1,1
Donor,8JXR_7LD_A401,122.927,119.765,141.214,1,1
Donor,8JXR_7LD_A401,129.935,122.625,146.389,0,0
Donor,8JXR_7LD_A401,128.384,121.551,142.322,2,1
Donor,9I52_A1IZU_R501,130.411,125.289,148.751,0,0
Donor,9I52_A1IZU_R501,128.238,124.453,148.516,0,0
Donor,9I54_A1IZV_R501,130.47,125.673,148.632,0,0
Donor,9I54_A1IZV_R501,128.338,124.71,148.616,0,0
Donor,9LLJ_LDP_R701,122.128,119.882,140.885,1,1
Donor,9LLJ_LDP_R701,121.541,119.038,143.462,1,1
Donor,9LLJ_LDP_R701,128.578,121.25,141.434,2,1
Donor,9LWC_ALE_R501,122.603,118.944,145.028,1,1
Donor,9LWC_ALE_R501,121.214,119.4,142.555,1,1
Donor,9LWC_ALE_R501,126.766,122.191,142.351,2,1
Donor,9LWC_ALE_R501,127.238,122.246,145.093,2,1
Acceptor,7CKX_G3O_R501,126.582,122.118,143.168,1,1
Acceptor,7CKX_G3O_R501,121.314,118.268,143.156,1,1
Acceptor,7CKX_G3O_R501,122.815,119.361,145.226,1,1
Acceptor,7CKY_G3U_R502,125.814,121.14,142.755,1,1
Acceptor,7CKY_G3U_R502,122.501,119.808,143.375,1,1
Acceptor,7CKY_G3U_R502,124.527,121.091,144.756,1,1
Acceptor,7CKY_G3U_R502,129.529,125.798,149.664,0,1
Acceptor,7CKY_G3U_R502,131.866,125.249,146.041,0,1
Acceptor,7CRH_GBU_R501,122.817,119.671,146.224,1,1
Acceptor,7CRH_GBU_R501,121.926,118.976,143.659,1,1
Acceptor,7JOZ_VFP_R1201,124.483,120.82,145.025,1,1
Acceptor,7JOZ_VFP_R1201,126.399,121.271,143.675,1,1
Acceptor,7JOZ_VFP_R1201,132.821,124.258,148.884,0,1
Acceptor,7JOZ_VFP_R1201,128.961,125.592,150.815,0,1
Acceptor,7JVP_SK9_R501,122.418,119.082,145.912,1,1
Acceptor,7JVP_SK9_R501,121.758,118.507,143.306,1,1
Acceptor,7JVQ_OR9_R501,123.13,119.182,145.416,1,1
Acceptor,7JVQ_OR9_R501,121.554,118.171,143.559,1,1
Acceptor,7LJC_SK0_R501,122.848,119.389,145.757,1,1
Acceptor,7LJC_SK0_R501,122.058,118.795,143.192,1,1
Acceptor,7X2C_G3C_F503,121.673,118.643,142.941,1,1
Acceptor,7X2C_G3C_F503,122.394,119.286,145.565,1,1
Acceptor,7X2C_G3C_F503,127.53,122.919,149.849,0,1
Acceptor,7X2D_86W_F502,125.832,120.793,142.175,1,1
Acceptor,7X2D_86W_F502,124.855,120.59,144.334,1,1
Acceptor,7X2D_86W_F502,132.324,124.584,146.496,0,1
Acceptor,7X2D_86W_F502,129.42,125.658,149.808,0,1
Acceptor,8IRR_R5F_R501,122.584,118.887,145.431,1,1
Acceptor,8JXR_7LD_A401,128.559,120.836,146.58,0,1
Acceptor,8JXS_V6X_A401,129.982,125.231,149.283,0,1
Acceptor,8JXS_V6X_A401,132.44,124.298,146.689,0,1
Acceptor,8JXS_V6X_A401,125.978,121.332,143.286,1,1
Acceptor,8JXS_V6X_A401,124.683,121.098,145.256,1,1
Acceptor,9I52_A1IZU_R501,125.495,121.25,142.187,1,1
Acceptor,9I52_A1IZU_R501,128.812,125.769,150.289,0,1
Acceptor,9I52_A1IZU_R501,132.05,124.851,147.257,0,1
Acceptor,9I54_A1IZV_R501,128.391,121.226,148.02,0,1
Acceptor,9I54_A1IZV_R501,125.651,121.244,142.845,1,1
Acceptor,9I54_A1IZV_R501,126.85,123.758,145.929,0,1
Acceptor,9I54_A1IZV_R501,128.973,126.145,150.27,0,1
Acceptor,9I54_A1IZV_R501,132.008,125.243,147.031,0,1
Acceptor,9I54_A1IZV_R501,124.784,120.897,144.978,1,1
Acceptor,9LLJ_LDP_R701,122.128,119.882,140.885,1,1
Acceptor,9LLJ_LDP_R701,121.541,119.038,143.462,1,1
Acceptor,9LWC_ALE_R501,122.603,118.944,145.028,1,1
Acceptor,9LWC_ALE_R501,121.214,119.4,142.555,1,1
Acceptor,9LWC_ALE_R501,126.766,122.191,142.351,1,1
PosIonizable,7CKX_G3O_R501,127.726,121.67,140.478,0,1
PosIonizable,7CRH_GBU_R501,127.735,122.332,142.226,0,1
PosIonizable,7JVP_SK9_R501,127.301,122.071,142.247,0,1
PosIonizable,7JVQ_OR9_R501,128.077,121.939,142.066,0,1
PosIonizable,7LJC_SK0_R501,127.811,122.152,141.922,0,1
PosIonizable,7X2C_G3C_F503,127.857,121.999,141.907,0,1
PosIonizable,8IRR_R5F_R501,127.821,122.07,142.899,0,1
PosIonizable,8JXR_7LD_A401,128.384,121.551,142.322,0,1
PosIonizable,8JXS_V6X_A401,131.394,123.874,146.498,1,0
PosIonizable,9I52_A1IZU_R501,124.527,120.618,141.942,0,1
PosIonizable,9LLJ_LDP_R701,128.578,121.25,141.434,0,1
PosIonizable,9LWC_ALE_R501,127.238,122.246,145.093,0,1
Aromatic,7CKX_G3O_R501,123.521,119.888,142.599,1,1
Aromatic,7CKY_G3U_R502,124.841,120.518,142.07,1,1
Aromatic,7CKY_G3U_R502,126.63,122.598,145.802,2,1
Aromatic,7CKY_G3U_R502,129.742,124.827,147.35,0,0
Aromatic,7CRH_GBU_R501,124.529,120.1,143.988,1,1
Aromatic,7CRH_GBU_R501,127.502,121.865,147.192,2,1
Aromatic,7JOZ_VFP_R1201,123.705,119.88,141.816,1,1
Aromatic,7JOZ_VFP_R1201,123.807,120.343,143.925,1,1
Aromatic,7JOZ_VFP_R1201,130.152,124.301,148.828,0,0
Aromatic,7JOZ_VFP_R1201,127.88,122.439,145.726,2,1
Aromatic,7JVP_SK9_R501,123.76,120.304,143.868,1,1
Aromatic,7JVP_SK9_R501,126.487,122.547,147.331,2,1
Aromatic,7JVQ_OR9_R501,126.378,121.828,145.478,2,1
Aromatic,7JVQ_OR9_R501,123.507,119.938,142.792,1,1
Aromatic,7LJC_SK0_R501,124.182,120.489,143.628,1,1
Aromatic,7LJC_SK0_R501,127.205,122.54,146.925,2,1
Aromatic,7X2C_G3C_F503,126.983,122.529,147.09,2,1
Aromatic,7X2C_G3C_F503,123.932,120.283,143.417,1,1
Aromatic,7X2D_86W_F502,124.671,120.328,141.648,1,1
Aromatic,7X2D_86W_F502,129.925,124.456,147.531,0,0
Aromatic,7X2D_86W_F502,126.797,122.163,145.525,2,1
Aromatic,8IRR_R5F_R501,131.178,122.931,146.512,0,0
Aromatic,8IRR_R5F_R501,123.018,119.897,142.905,1,1
Aromatic,8JXR_7LD_A401,123.913,120.138,141.622,1,1
Aromatic,8JXR_7LD_A401,123.789,120.299,143.678,1,1
Aromatic,8JXS_V6X_A401,123.118,119.65,142.395,1,1
Aromatic,8JXS_V6X_A401,131.394,123.874,146.498,0,0
Aromatic,8JXS_V6X_A401,126.848,122.466,146.374,2,1
Aromatic,8JXS_V6X_A401,125.032,120.677,142.544,1,1
Aromatic,8JXS_V6X_A401,130.144,124.529,148.103,0,0
Aromatic,9I52_A1IZU_R501,124.527,120.618,141.942,1,1
Aromatic,9I52_A1IZU_R501,126.601,122.345,145.929,2,1
Aromatic,9I52_A1IZU_R501,123.555,120.207,143.781,1,1
Aromatic,9I52_A1IZU_R501,129.535,124.565,148.052,0,0
Aromatic,9I54_A1IZV_R501,122.546,119.749,142.638,1,1
Aromatic,9I54_A1IZV_R501,126.729,122.41,146.22,2,1
Aromatic,9I54_A1IZV_R501,124.483,120.668,142.354,1,1
Aromatic,9I54_A1IZV_R501,129.584,124.868,148.042,0,0
Aromatic,9LLJ_LDP_R701,123.916,120.388,142.948,1,1
Aromatic,9LWC_ALE_R501,123.838,120.197,142.881,1,1
Hydrophobe,7CKX_G3O_R501,126.728,122.697,145.579,0,1
