family,ligand_id,x,y,z,cluster,kept
Donor,7CKX_G3O_R501,127.726,121.67,140.478,2,1
Donor,7CKX_G3O_R501,121.314,118.268,143.156,0,1
Donor,7CKX_G3O_R501,122.815,119.361,145.226,0,1
Donor,7CKY_G3U_R502,128.631,124.617,148.06,1,1
Donor,7CKY_G3U_R502,130.738,125.549,147.866,1,1
Donor,7CRH_GBU_R501,127.735,122.332,142.226,2,1
Donor,7CRH_GBU_R501,122.817,119.671,146.224,0,1
Donor,7CRH_GBU_R501,121.926,118.976,143.659,0,1
Donor,7JOZ_VFP_R1201,130.865,124.901,149.813,1,1
Donor,7JOZ_VFP_R1201,128.754,124.358,148.853,1,1
Donor,7JVP_SK9_R501,127.301,122.071,142.247,2,1
Donor,7JVP_SK9_R501,122.418,119.082,145.912,0,1
Donor,7JVP_SK9_R501,121.758,118.507,143.306,0,1
Donor,7JVQ_OR9_R501,128.077,121.939,142.066,2,1
Donor,7JVQ_OR9_R501,123.13,119.182,145.416,0,1
Donor,7JVQ_OR9_R501,121.554,118.171,143.559,0,1
Donor,7LJC_SK0_R501,127.811,122.152,141.922,2,1
Donor,7LJC_SK0_R501,122.848,119.389,145.757,0,1
Donor,7LJC_SK0_R501,122.058,118.795,143.192,0,1
Donor,7X2C_G3C_F503,127.857,121.999,141.907,2,1
Donor,7X2C_G3C_F503,121.673,118.643,142.941,0,1
Donor,7X2C_G3C_F503,122.394,119.286,145.565,0,1
Donor,7X2C_G3C_F503,127.53,122.919,149.849,1,1
Donor,7X2D_86W_F502,130.992,125.201,148.212,1,1
Donor,7X2D_86W_F502,128.589,124.372,148.108,1,1
Donor,8IRR_R5F_R501,127.821,122.07,142.899,2,1
Donor,8IRR_R5F_R501,122.584,118.887,145.431,0,1
Donor,8JXR_7LD_A401,122.927,119.765,141.214,0,1
Donor,8JXR_7LD_A401,129.935,122.625,146.389,1,1
Donor,8JXR_7LD_A401,128.384,121.551,142.322,2,1
Donor,9I52_A1IZU_R501,130.411,125.289,148.751,1,1
Donor,9I52_A1IZU_R501,128.238,124.453,148.516,1,1
Donor,9I54_A1IZV_R501,130.47,125.673,148.632,1,1
Donor,9I54_A1IZV_R501,128.338,124.71,148.616,1,1
Donor,9LLJ_LDP_R701,122.128,119.882,140.885,0,1
Donor,9LLJ_LDP_R701,121.541,119.038,143.462,0,1
Donor,9LLJ_LDP_R701,128.578,121.25,141.434,2,1
Donor,9LWC_ALE_R501,122.603,118.944,145.028,0,1
Donor,9LWC_ALE_R501,121.214,119.4,142.555,0,1
Donor,9LWC_ALE_R501,126.766,122.191,142.351,2,1
Donor,9LWC_ALE_R501,127.238,122.246,145.093,2,1
Acceptor,7CKX_G3O_R501,126.582,122.118,143.168,2,1
Acceptor,7CKX_G3O_R501,121.314,118.268,143.156,0,1
Acceptor,7CKX_G3O_R501,122.815,119.361,145.226,0,1
Acceptor,7CKY_G3U_R502,125.814,121.14,142.755,0,1
