het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
LDP,c1cc(c(cc1CCN)O)O,[NH3+]CCc1ccc(O)c(O)c1,7.4,3,9.80;10.00;10.00,phenol@9:9.85->10.00;phenol@7:10.19->10.00,pkasolver+phenol_rule
G4C,C[C@H]1c2cccc(c2C[C@@H](N1C(=O)Cc3c(cccc3Cl)Cl)CO)CCC(C)(C)O,C[C@H]1c2cccc(CCC(C)(C)O)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl,7.4,3,5.91;7.80;8.00,,pkasolver
A1EKL,c1ccc2c(c1)/C(=C/CCN3CCN(CC3)CCO)/c4cc(ccc4S2)C(F)(F)F,OCC[NH+]1CC[NH+](CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,7.4,2,7.97;8.65,,pkasolver
G3C,c1cc(ccc1[C@H]2CNCCc3c2cc(c(c3Cl)O)O)O,Oc1ccc([C@H]2C[NH2+]CCc3c2cc(O)c(O)c3Cl)cc1,7.4,4,8.75;10.00;10.00;10.00,phenol@14:8.53->10.00;phenol@0:8.78->10.00;phenol@16:9.08->10.00;phenol@14:[O-]->OH,pkasolver+phenol_rule
GDP,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,[NH-]c1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]2O)c(=O)[n-]1,7.4,6,3.73;3.83;4.25;5.60;5.74;6.12,,pkasolver
GTP,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,[NH-]c1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]2O)c(=O)[n-]1,7.4,7,3.60;3.65;3.69;4.07;5.17;5.33;5.69,,pkasolver
SK0,c1ccc(cc1)[C@H]2CNCCc3c2cc(c(c3Cl)O)O,Oc1cc2c(c(Cl)c1O)CC[NH2+]C[C@@H]2c1ccccc1,7.4,1,8.33,,pkasolver
7LD,CCN(CC)C(=O)[C@H]1CN([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,7.4,4,4.74;7.01;7.58;9.79,,pkasolver
86W,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c(cccn3)C(F)(F)F,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,7.4,3,3.29;5.28;9.31,,pkasolver
A1IZU,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)c3cccn4c3ncc4,Cc1cc(-c2cccn3ccnc23)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,7.4,3,4.65;5.87;8.83,,pkasolver
A1IZV,CC1=C(N(C(=O)NC1=O)C)c2c(cc(cn2)Oc3c4ccoc4ccn3)F,Cc1c(-c2ncc(Oc3nccc4occc34)cc2F)n(C)c(=O)[nH]c1=O,7.4,4,3.81;4.50;5.76;9.03,,pkasolver
ALE,CNC[C@@H](c1ccc(c(c1)O)O)O,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,7.4,4,9.21;10.00;10.00;10.37,phenol@9:9.40->10.00;phenol@11:9.74->10.00,pkasolver+phenol_rule
G3O,c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)CN)O)O,[NH3+]C[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O,7.4,3,8.60;10.00;10.00,phenol@21:9.18->10.00;phenol@23:9.74->10.00,pkasolver+phenol_rule
G3U,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c(cccn3)OC(F)F,Cc1cc(Oc2ncccc2OC(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,7.4,3,3.87;5.27;8.75,,pkasolver
GBU,Cc1cccc(c1)[C@@H]2CN(CCc3c2cc(c(c3Cl)O)O)C,Cc1cccc([C@@H]2C[NH+](C)CCc3c2cc(O)c(O)c3Cl)c1,7.4,3,7.94;10.00;10.00,phenol@16:8.20->10.00;phenol@18:8.79->10.00,pkasolver+phenol_rule
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
OR9,CN1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,C[NH+]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,7.4,3,8.42;10.00;10.00,phenol@16:8.64->10.00;phenol@18:9.31->10.00,pkasolver+phenol_rule
R5F,CCCN(CCc1cccs1)[C@H]2CCc3c(cccc3O)C2,CCC[NH+](CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,7.4,2,9.15;10.00,phenol@16:9.29->10.00,pkasolver+phenol_rule
SK9,Cc1cccc(c1)[C@H]2CN(CCc3c2cc(c(c3Cl)O)O)C,Cc1cccc([C@H]2C[NH+](C)CCc3c2cc(O)c(O)c3Cl)c1,7.4,3,7.94;10.00;10.00,phenol@16:8.20->10.00;phenol@18:8.79->10.00,pkasolver+phenol_rule
V6X,Cc1cc(ccc1c2c(ncc3n2ccn3)C)Oc4c5ccoc5ccn4,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,7.4,2,3.15;4.44,,pkasolver
VFP,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c4ccoc4ccn3,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,7.4,3,4.24;5.52;9.15,,pkasolver
