het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
LDP,L-DOPAMINE,ligand,False,12,12,9LLJ,153.178,c1cc(c(cc1CCN)O)O
G4C,"2-[2,6-bis(chloranyl)phenyl]-1-[(1S,3R)-3-(hydroxymethyl)-1-methyl-5-(3-methyl-3-oxidanyl-butyl)-3,4-dihydro-1H-isoquinolin-2-yl]ethanone",ligand,False,4,4,7LJC,450.398,C[C@H]1c2cccc(c2C[C@@H](N1C(=O)Cc3c(cccc3Cl)Cl)CO)CCC(C)(C)O
A1EKL,Flupentixol,ligand,False,2,2,9LLG,434.518,c1ccc2c(c1)/C(=C/CCN3CCN(CC3)CCO)/c4cc(ccc4S2)C(F)(F)F
G3C,"(1R)-6-chloranyl-1-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",ligand,False,2,3,7X2C,305.756,c1cc(ccc1[C@H]2CNCCc3c2cc(c(c3Cl)O)O)O
GDP,GUANOSINE-5'-DIPHOSPHATE,cofactor,False,2,2,7F1O,443.201,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
GTP,GUANOSINE-5'-TRIPHOSPHATE,cofactor,False,2,2,7F23,523.18,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
SK0,"(1R)-6-chloro-1-phenyl-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",ligand,False,2,2,7JV5,289.757,c1ccc(cc1)[C@H]2CNCCc3c2cc(c(c3Cl)O)O
7LD,"(8alpha)-N,N-diethyl-6-methyl-9,10-didehydroergoline-8-carboxamide",ligand,False,1,1,8JXR,323.432,CCN(CC)C(=O)[C@H]1CN([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C
86W,"1,5-dimethyl-6-[2-methyl-4-[3-(trifluoromethyl)pyridin-2-yl]oxy-phenyl]pyrimidine-2,4-dione",ligand,False,1,1,7X2D,391.344,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c(cccn3)C(F)(F)F
A1IZU,"6-(4-imidazo[1,2-a]pyridin-8-yl-2-methyl-phenyl)-1,5-dimethyl-pyrimidine-2,4-dione",ligand,False,1,1,9I52,346.383,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)c3cccn4c3ncc4
A1IZV,"6-(3-fluoranyl-5-furo[3,2-c]pyridin-4-yloxy-pyridin-2-yl)-1,5-dimethyl-pyrimidine-2,4-dione",ligand,False,1,1,9I54,368.319,CC1=C(N(C(=O)NC1=O)C)c2c(cc(cn2)Oc3c4ccoc4ccn3)F
ALE,L-EPINEPHRINE,ligand,False,1,1,9LWC,183.204,CNC[C@@H](c1ccc(c(c1)O)O)O
G3O,"(1R,3S)-3-(1-adamantyl)-1-(aminomethyl)-3,4-dihydro-1H-isochromene-5,6-diol",ligand,False,1,1,7CKX,329.433,c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)CN)O)O
G3U,"6-[4-[3-[bis(fluoranyl)methoxy]pyridin-2-yl]oxy-2-methyl-phenyl]-1,5-dimethyl-pyrimidine-2,4-dione",ligand,False,1,1,7CKY,389.353,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c(cccn3)OC(F)F
GBU,"(1S)-6-chloranyl-3-methyl-1-(3-methylphenyl)-1,2,4,5-tetrahydro-3-benzazepine-7,8-diol",ligand,False,1,1,7CRH,317.81,Cc1cccc(c1)[C@@H]2CN(CCc3c2cc(c(c3Cl)O)O)C
MG,MAGNESIUM ION,metal,True,1,1,7F1O,24.305,[Mg+2]
OR9,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",ligand,False,1,1,7JVQ,267.322,CN1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O
R5F,Rotigotine,ligand,False,1,1,8IRR,315.473,CCCN(CCc1cccs1)[C@H]2CCc3c(cccc3O)C2
SK9,"(1R)-6-chloro-3-methyl-1-(3-methylphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",ligand,False,1,1,7JVP,317.81,Cc1cccc(c1)[C@H]2CN(CCc3c2cc(c(c3Cl)O)O)C
V6X,"4-[3-methyl-4-(6-methylimidazo[1,2-a]pyrazin-5-yl)phenoxy]furo[3,2-c]pyridine",ligand,False,1,1,8JXS,356.377,Cc1cc(ccc1c2c(ncc3n2ccn3)C)Oc4c5ccoc5ccn4
VFP,"6-{4-[(furo[3,2-c]pyridin-4-yl)oxy]-2-methylphenyl}-1,5-dimethylpyrimidine-2,4(1H,3H)-dione",ligand,False,1,1,7JOZ,363.367,Cc1cc(ccc1C2=C(C(=O)NC(=O)N2C)C)Oc3c4ccoc4ccn3
