family,ligand_id,x,y,z,cluster,kept
Donor,2B1V_458_B202,27.356,-12.435,10.834,1,1
Donor,2B1V_458_B202,21.156,-10.774,2.52,0,1
Donor,2B1Z_17M_B202,20.699,-10.852,1.896,0,1
Donor,2B1Z_17M_B202,26.596,-13.904,9.69,1,1
Donor,2QAB_EI1_B1,27.299,-11.614,11.269,1,1
Donor,2QAB_EI1_B1,20.979,-10.912,2.056,0,1
Donor,2QSE_1HP_B1,26.701,-11.953,11.555,1,1
Donor,2QSE_1HP_B1,20.936,-11.492,1.976,0,1
Donor,2QZO_KN1_B1,20.59,-10.987,1.339,0,1
Donor,2QZO_KN1_B1,20.417,-12.437,5.803,0,1
Donor,4MG8_27J_A601,22.695,-10.225,1.578,0,1
Donor,4MG8_27J_A601,27.339,-11.095,10.931,1,1
Donor,4MGA_27L_B601,21.125,-10.9,2.399,0,1
Donor,4TV1_36M_A601,20.871,-11.039,1.987,0,1
Donor,5TN4_7FZ_A601,27.336,-12.157,10.778,1,1
Donor,5TN4_7FZ_A601,22.513,-12.01,1.526,0,1
Donor,5TN5_7G0_B601,20.782,-10.779,2.124,0,1
Donor,5TN5_7G0_B601,26.834,-11.744,10.959,1,1
Donor,7NEL_EST_A601,20.887,-11.015,2.004,0,1
Donor,7NEL_EST_A601,27.381,-11.575,10.866,1,1
Donor,7NFB_GEN_A601,27.886,-11.702,11.313,1,1
Donor,7NFB_GEN_A601,23.658,-13.38,10.051,1,1
Donor,7NFB_GEN_A601,20.581,-11.093,1.844,0,1
Donor,7RKE_5VP_B601,23.121,-12.595,7.457,0,1
Donor,7RKE_5VP_B601,23.038,-10.252,1.554,0,1
Donor,9W11_ZHB_A701,23.053,-10.234,1.796,0,1
Donor,9W11_ZHB_A701,27.736,-11.191,10.96,1,1
Donor,9W12_A1ET8_A701,27.454,-11.065,10.891,1,1
Donor,9W12_A1ET8_A701,22.856,-10.204,1.835,0,1
Donor,9W12_A1ET8_A701,27.491,-9.763,6.161,1,1
Acceptor,2B1V_458_B202,27.356,-12.435,10.834,1,0
Acceptor,2B1V_458_B202,24.595,-13.549,7.124,2,0
Acceptor,2B1V_458_B202,21.156,-10.774,2.52,0,0
Acceptor,2B1Z_17M_B202,20.699,-10.852,1.896,0,0
Acceptor,2B1Z_17M_B202,26.596,-13.904,9.69,1,0
Acceptor,2QAB_EI1_B1,27.299,-11.614,11.269,1,0
Acceptor,2QAB_EI1_B1,23.549,-12.693,7.407,2,0
Acceptor,2QAB_EI1_B1,20.979,-10.912,2.056,0,0
Acceptor,2QSE_1HP_B1,26.779,-10.821,9.54,1,0
Acceptor,2QSE_1HP_B1,26.201,-10.108,7.288,2,0
Acceptor,2QSE_1HP_B1,20.936,-11.492,1.976,0,0
Acceptor,2QZO_KN1_B1,22.692,-12.843,7.083,2,0
Acceptor,2QZO_KN1_B1,20.59,-10.987,1.339,0,0
Acceptor,2QZO_KN1_B1,20.417,-12.437,5.803,2,0
Acceptor,4MG8_27J_A601,23.157,-12.84,7.323,2,0
Acceptor,4MG8_27J_A601,20.982,-12.705,7.01,2,0
Acceptor,4MG8_27J_A601,22.695,-10.225,1.578,0,0
Acceptor,4MG8_27J_A601,27.339,-11.095,10.931,1,0
Acceptor,4MGA_27L_B601,21.125,-10.9,2.399,0,0
Acceptor,4TV1_36M_A601,25.007,-11.374,6.615,2,0
Acceptor,4TV1_36M_A601,23.142,-12.226,7.631,2,0
Acceptor,4TV1_36M_A601,20.871,-11.039,1.987,0,0
Acceptor,5TN4_7FZ_A601,27.336,-12.157,10.778,1,0
Acceptor,5TN4_7FZ_A601,22.513,-12.01,1.526,0,0
Acceptor,5TN5_7G0_B601,20.782,-10.779,2.124,0,0
Acceptor,5TN5_7G0_B601,26.834,-11.744,10.959,1,0
Acceptor,7NEL_EST_A601,20.887,-11.015,2.004,0,0
Acceptor,7NEL_EST_A601,27.381,-11.575,10.866,1,0
Acceptor,7NFB_GEN_A601,27.886,-11.702,11.313,1,0
Acceptor,7NFB_GEN_A601,23.658,-13.38,10.051,2,0
Acceptor,7NFB_GEN_A601,22.785,-12.844,7.684,2,0
Acceptor,7NFB_GEN_A601,20.581,-11.093,1.844,0,0
Acceptor,7RKE_5VP_B601,22.93,-14.896,8.081,2,0
Acceptor,7RKE_5VP_B601,24.312,-15.867,9.892,2,0
Acceptor,7RKE_5VP_B601,23.038,-10.252,1.554,0,0
Acceptor,9W11_ZHB_A701,23.096,-12.951,7.509,2,0
Acceptor,9W11_ZHB_A701,20.89,-12.846,7.224,2,0
Acceptor,9W11_ZHB_A701,23.053,-10.234,1.796,0,0
Acceptor,9W11_ZHB_A701,27.736,-11.191,10.96,1,0
Acceptor,9W12_A1ET8_A701,27.454,-11.065,10.891,1,0
Acceptor,9W12_A1ET8_A701,23.004,-13.001,7.541,2,0
Acceptor,9W12_A1ET8_A701,20.796,-12.972,7.179,2,0
Acceptor,9W12_A1ET8_A701,22.856,-10.204,1.835,0,0
Acceptor,9W12_A1ET8_A701,27.491,-9.763,6.161,2,0
Aromatic,2B1V_458_B202,22.329,-11.668,4.84,0,1
Aromatic,2B1Z_17M_B202,22.471,-12.065,6.414,0,1
Aromatic,2B1Z_17M_B202,22.263,-11.338,4.119,0,1
Aromatic,2QAB_EI1_B1,24.336,-11.912,7.557,0,1
Aromatic,2QAB_EI1_B1,25.368,-12.268,9.406,0,1
Aromatic,2QAB_EI1_B1,22.357,-11.331,4.266,0,1
Aromatic,2QSE_1HP_B1,25.867,-11.494,9.325,0,1
Aromatic,2QSE_1HP_B1,25.195,-11.051,7.399,0,1
Aromatic,2QSE_1HP_B1,22.627,-11.405,4.136,0,1
Aromatic,2QZO_KN1_B1,23.576,-12.168,7.228,0,1
Aromatic,2QZO_KN1_B1,25.273,-10.879,7.58,0,1
Aromatic,2QZO_KN1_B1,21.913,-11.499,3.692,0,1
Aromatic,4MG8_27J_A601,22.49,-11.315,4.052,0,1
Aromatic,4MGA_27L_B601,22.343,-11.586,4.791,0,1
Aromatic,4MGB_XDH_B601,25.395,-12.549,8.902,0,1
Aromatic,4MGB_XDH_B601,23.267,-11.264,4.933,0,1
Aromatic,4TV1_36M_A601,22.338,-11.413,4.265,0,1
Aromatic,5TN4_7FZ_A601,25.615,-11.916,8.594,0,1
Aromatic,5TN4_7FZ_A601,23.398,-11.485,4.993,0,1
Aromatic,5TN5_7G0_B601,22.415,-11.473,4.208,0,1
Aromatic,7NEL_EST_A601,22.52,-11.501,4.189,0,1
Aromatic,7NFB_GEN_A601,25.874,-11.937,9.465,0,1
Aromatic,7NFB_GEN_A601,25.004,-11.436,7.278,0,1
Aromatic,7NFB_GEN_A601,22.252,-11.338,4.006,0,1
Aromatic,7RKE_5VP_B601,25.356,-13.611,10.147,0,1
Aromatic,7RKE_5VP_B601,23.924,-14.788,9.08,0,1
Aromatic,7RKE_5VP_B601,25.44,-9.92,8.342,0,1
Aromatic,7RKE_5VP_B601,22.398,-11.449,4.04,0,1
Aromatic,9W11_ZHB_A701,22.559,-11.353,4.273,0,1
Aromatic,9W12_A1ET8_A701,22.47,-11.381,4.316,0,1
LumpedHydrophobe,2B1V_458_B202,22.329,-11.668,4.84,0,0
LumpedHydrophobe,2B1Z_17M_B202,24.702,-12.056,7.573,0,0
LumpedHydrophobe,2B1Z_17M_B202,22.471,-12.065,6.414,0,0
LumpedHydrophobe,2B1Z_17M_B202,22.263,-11.338,4.119,0,0
LumpedHydrophobe,2QAB_EI1_B1,25.368,-12.268,9.406,0,0
LumpedHydrophobe,2QAB_EI1_B1,22.357,-11.331,4.266,0,0
LumpedHydrophobe,2QSE_1HP_B1,22.627,-11.405,4.136,0,0
LumpedHydrophobe,2QZO_KN1_B1,25.273,-10.879,7.58,0,0
LumpedHydrophobe,2QZO_KN1_B1,21.913,-11.499,3.692,0,0
LumpedHydrophobe,4MG8_27J_A601,22.49,-11.315,4.052,0,0
LumpedHydrophobe,4MGA_27L_B601,22.343,-11.586,4.791,0,0
LumpedHydrophobe,4MGA_27L_B601,25.181,-10.224,7.685,0,0
LumpedHydrophobe,4MGB_XDH_B601,25.395,-12.549,8.902,0,0
