het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
EST,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,7.4,1,10.03,,pkasolver
CA,[Ca+2],[Ca+2],7.4,0,,,pkasolver:no_ionizable
OHT,CC/C(=C(\c1ccc(cc1)O)/c2ccc(cc2)OCCN(C)C)/c3ccccc3,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1,7.4,2,9.33;10.00,phenol:1,pkasolver+weak_acid_guard
RAL,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,7.4,3,7.78;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
G9J,CC1=C([C@@H](Oc2c1cc(cc2)O)c3ccc(cc3)I)c4cccc(c4)O,CC1=C(c2cccc(O)c2)[C@H](c2ccc(I)cc2)Oc2ccc(O)cc21,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
GEH,CC(C)(C(=O)NCCS)Oc1ccc(cc1)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)NCCS,7.4,3,4.12;6.19;9.33,,pkasolver
ZN,[Zn+2],[Zn+2],7.4,0,,,pkasolver:no_ionizable
C3D,c1ccc(cc1)[C@H]2CCc3cc(ccc3[C@H]2c4ccc(cc4)OCCN5CCCC5)O,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCC[NH+]2CCCC2)cc1,7.4,2,8.86;10.00,phenol:1,pkasolver+weak_acid_guard
GEN,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,7.4,3,10.00;10.00;10.00,phenol:3,pkasolver+weak_acid_guard
NI,[Ni+2],[Ni+2],7.4,0,,,pkasolver:no_ionizable
SAH,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,7.4,6,3.30;3.58;3.59;4.71;8.34;8.68,,pkasolver
29S,Cc1c2cc(ccc2n(c1c3ccc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5)O,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[NH+]3CCCCCC3)cc2)c2ccc(O)cc12,7.4,3,8.30;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
6WV,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2Nc5ccccc5)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2[NH2+]c1ccccc1,7.4,2,7.74;10.00,phenol:1,pkasolver+weak_acid_guard
7EE,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#Cc5ccc(cc5)N)O)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C#Cc1ccc(N)cc1,7.4,4,5.00;9.25;10.00;10.41,phenol:1,pkasolver+weak_acid_guard
7EH,Cn1c2c(cc(cn2)c3ccccc3)nc1N,Cn1c(N)nc2cc(-c3ccccc3)cnc21,7.4,4,2.80;3.34;4.97;9.63,,pkasolver
C6V,CC(c1cc(ccc1c2c(c3ccc(cc3s2)O)Oc4ccc(cc4)/C=C/C(=O)O)F)(F)F,CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)[O-])cc1,7.4,2,4.50;10.00,phenol:1,pkasolver+weak_acid_guard
DES,CC/C(=C(/CC)\c1ccc(cc1)O)/c2ccc(cc2)O,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
F3D,CC/C(=C(/c1ccc(cc1)OCCNCCCC(=O)N(C)C)\c2ccc3c(c2)cn[nH]3)/c4ccccc4,CC/C(=C(/c1ccc(OCC[NH2+]CCCC(=O)[NH+](C)C)cc1)c1ccc2[nH]ncc2c1)c1ccccc1,7.4,5,4.67;5.26;8.52;9.46;10.28,,pkasolver
FSC,C[C@@H]1[C@@H]\2CC[C@@H](/C2=C/[C@]3([C@H](CC(=C3[C@H]([C@@H]1O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(C)(C)C=C)O)OC(=O)C)O)[C@H](C)COC(=O)C)O)C)COC,C=CC(C)(C)OC[C@H]1O[C@H](O[C@@H]2C3=C([C@H](C)COC(C)=O)C[C@H](O)[C@]3(C)/C=C3/[C@@H](COC)CC[C@H]3[C@@H](C)[C@H]2O)[C@H](O)[C@@H](OC(C)=O)[C@@H]1O,7.4,1,8.62,,pkasolver
GW5,CC/C(=C(\c1ccccc1)/c2ccc(cc2)/C=C/C(=O)O)/c3ccccc3,CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1,7.4,1,5.12,,pkasolver
KN1,C=CCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,C=CCn1nc(-c2ccc(O)cc2O)c2cccc(C(F)(F)F)c21,7.4,3,3.76;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
KN3,CC(=CCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O)C,CC(C)=CCn1nc(-c2ccc(O)cc2O)c2cccc(C(F)(F)F)c21,7.4,3,4.07;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
LF5,[H]/N=C(/c1cc2c(ccc(c2s1)OC(C)C)Cl)\N,[H]/N=C(\N)c1cc2c(Cl)ccc(OC(C)C)c2s1,7.4,1,7.21,,pkasolver
O4I,CC(C)(C(=O)N1CCC(CC1)CNC(=O)CCl)Oc2ccc(cc2)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)N1CCC(CNC(=O)CCl)CC1,7.4,3,7.34;7.79;9.32,,pkasolver
OBH,c1cc(ccc1C2=C([C@H]3[C@@H](C[C@@H]2O3)S(=O)(=O)OC4C=CCC=C4)c5ccc(cc5)O)O,O=S(=O)(OC1C=CCC=C1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,2,10.00;10.00,phenol:2,pkasolver+weak_acid_guard
