het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
MG,MAGNESIUM ION,metal,True,87,226,7BAA,24.305,[Mg+2]
EST,ESTRADIOL,ligand,False,23,47,7NEL,272.382,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
CA,CALCIUM ION,metal,True,18,64,9I6U,40.078,[Ca+2]
OHT,4-HYDROXYTAMOXIFEN,ligand,False,7,22,5W9C,387.514,CC/C(=C(\c1ccc(cc1)O)/c2ccc(cc2)OCCN(C)C)/c3ccccc3
RAL,RALOXIFENE,ligand,False,6,12,7NDO,473.583,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O
G9J,(2S)-3-(3-hydroxyphenyl)-2-(4-iodophenyl)-4-methyl-2H-1-benzopyran-6-ol,ligand,False,4,11,6DFN,456.273,CC1=C([C@@H](Oc2c1cc(cc2)O)c3ccc(cc3)I)c4cccc(c4)O
GEH,2-(4-chloranylphenoxy)-2-methyl-~{N}-(2-sulfanylethyl)propanamide,ligand,False,4,4,8BZC,273.779,CC(C)(C(=O)NCCS)Oc1ccc(cc1)Cl
ZN,ZINC ION,metal,True,4,21,1HCQ,65.409,[Zn+2]
C3D,"(5R,6S)-6-PHENYL-5-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]-5,6,7,8-TETRAHYDRONAPHTHALEN-2-OL",ligand,False,3,7,6VJD,413.551,c1ccc(cc1)[C@H]2CCc3cc(ccc3[C@H]2c4ccc(cc4)OCCN5CCCC5)O
GEN,GENISTEIN,ligand,False,3,5,7NFB,270.237,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O
NI,NICKEL (II) ION,metal,True,3,5,8VZQ,58.693,[Ni+2]
SAH,S-ADENOSYL-L-HOMOCYSTEINE,cofactor,False,3,3,3CBO,384.411,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
29S,Bazedoxifene,ligand,False,2,6,6PSJ,470.603,Cc1c2cc(ccc2n(c1c3ccc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5)O
6WV,"(8~{R},9~{S},13~{S},14~{S},17~{S})-13-methyl-17-phenylazanyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-ol",ligand,False,2,8,5U2B,347.493,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2Nc5ccccc5)O
7EE,"(14beta,17alpha)-21-(4-aminophenyl)-19-norpregna-1(10),2,4-trien-20-yne-3,17-diol",ligand,False,2,4,5TLU,387.514,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#Cc5ccc(cc5)N)O)O
7EH,"3-methyl-6-phenyl-3H-imidazo[4,5-b]pyridin-2-amine",ligand,False,2,3,5TLP,224.261,Cn1c2c(cc(cn2)c3ccccc3)nc1N
