family,ligand_id,x,y,z,cluster,kept
Donor,8DD3_R63_D701,235.911,214.767,245.777,0,0
Acceptor,8DD3_R63_D701,235.226,218.378,245.814,0,1
Acceptor,8DD3_R63_D701,234.629,220.705,244.328,0,1
Acceptor,8DD3_R63_D701,236.796,220.773,243.978,0,1
Acceptor,8DD3_R63_D701,237.957,211.099,243.107,1,1
Acceptor,8DD3_R63_D701,238.543,212.826,241.35,1,1
Aromatic,8DD3_R63_D701,236.304,215.29,244.826,0,1
Aromatic,8DD3_R63_D701,237.216,213.738,243.606,0,1
Aromatic,8DD3_R63_D701,235.797,217.394,245.06,1,0
Hydrophobe,8DD3_R63_D701,236.366,217.711,243.842,1,1
Hydrophobe,8DD3_R63_D701,236.38,216.363,244.295,0,1
Hydrophobe,8DD3_R63_D701,236.877,215.095,243.783,0,1
Hydrophobe,8DD3_R63_D701,236.983,218.078,242.497,1,1
