family,ligand_id,x,y,z,cluster,kept
Donor,7QNE_EIE_D502,237.47,216.629,241.561,0,0
Acceptor,7QNE_EIE_D502,236.297,219.871,242.971,0,1
Acceptor,7QNE_EIE_D502,235.277,220.177,244.934,0,1
Acceptor,7QNE_EIE_D502,234.322,217.38,244.592,0,1
Acceptor,7QNE_EIE_D502,237.024,215.027,240.057,1,0
PosIonizable,7QNE_EIE_D502,237.535,209.86,243.375,0,1
PosIonizable,7QNE_EIE_D502,235.269,216.858,244.11,0,1
Aromatic,7QNE_EIE_D502,235.269,216.858,244.11,0,1
Aromatic,7QNE_EIE_D502,236.861,213.313,243.243,0,1
Hydrophobe,7QNE_EIE_D502,236.99,214.354,242.31,0,0
