family,ligand_id,x,y,z,cluster,kept
PosIonizable,7A5V_HSM_A5408,189.549,224.846,244.201,0,1
PosIonizable,7A5V_HSM_A5408,186.781,221.249,243.03,0,1
PosIonizable,7A5V_HSM_A5408,186.839,221.504,241.897,0,1
PosIonizable,7QNC_EI7_B503,188.169,222.737,240.071,0,1
PosIonizable,9EQG_ABU_E3205,220.183,187.654,244.687,1,0
Aromatic,7A5V_HSM_A5408,186.839,221.504,241.897,0,0
Aromatic,7QNC_EI7_B503,186.617,219.865,240.722,0,0
Donor,7QNC_EI7_B503,186.221,218.911,241.318,0,0
Acceptor,7QNC_EI7_B503,184.25,219.552,240.029,0,0
NegIonizable,9EQG_ABU_E3205,225.17,189.144,245.372,0,0
