het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
ABU,C(CC(=O)O)CN,[NH3+]CCCC(=O)[O-],7.4,2,5.07;10.61,,pkasolver
HSM,c1c(nc[nH]1)CCN,[NH3+]CCc1c[nH]c[nH+]1,7.4,4,5.03;7.66;9.38;10.71,,pkasolver
R16,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,7.4,0,,,pkasolver:no_ionizable
D3D,CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OC[C@@H](CO)O)OC(=O)CCCCCCC/C=C/CCCCCCCC,CCCCCCCC/C=C/CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H](O)CO,7.4,3,7.35;9.33;9.38,,pkasolver
V8D,CCOC(=O)c1cncn1[C@H](C)c2ccccc2,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,7.4,1,4.79,,pkasolver
OCT,CCCCCCCC,CCCCCCCC,7.4,0,,,pkasolver:no_ionizable
PTY,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)([O-])OCC[NH3+],7.4,2,7.35;9.19,,pkasolver
Q3G,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OC[C@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-])OC(=O)CCCCCCCCCCCCCCC,7.4,3,6.35;7.06;8.81,,pkasolver
ZN,[Zn+2],[Zn+2],7.4,0,,,pkasolver:no_ionizable
A8W,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,0,,,pkasolver:no_ionizable
FYP,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)F,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,7.4,2,3.43;3.95,,pkasolver
RI5,CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C,C=C(C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@]14C,7.4,1,8.64,,pkasolver
DZP,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)Cl,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,7.4,1,3.35,,pkasolver
EI7,C1CNCC2=C1C(=O)NO2,O=c1[nH]oc2c1CCNC2,7.4,3,4.05;7.09;8.54,,pkasolver
