family,ligand_id,x,y,z,cluster,kept
Donor,4MDD_29M_B801,28.209,5.825,12.924,1,0
Donor,4MDD_29M_B801,30.017,3.481,12.364,1,0
Donor,4MDD_29M_B801,25.632,6.53,14.426,0,0
Donor,5UC3_486_B801,28.779,7.429,16.633,2,1
Donor,6DXK_HJ4_A801,28.833,6.851,16.98,2,1
Acceptor,4MDD_29M_B801,34.627,9.212,10.413,0,1
Acceptor,4MDD_29M_B801,30.413,7.08,9.674,0,1
Acceptor,4MDD_29M_B801,24.288,4.846,15.779,1,1
Acceptor,4MDD_29M_B801,26.751,5.094,16.277,1,1
Acceptor,5UC3_486_B801,32.812,9.131,7.101,0,1
Acceptor,5UC3_486_B801,28.779,7.429,16.633,1,1
Acceptor,6DXK_HJ4_A801,32.989,9.004,7.118,0,1
Acceptor,6DXK_HJ4_A801,28.833,6.851,16.98,1,1
PosIonizable,4MDD_29M_B801,30.017,3.481,12.364,0,0
Aromatic,4MDD_29M_B801,28.872,6.757,12.893,2,0
Aromatic,4MDD_29M_B801,27.822,8.287,13.976,2,0
Aromatic,4MDD_29M_B801,32.317,8.217,11.396,1,0
Aromatic,4MDD_29M_B801,29.967,1.6,15.553,0,0
Aromatic,5UC3_486_B801,30.58,3.224,12.28,3,1
Aromatic,6DXK_HJ4_A801,30.292,3.658,12.074,3,1
LumpedHydrophobe,4MDD_29M_B801,27.822,8.287,13.976,4,0
LumpedHydrophobe,4MDD_29M_B801,32.317,8.217,11.396,5,0
LumpedHydrophobe,4MDD_29M_B801,29.967,1.6,15.553,2,0
LumpedHydrophobe,4MDD_29M_B801,27.43,11.289,15.29,1,1
LumpedHydrophobe,5UC3_486_B801,30.865,6.992,13.317,0,1
LumpedHydrophobe,5UC3_486_B801,30.58,3.224,12.28,3,1
LumpedHydrophobe,6DXK_HJ4_A801,30.558,7.335,13.371,0,1
LumpedHydrophobe,6DXK_HJ4_A801,30.292,3.658,12.074,3,1
LumpedHydrophobe,6DXK_HJ4_A801,27.117,11.108,15.596,1,1
