family,ligand_id,x,y,z,cluster,kept
Acceptor,1M2Z_DEX_A301,30.407,8.341,11.89,0,1
Acceptor,1M2Z_DEX_A301,32.692,8.982,7.542,1,1
Acceptor,1M2Z_DEX_A301,28.47,5.159,17.393,0,1
Acceptor,3BQD_DAY_A301,29.281,4.918,12.374,0,1
Acceptor,3BQD_DAY_A301,28.043,8.499,15.984,0,1
Acceptor,3BQD_DAY_A301,27.565,5.696,17.965,0,1
Acceptor,3BQD_DAY_A301,25.314,4.867,16.754,0,1
Acceptor,3BQD_DAY_A301,31.24,8.194,6.431,1,1
Acceptor,3E7C_866_A1,28.15,5.28,11.963,0,1
Acceptor,3E7C_866_A1,32.202,8.072,11.952,0,1
Acceptor,3E7C_866_A1,31.629,7.613,7.453,1,1
Acceptor,3E7C_866_A1,36.221,10.476,4.318,1,1
Acceptor,3E7C_866_A1,29.714,7.226,15.937,0,1
Acceptor,3K22_JZS_B1,37.123,6.495,6.531,1,1
Acceptor,3K22_JZS_B1,28.116,5.596,12.517,0,1
Acceptor,3K22_JZS_B1,31.527,7.605,7.255,1,1
Acceptor,3K22_JZS_B1,39.459,4.537,4.293,1,1
Acceptor,3K23_JZN_B2,31.308,7.558,17.322,0,1
Acceptor,3K23_JZN_B2,26.538,8.952,15.044,0,1
Acceptor,3K23_JZN_B2,27.983,5.055,12.095,0,1
Acceptor,3K23_JZN_B2,31.412,7.681,7.556,1,1
Acceptor,3K23_JZN_B2,36.715,6.344,7.339,1,1
Acceptor,3K23_JZN_B2,38.012,8.771,2.755,1,1
Acceptor,4CSJ_NN7_A1778,31.506,7.542,7.144,1,1
Acceptor,4CSJ_NN7_A1778,36.216,10.916,4.428,1,1
Acceptor,4CSJ_NN7_A1778,28.184,5.351,16.592,0,1
Acceptor,4CSJ_NN7_A1778,30.619,5.665,16.169,0,1
Acceptor,4LSJ_LSJ_A801,35.471,9.007,10.58,1,1
Acceptor,4LSJ_LSJ_A801,27.618,2.244,14.045,0,1
Acceptor,4LSJ_LSJ_A801,28.434,3.523,15.892,0,1
Acceptor,4LSJ_LSJ_A801,30.515,7.711,11.794,0,1
Acceptor,4P6W_MOF_A801,32.224,8.855,7.552,1,1
Acceptor,4P6W_MOF_A801,29.521,4.664,12.147,0,1
Acceptor,4P6W_MOF_A801,27.971,5.861,17.623,0,1
Acceptor,4P6W_MOF_A801,28.258,8.545,15.291,0,1
Acceptor,4P6W_MOF_A801,26.683,9.421,16.887,0,1
Acceptor,4P6X_HCY_C900,32.879,9.19,7.481,1,1
Acceptor,4P6X_HCY_C900,29.957,4.765,12.049,0,1
Acceptor,4P6X_HCY_C900,28.196,8.541,15.459,0,1
Acceptor,4P6X_HCY_C900,28.192,6.08,17.754,0,1
Acceptor,4P6X_HCY_C900,25.86,5.255,16.841,0,1
Acceptor,4UDD_CV7_A1782,27.675,8.194,15.203,0,1
Acceptor,4UDD_CV7_A1782,29.131,9.17,16.664,0,1
Acceptor,4UDD_CV7_A1782,28.011,5.454,17.326,0,1
Acceptor,4UDD_CV7_A1782,25.628,4.6,16.414,0,1
Acceptor,4UDD_CV7_A1782,32.67,8.938,7.44,1,1
Acceptor,4UDD_CV7_A1782,29.739,4.772,11.925,0,1
Acceptor,5G3J_E7T_A1779,28.339,5.846,12.572,0,1
Acceptor,5G3J_E7T_A1779,32.487,7.918,6.131,1,1
Acceptor,5G3J_E7T_A1779,28.796,11.702,13.634,0,1
Acceptor,5G3J_E7T_A1779,26.866,11.111,15.398,0,1
Acceptor,5G3J_E7T_A1779,26.529,8.573,16.307,0,1
Acceptor,5G5W_R8C_A1778,31.319,6.297,12.392,0,1
Acceptor,5G5W_R8C_A1778,31.12,7.688,6.688,1,1
Acceptor,5G5W_R8C_A1778,36.292,10.659,4.51,1,1
Acceptor,5G5W_R8C_A1778,29.496,6.237,16.68,0,1
Acceptor,5NFP_8W5_A804,29.304,9.292,16.598,0,1
Acceptor,5NFP_8W5_A804,32.551,8.942,7.344,1,1
Acceptor,5NFP_8W5_A804,27.751,8.27,15.235,0,1
Acceptor,5NFP_8W5_A804,27.993,5.657,17.511,0,1
Acceptor,5NFP_8W5_A804,25.78,4.678,16.477,0,1
Acceptor,5NFP_8W5_A804,29.72,4.775,11.926,0,1
Acceptor,5NFT_8W8_A804,31.184,7.79,6.689,1,1
Acceptor,5NFT_8W8_A804,29.628,6.169,16.741,0,1
Acceptor,5NFT_8W8_A804,26.321,9.492,13.598,0,1
Acceptor,5NFT_8W8_A804,31.298,6.422,12.45,0,1
Acceptor,5NFT_8W8_A804,36.276,10.561,4.49,1,1
Acceptor,6EL6_B9Q_A802,27.736,8.898,13.443,0,1
Acceptor,6EL6_B9Q_A802,28.124,11.062,14.424,0,1
