het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
ZN,[Zn+2],[Zn+2],7.4,0,,,pkasolver:no_ionizable
DEX,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.4,3,6.32;6.69;8.18,alcohol:2,pkasolver+weak_acid_guard
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
486,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)c5ccc(cc5)N(C)C)C)O,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,7.4,2,5.32;8.53,,pkasolver
ATP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,7.4,6,3.01;3.45;3.63;3.77;4.55;5.16,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
82H,C[C@@H]([C@@H](c1ccc2c(c1)OCCO2)Oc3ccc4c(c3)cnn4c5cccc(c5)C(=O)N[C@@H]6CCOC6)NC(=O)C(C)(F)F,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N[C@@H]3CCOC3)c2)c1)c1ccc2c(c1)OCCO2,7.4,5,4.06;4.36;4.50;8.24;9.14,,pkasolver
GW6,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)c5ccco5)C)O)F)C)F,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,7.4,1,6.98,alcohol:1,pkasolver+weak_acid_guard
29M,CC(C)c1cc2c(c([nH]c2c(c1)NS(=O)(=O)C)CN(C)Cc3ccccc3)c4ccc(cc4OC)F,COc1cc(F)ccc1-c1c(C[NH+](C)Cc2ccccc2)[nH]c2c(NS(C)(=O)=O)cc(C(C)C)cc12,7.4,5,6.97;7.35;7.92;8.26;9.82,,pkasolver
866,CCN(C[C@@](CNC(=O)c1cnn(c1N)c2ccc(cc2)F)(C(F)(F)F)O)C(=O)c3c(cccc3Cl)Cl,CCN(C[C@@](O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl,7.4,6,3.67;3.70;4.30;7.88;8.66;9.07,,pkasolver
8W5,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,7.4,2,7.69;7.80,,pkasolver
8W8,C[C@@H]([C@@H](c1cccc(c1)OC)Oc2ccc3c(c2)cnn3c4ccc(cc4)F)NC(=O)C(F)(F)F,COc1cccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)C(F)(F)F)c1,7.4,3,3.42;4.39;8.81,,pkasolver
A1ACE,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(O[C@@H](O4)c5ccc(cc5)Cc6cccc(c6)N)C(=O)CO)CCC7=CC(=O)C=C[C@]37C)O,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](c3ccc(Cc4cccc(N)c4)cc3)O[C@]12C(=O)CO,7.4,4,5.66;8.55;8.62;8.82,,pkasolver
ADP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,7.4,6,2.52;3.04;3.51;3.75;4.90;5.56,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
B9Q,C[C@@H]([C@@H](c1ccc(nc1)OC)Oc2ccc3c(c2)cnn3c4ccc(cc4)F)NC(=O)C5CC5,COc1ccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)C2CC2)cn1,7.4,4,3.97;4.20;5.90;9.56,,pkasolver
B9T,C[C@@H]([C@@H](c1cnc(nc1)C2CC2)Oc3ccc(cc3Br)C#N)NC(=O)C(C)(F)F,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc(C#N)cc1Br)c1cnc(C2CC2)nc1,7.4,3,3.49;3.85;8.60,,pkasolver
B9W,CC(C)[C@@H]([C@@H](c1ccccc1)Oc2ccc3c(c2)cnn3C4=CN(C(=O)C=C4)C)NC(=O)C(C)(F)F,CC(C)[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1ccccc1,7.4,3,4.25;4.37;8.90,,pkasolver
CV7,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(O[C@@H](O4)C5CCCCC5)C(=O)CO)CCC6=CC(=O)C=C[C@]36C)O,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](C3CCCCC3)O[C@]12C(=O)CO,7.4,2,7.80;7.90,,pkasolver
DAY,C[C@@H]1C[C@H]2[C@@H]3C=C(C4=Cc5c(cnn5c6ccccc6)C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)C,CC1=C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2C[C@@H](C)[C@]3(O)C(=O)CO)[C@@]2(C)Cc3cnn(-c4ccccc4)c3C=C12,7.4,4,4.52;7.51;7.82;9.00,,pkasolver
E7T,CC[C@@H]1C[C@@]([C@H](c2c1c(c(c(c2)F)F)O)Nc3cccc4c3C=CC(=O)N4)(C(F)(F)F)O,CC[C@@H]1C[C@](O)(C(F)(F)F)[C@@H](Nc2cccc3[nH]c(=O)ccc23)c2cc(F)c(F)c(O)c21,7.4,5,3.50;4.31;7.55;8.55;10.00,phenol:1,pkasolver+weak_acid_guard
HCY,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.4,3,6.64;7.01;8.24,alcohol:2,pkasolver+weak_acid_guard
HJ4,C[C@]12C[C@@H](C3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#CC(C)(C)C)O)c5ccc(cc5)N(C)C,CN(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC(C)(C)C)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,7.4,2,5.31;8.55,,pkasolver
JZN,Cc1cc(c2cnn(c2c1)c3cccc(c3)C(=O)N4CCC[C@@H]4C(=O)N)NC[C@](CC(C)(C)c5cc(ccc5OC)F)(C(F)(F)F)O,COc1ccc(F)cc1C(C)(C)C[C@@](O)(CNc1cc(C)cc2c1cnn2-c1cccc(C(=O)[NH+]2CCC[C@@H]2C(N)=O)c1)C(F)(F)F,7.4,7,3.38;4.37;5.16;6.97;8.38;9.11;9.30,,pkasolver
JZR,CCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,CCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7.4,2,9.35;9.75,,pkasolver
