het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
ZN,ZINC ION,metal,True,22,112,5E69,65.409,[Zn+2]
DEX,DEXAMETHASONE,ligand,False,6,10,1M2Z,392.461,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
MG,MAGNESIUM ION,metal,True,5,9,8A9G,24.305,[Mg+2]
486,"11-(4-DIMETHYLAMINO-PHENYL)-17-HYDROXY-13-METHYL-17-PROP-1-YNYL-1,2,6,7,8,11,12,13,14,15,16,17-DODEC AHYDRO-CYCLOPENTA[A]PHENANTHREN-3-ONE",ligand,False,3,7,5UC3,429.594,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)c5ccc(cc5)N(C)C)C)O
ATP,ADENOSINE-5'-TRIPHOSPHATE,cofactor,False,3,6,7KRJ,507.181,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
82H,Velsecorat,ligand,False,2,3,7PRX,606.616,C[C@@H]([C@@H](c1ccc2c(c1)OCCO2)Oc3ccc4c(c3)cnn4c5cccc(c5)C(=O)N[C@@H]6CCOC6)NC(=O)C(C)(F)F
GW6,"(6alpha,11alpha,14beta,16alpha,17alpha)-6,9-difluoro-17-{[(fluoromethyl)sulfanyl]carbonyl}-11-hydroxy-16-methyl-3-oxoan
drosta-1,4-dien-17-yl furan-2-carboxylate",ligand,False,2,4,7PRV,538.576,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)c5ccco5)C)O)F)C)F
29M,N-[2-{[benzyl(methyl)amino]methyl}-3-(4-fluoro-2-methoxyphenyl)-5-(propan-2-yl)-1H-indol-7-yl]methanesulfonamide,ligand,False,1,2,4MDD,509.635,CC(C)c1cc2c(c([nH]c2c(c1)NS(=O)(=O)C)CN(C)Cc3ccccc3)c4ccc(cc4OC)F
866,"5-amino-N-[(2S)-2-({[(2,6-dichlorophenyl)carbonyl](ethyl)amino}methyl)-3,3,3-trifluoro-2-hydroxypropyl]-1-(4-fluorophenyl)-1H-pyrazole-4-carboxamide",ligand,False,1,2,3E7C,562.344,CCN(C[C@@](CNC(=O)c1cnn(c1N)c2ccc(cc2)F)(C(F)(F)F)O)C(=O)c3c(cccc3Cl)Cl
8W5,"(1~{S},2~{S},4~{R},6~{R},8~{S},9~{S},11~{S},12~{S},13~{R})-9,13-dimethyl-11-oxidanyl-8-(2-oxidanylethanoyl)-6-propyl-5,7-dioxapentacyclo[10.8.0.0^{2,9}.0^{4,8}.0^{13,18}]icosa-14,17-dien-16-one",ligand,False,1,1,5NFP,430.534,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
