family,ligand_id,x,y,z,cluster,kept
Donor,1BVE_DMP_B100,-8.363,15.992,26.978,1,1
Donor,1BVE_DMP_B100,-9.535,15.37,28.92,1,1
Donor,1BVE_DMP_B100,-9.708,19.43,27.128,1,1
Donor,1BVE_DMP_B100,-11.653,18.397,28.774,1,1
Donor,1BVE_DMP_B100,-8.942,18.454,20.384,0,1
Donor,1BVE_DMP_B100,-11.356,17.125,35.541,2,1
Donor,1BWB_146_B641,-8.735,16.286,26.875,1,1
Donor,1BWB_146_B641,-9.744,15.7,28.942,1,1
Donor,1BWB_146_B641,-6.533,16.56,20.843,0,1
Donor,1BWB_146_B641,-5.903,16.873,18.452,0,1
Donor,1BWB_146_B641,-4.387,15.908,19.812,0,1
Donor,1BWB_146_B641,-11.198,13.872,34.927,2,1
Donor,1BWB_146_B641,-12.046,13.627,37.272,2,1
Donor,1BWB_146_B641,-11.543,11.757,36.133,2,1
Donor,1BWB_146_B641,-10.274,19.651,26.885,1,1
Donor,1BWB_146_B641,-11.936,18.669,28.888,1,1
Donor,1DMP_DMQ_B450,-8.609,16.169,26.739,1,1
Donor,1DMP_DMQ_B450,-9.787,19.625,26.922,1,1
Donor,1DMP_DMQ_B450,-11.824,18.647,28.552,1,1
Donor,1DMP_DMQ_B450,-9.636,15.647,28.844,1,1
Donor,1DMP_DMQ_B450,-7.982,17.667,20.973,0,1
Donor,1DMP_DMQ_B450,-11.411,15.222,34.648,2,1
Donor,1HIV_1ZK_A100,-11.561,14.53,32.347,2,1
Donor,1HIV_1ZK_A100,-10.366,14.062,34.851,2,1
Donor,1HIV_1ZK_A100,-10.211,15.412,36.552,2,1
Donor,1HIV_1ZK_A100,-10.965,16.1,29.903,1,1
Donor,1HIV_1ZK_A100,-11.037,18.704,28.201,1,1
Donor,1HIV_1ZK_A100,-8.851,18.144,29.467,1,1
Donor,1HIV_1ZK_A100,-8.163,17.915,24.774,0,1
Donor,1HIV_1ZK_A100,-5.771,17.708,22.577,0,1
Donor,1HVH_Q82_B265,-11.45,19.035,29.008,1,1
Donor,1HVH_Q82_B265,-9.578,19.689,27.129,1,1
Donor,1HVH_Q82_B265,-9.159,16.092,26.916,1,1
Donor,1HVH_Q82_B265,-9.773,15.724,29.136,1,1
Donor,1HVH_Q82_B265,-6.24,17.193,20.337,0,1
Donor,1HVH_Q82_B265,-11.518,16.527,36.366,2,1
Donor,1HVR_XK2_A263,-9.777,15.595,28.929,1,1
Donor,1HVR_XK2_A263,-11.927,18.556,28.854,1,1
Donor,1HVR_XK2_A263,-10.166,19.566,26.825,1,1
Donor,1HVR_XK2_A263,-8.739,16.145,26.826,1,1
Donor,1HWR_216_B216,-10.259,19.552,26.706,1,1
Donor,1HWR_216_B216,-11.908,18.594,28.834,1,1
Donor,1HWR_216_B216,-8.799,16.271,26.696,1,1
Donor,1HWR_216_B216,-9.554,15.772,28.865,1,1
Donor,1ODX_0E8_A201,-12.157,16.509,27.021,1,1
Donor,1ODX_0E8_A201,-12.105,15.769,30.665,1,1
Donor,1ODX_0E8_A201,-10.977,19.008,27.857,1,1
Donor,1ODX_0E8_A201,-8.239,18.972,28.694,1,1
Donor,1ODX_0E8_A201,-7.61,18.454,25.138,0,1
Donor,1ODY_LP1_A201,-8.858,17.956,25.989,1,1
Donor,1ODY_LP1_A201,-4.958,18.155,20.764,0,1
Donor,1ODY_LP1_A201,-7.154,17.158,23.157,0,1
Donor,1ODY_LP1_A201,-10.822,18.951,27.713,1,1
Donor,1ODY_LP1_A201,-10.797,16.066,31.026,1,1
Donor,1ODY_LP1_A201,-11.921,13.82,33.455,2,1
Donor,1ODY_LP1_A201,-13.118,12.631,36.581,2,1
Donor,1QBR_XV6_A638,-11.811,18.692,28.77,1,1
Donor,1QBR_XV6_A638,-9.887,19.733,27.09,1,1
Donor,1QBR_XV6_A638,-9.74,15.616,28.921,1,1
Donor,1QBR_XV6_A638,-8.611,16.212,26.94,1,1
Donor,1QBR_XV6_A638,-11.003,13.843,34.887,2,1
Donor,1QBR_XV6_A638,-6.397,16.508,20.9,0,1
Donor,1QBU_846_B300,-8.716,16.235,26.823,1,1
Donor,1QBU_846_B300,-9.719,15.809,28.966,1,1
Donor,1QBU_846_B300,-6.129,16.635,20.712,0,1
Donor,1QBU_846_B300,-10.118,19.675,26.782,1,1
Donor,1QBU_846_B300,-11.807,18.834,28.879,1,1
Donor,2FDE_385_A101,-9.047,17.591,25.777,1,1
Donor,2FDE_385_A101,-10.582,19.433,27.561,1,1
Donor,2WHH_GLU_A2302,-7.749,18.013,24.581,0,1
Donor,2WHH_GLU_A2302,-8.139,16.239,19.568,0,1
Donor,2WHH_GLU_A2302,-6.239,17.033,21.55,0,1
Donor,4Q1Y_017_A106,-10.27,16.742,36.171,2,1
Donor,4Q1Y_017_A106,-10.635,19.425,27.726,1,1
Donor,4Q1Y_017_A106,-8.94,17.841,25.998,1,1
Donor,4Q5M_ROC_A1101,-11.507,14.628,32.317,2,1
Donor,4Q5M_ROC_A1101,-10.129,14.326,35.109,2,1
Donor,4Q5M_ROC_A1101,-11.416,18.916,28.393,1,1
Donor,4Q5M_ROC_A1101,-10.937,16.536,29.904,1,1
Donor,4Q5M_ROC_A1101,-8.17,18.103,26.942,1,1
Donor,4Q5M_ROC_A1101,-8.71,17.084,23.649,0,1
Donor,4U7Q_3EM_B101,-9.061,17.506,27.249,1,1
Donor,4U7Q_3EM_B101,-11.347,14.977,34.119,2,1
Donor,4U7Q_3EM_B101,-11.574,16.219,31.132,1,1
Donor,4U7Q_3EM_B101,-10.903,19.261,28.339,1,1
Donor,4U7V_3EN_B101,-7.346,17.816,25.137,0,1
Donor,4U7V_3EN_B101,-7.346,15.152,22.601,0,1
Donor,4U7V_3EN_B101,-10.517,19.593,27.016,1,1
Donor,4U7V_3EN_B101,-9.818,17.735,29.074,1,1
Donor,5DGU_5B7_A201,-11.529,18.809,28.192,1,1
Donor,5DGU_5B7_A201,-11.046,16.452,29.858,1,1
Donor,5DGW_5B5_A201,-11.755,18.743,28.094,1,1
Donor,5DGW_5B5_A201,-11.108,16.44,29.816,1,1
Donor,5DGW_5B5_A201,-12.901,12.54,33.923,2,1
Donor,5KAO_G43_A500,-10.537,19.578,27.694,1,1
Donor,5KAO_G43_A500,-8.721,17.954,26.062,1,1
Donor,6DIF_TPV_B201,-10.943,18.127,28.461,1,1
Donor,6DIF_TPV_B201,-10.287,14.059,34.171,2,1
Donor,6DJ1_AB1_B201,-7.041,17.303,22.645,0,1
Donor,6DJ1_AB1_B201,-5.553,18.641,21.44,0,1
Donor,6DJ1_AB1_B201,-8.129,18.068,25.668,1,1
Donor,6DJ1_AB1_B201,-10.4,16.649,29.584,1,1
Donor,6DJ1_AB1_B201,-11.331,18.994,28.127,1,1
Donor,6DJ5_G52_B201,-11.594,18.823,28.036,1,1
Donor,6DJ5_G52_B201,-11.079,16.611,29.809,1,1
Donor,6DJ7_G10_B201,-8.372,16.965,19.618,0,1
Donor,6DJ7_G10_B201,-11.439,18.829,28.046,1,1
Donor,6DJ7_G10_B201,-11.047,16.553,29.823,1,1
Donor,6DV0_GA8_B201,-11.392,18.843,27.989,1,1
Donor,6DV0_GA8_B201,-10.849,16.452,29.713,1,1
Donor,6DV0_GA8_B201,-12.535,12.699,33.385,2,1
Donor,6DV4_GA5_B201,-10.645,19.292,27.804,1,1
Donor,6DV4_GA5_B201,-8.786,17.635,26.126,1,1
Donor,6DV4_GA5_B201,-8.314,17.979,19.277,0,1
Donor,6DV4_GA5_B201,-4.824,18.556,22.592,0,1
Donor,6E7J_HWY_A201,-8.779,18.002,25.845,1,1
Donor,6E7J_HWY_A201,-10.594,19.597,27.568,1,1
Donor,6E9A_J0S_B201,-11.299,18.903,28.079,1,1
Donor,6E9A_J0S_B201,-10.65,16.64,29.885,1,1
Donor,6E9A_J0S_B201,-11.54,14.276,33.31,2,1
Donor,7DOZ_1UN_A1102,-11.462,16.124,28.893,1,1
Donor,7DOZ_1UN_A1102,-10.249,15.931,32.385,2,1
Donor,7DOZ_1UN_A1102,-10.64,19.304,27.357,1,1
Donor,7DOZ_1UN_A1102,-8.624,17.808,26.185,1,1
Donor,7DOZ_1UN_A1102,-9.062,16.889,20.33,0,1
Donor,8ESX_X7B_B203,-9.072,17.732,26.141,1,1
Donor,8ESX_X7B_B203,-10.138,15.572,37.655,2,1
Donor,8ESX_X7B_B203,-10.772,19.292,27.833,1,1
Donor,8ESX_X7B_B203,-12.186,15.985,36.692,2,1
Acceptor,1BVE_DMP_B100,-8.079,14.051,27.953,2,1
Acceptor,1BVE_DMP_B100,-9.708,19.43,27.128,3,1
Acceptor,1BVE_DMP_B100,-11.653,18.397,28.774,3,1
Acceptor,1BVE_DMP_B100,-8.942,18.454,20.384,6,1
Acceptor,1BVE_DMP_B100,-11.356,17.125,35.541,4,1
Acceptor,1BWB_146_B641,-4.387,15.908,19.812,0,0
Acceptor,1BWB_146_B641,-11.543,11.757,36.133,5,0
Acceptor,1BWB_146_B641,-8.256,14.396,27.954,2,1
Acceptor,1BWB_146_B641,-10.274,19.651,26.885,3,1
Acceptor,1BWB_146_B641,-11.936,18.669,28.888,3,1
Acceptor,1BWB_146_B641,-8.225,17.632,19.817,6,1
Acceptor,1BWB_146_B641,-11.281,15.889,35.924,4,1
