het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
MN,[Mn+2],[Mn+2],7.4,0,,,pkasolver:no_ionizable
NVP,Cc1ccnc2c1NC(=O)c3cccnc3N2C4CC4,Cc1ccnc2c1NC(=O)c1cccnc1[NH+]2C1CC1,7.4,5,3.09;3.48;4.21;4.45;9.83,,pkasolver
ZN,[Zn+2],[Zn+2],7.4,0,,,pkasolver:no_ionizable
EFZ,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,7.4,2,4.93;6.70,amide:1,pkasolver+weak_acid_guard
CA,[Ca+2],[Ca+2],7.4,0,,,pkasolver:no_ionizable
ROC,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,7.4,11,5.76;6.21;6.87;7.29;7.62;7.92;7.93;8.43;8.72;8.95;9.48,,pkasolver
65P,Cc1c(ccc2c1CCCO2)c3c4ccn(c4nc(c3[C@@H](C(=O)O)OC(C)(C)C)C)Cc5ccc(c(c5)F)F,Cc1nc2c(ccn2Cc2ccc(F)c(F)c2)c(-c2ccc3c(c2C)CCCO3)c1[C@H](OC(C)(C)C)C(=O)[O-],7.4,2,3.98;5.93,,pkasolver
HBQ,CC[C@H]1C(=O)Nc2ccc(cc2N1C(=O)OC(C)C)F,CC[C@H]1C(=O)Nc2ccc(F)cc2[NH+]1C(=O)OC(C)C,7.4,3,3.50;3.60;8.92,,pkasolver
UC1,Cc1c(cco1)C(=S)Nc2ccc(c(c2)OCC=C(C)C)Cl,CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl,7.4,2,4.50;10.00,,pkasolver
XV6,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O,O=C(Nc1nccs1)c1cccc(CN2C(=O)[NH+](Cc3cccc(C(=O)Nc4nccs4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,7.4,9,4.37;4.47;4.83;4.92;6.20;7.87;7.92;8.12;8.19,,pkasolver
017,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,CC(C)C[NH+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,7.4,5,3.72;4.08;4.52;8.47;8.86,,pkasolver
1RY,C1[C@H](O[C@H](S1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=C(C(=NC2=O)N)F,Nc1nc(=O)n([C@@H]2CS[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)cc1F,7.4,6,2.71;3.05;3.63;3.90;4.09;4.82,aryl_amine:1,pkasolver+weak_acid_guard
65B,Cc1cc(cc(c1Oc2c(c(nc(n2)Nc3ccc(cc3)C#N)N)Br)C)C#N,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,7.4,5,3.08;3.88;5.00;8.04;9.03,,pkasolver
DCP,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,7.4,7,2.86;3.16;3.61;3.78;3.98;5.10;5.17,alcohol:1;aryl_amine:1,pkasolver+weak_acid_guard
DMP,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc(cc3)CO)Cc4ccc(cc4)CO)Cc5ccccc5)O)O,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)[NH+]1Cc1ccc(CO)cc1,7.4,4,6.21;8.31;8.61;8.85,,pkasolver
GWE,Cc1cc(ccc1NC(=O)COc2ccc(cc2C(=O)c3cc(cc(c3)F)C(F)(F)F)Cl)S(N)(O)O,Cc1cc(S(N)(O)O)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(F)cc(C(F)(F)F)c1,7.4,2,4.40;7.76,,pkasolver
TNK,CC(C)C1=C(N(C(=O)NC1=O)COCc2ccccc2)Cc3ccccc3,CC(C)c1c(Cc2ccccc2)n(COCc2ccccc2)c(=O)[nH]c1=O,7.4,2,5.60;9.33,,pkasolver
U05,CCN1c2cc(ccc2N(C(=O)c3c1nccc3)C)[N+](=O)[O-],CCN1c2cc([N+](=O)[O-])ccc2N(C)C(=O)c2cccnc21,7.4,3,2.58;3.70;4.73,,pkasolver
0E8,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](CNC[C@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)O,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,7.4,4,6.17;8.43;9.40;9.49,,pkasolver
146,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O,O=C(Nc1nc2ccccc2[nH]1)c1cccc(CN2C(=O)[NH+](Cc3cccc(C(=O)Nc4nc5ccccc5[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,7.4,11,4.46;4.54;5.06;5.19;6.28;7.76;7.88;8.09;8.21;8.59;8.85,,pkasolver
5MA,c1cc2c([nH]nc2nc1)Cn3c4ccc(c(c4nn3)Oc5cc(cc(c5Cl)CN)Cl)Cl,NCc1cc(Cl)cc(Oc2c(Cl)ccc3c2nnn3Cc2[nH]nc3ncccc23)c1Cl,7.4,6,3.27;3.86;4.19;4.20;5.87;7.57,,pkasolver
AB1,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)[NH+]1CCCNC1=O,7.4,7,6.18;6.29;6.95;8.20;8.61;8.77;9.35,,pkasolver
ARG,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],7.4,2,6.15;10.98,,pkasolver
CD,[Cd+2],[Cd+2],7.4,0,,,pkasolver:no_ionizable
D4T,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O,Cc1cn([C@H]2C=C[C@@H](CO[P@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[n-]c1=O,7.4,3,3.57;4.36;5.77,,pkasolver
FTC,CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)Cl,CCOc1ccnc(CCNC(=S)Nc2ccc(Cl)cn2)c1F,7.4,5,2.93;3.23;4.04;4.56;9.81,,pkasolver
N8G,C1[C@@H](O[C@@H](S1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=C(C(=NC2=O)N)F,Nc1nc(=O)n([C@H]2CS[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)cc1F,7.4,6,2.71;3.05;3.63;3.90;4.09;4.82,aryl_amine:1,pkasolver+weak_acid_guard
R8E,c1cc(c(cc1OCc2c3ccc(nc3[nH]n2)N)Oc4cc(cc(c4)Cl)C#N)Cl,N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)ccc2Cl)c1,7.4,5,4.25;4.48;5.02;8.34;9.71,,pkasolver
T27,Cc1cc(cc(c1Nc2ccnc(n2)Nc3ccc(cc3)C#N)C)/C=C/C#N,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,7.4,5,3.66;4.30;5.55;8.88;9.90,,pkasolver
TAM,C(CO)C(CCO)(CCO)N,[NH3+]C(CCO)(CCO)CCO,7.4,2,9.03;9.37,,pkasolver
TNF,c1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,7.4,1,5.16,,pkasolver
TPV,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)NS(=O)(=O)c3ccc(cn3)C(F)(F)F)O)CCc4ccccc4,CCC[C@@]1(CCc2ccccc2)CC([O-])=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,7.4,4,4.54;5.42;6.51;7.90,,pkasolver
WHU,c1cc(c(c(c1CNC(=O)c2c(nc([nH]2)N)Cl)F)Oc3cc(cc(c3)Cl)C#N)Br,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(CNC(=O)c3[nH]c(N)nc3Cl)c2F)c1,7.4,5,4.34;4.45;7.03;7.71;9.18,aryl_amine:1,pkasolver+weak_acid_guard
X7B,[B-]1(c2ccc(cc2C(=O)O1)S(=O)(=O)N(C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@H]4CO[C@@H]5[C@H]4CCO5)O)CC(C)C)(O)O,CC(C)C[NH+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)C(=O)O[B-]2(O)O,7.4,3,4.22;4.87;8.47,,pkasolver
ZZE,CCc1c(c(n(n1)CCO)CC)Oc2cc(cc(c2)C#N)C#N,CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,7.4,2,4.12;7.04,alcohol:1,pkasolver+weak_acid_guard
1RZ,C1[C@H](O[C@H](S1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N,Nc1ccn([C@@H]2CS[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,7.4,6,2.82;3.23;3.71;3.93;4.14;5.28,aryl_amine:1,pkasolver+weak_acid_guard
1UN,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)C[NH+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)[NH2+]C(C)(C)C,7.4,7,5.98;7.81;8.44;9.21;9.25;9.69;10.00,phenol:1,pkasolver+weak_acid_guard
1WT,CCN1c2c(cccn2)N(C(=O)c3c1ncc(c3)CCOC4=CC=[N](c5c4cccc5)O)C,CCN1c2c(cccn2)N(C(=O)c3c1ncc(c3)CCOC4=CC=[N](c5c4cccc5)O)C,7.4,0,,,fallback:unparseable
1ZK,CC[C@H](C)[C@@H](C(=O)NCc1ccccn1)NC(=O)[C@H](C(C)C)[C@H]([C@@H]([C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]c[nH+]3)NC(=O)COc4cccc5c4cccc5)O)O,CC[C@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[n-]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1,7.4,11,5.96;6.00;6.03;6.09;7.11;7.45;7.52;7.78;7.99;8.63;9.66,,pkasolver
216,C=CCN1[C@@H]([C@@H]([C@H]([C@H](N(C1=O)CC=C)Cc2ccccc2)O)O)Cc3ccccc3,C=CCN1C(=O)N(CC=C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,7.4,3,6.13;6.15;9.58,,pkasolver
