family,ligand_id,x,y,z,cluster,kept
Donor,1HW8_114_A2,13.45,4.885,14.494,0,1
Donor,1HW8_114_A2,14.661,6.71,10.984,1,1
Donor,1HW9_SIM_C2,13.577,4.781,14.633,0,1
Donor,1HW9_SIM_C2,14.987,6.682,11.028,1,1
Donor,1HWI_115_A2,13.551,4.741,14.43,0,1
Donor,1HWI_115_A2,14.58,6.494,10.889,1,1
Donor,1HWJ_116_A2,13.381,4.763,14.44,0,1
Donor,1HWJ_116_A2,14.53,6.404,10.755,1,1
Donor,1HWK_117_A2,13.505,4.696,14.403,0,1
Donor,1HWK_117_A2,21.482,11.196,14.309,2,1
Donor,1HWK_117_A2,14.835,6.571,11.09,1,1
Donor,1HWL_FBI_A2,13.585,4.827,14.551,0,1
Donor,1HWL_FBI_A2,14.626,6.423,10.804,1,1
Donor,2Q1L_882_A877,13.564,4.541,14.398,0,1
Donor,2Q1L_882_A877,14.753,6.466,10.967,1,1
Donor,2Q1L_882_A877,21.413,11.052,14.406,2,1
Donor,2Q6B_HR2_A3001,14.726,6.557,11.029,1,1
Donor,2Q6B_HR2_A3001,13.584,4.755,14.506,0,1
Donor,2Q6C_HR1_A3002,14.895,6.582,11.037,1,1
Donor,2Q6C_HR1_A3002,13.457,4.697,14.377,0,1
Donor,2R4F_RIE_B876,21.861,10.962,15.135,2,1
Donor,2R4F_RIE_B876,15.043,6.749,11.046,1,1
Donor,2R4F_RIE_B876,13.603,4.815,14.472,0,1
Donor,3BGL_RID_A2,14.714,6.551,11.013,1,1
Donor,3BGL_RID_A2,13.433,4.653,14.311,0,1
Donor,3CCT_3HI_D3,13.499,4.627,14.44,0,1
Donor,3CCT_3HI_D3,14.865,6.658,11.218,1,1
Donor,3CCT_3HI_D3,21.394,11.156,14.344,2,1
Donor,3CCT_3HI_D3,21.786,13.629,13.127,2,1
Donor,3CCW_4HI_C4,21.812,10.486,14.958,2,1
Donor,3CCW_4HI_C4,14.99,6.648,11.108,1,1
Donor,3CCW_4HI_C4,13.501,4.715,14.397,0,1
Donor,3CCZ_5HI_B876,21.695,10.767,15.071,2,1
Donor,3CCZ_5HI_B876,22.53,13.057,16.453,2,1
Donor,3CCZ_5HI_B876,15.334,6.876,11.189,1,1
Donor,3CCZ_5HI_B876,13.64,4.885,14.476,0,1
Donor,3CD0_6HI_D3,21.623,10.859,14.699,2,1
Donor,3CD0_6HI_D3,14.878,6.659,11.133,1,1
Donor,3CD0_6HI_D3,13.543,4.613,14.523,0,1
Donor,3CD5_7HI_B1,21.461,10.987,14.248,2,1
Donor,3CD5_7HI_B1,14.965,6.448,11.037,1,1
Donor,3CD5_7HI_B1,13.582,4.501,14.383,0,1
Donor,3CDA_8HI_B1,21.504,11.069,14.295,2,1
Donor,3CDA_8HI_B1,13.661,4.647,14.38,0,1
Donor,3CDA_8HI_B1,14.875,6.457,10.997,1,1
Donor,3CDA_8HI_B1,27.048,14.435,14.183,4,0
Donor,3CDB_9HI_D3,17.009,16.865,13.788,3,0
Donor,3CDB_9HI_D3,20.716,11.856,15.379,2,1
Donor,3CDB_9HI_D3,14.837,6.452,11.088,1,1
Donor,3CDB_9HI_D3,13.371,4.468,14.32,0,1
Acceptor,1HW8_114_A2,13.45,4.885,14.494,0,0
Acceptor,1HW8_114_A2,14.661,6.71,10.984,1,0
Acceptor,1HW8_114_A2,17.469,9.907,15.753,2,0
Acceptor,1HW8_114_A2,15.171,10.181,16.059,3,1
Acceptor,1HW9_SIM_C2,13.577,4.781,14.633,0,0
Acceptor,1HW9_SIM_C2,14.987,6.682,11.028,1,0
Acceptor,1HW9_SIM_C2,17.541,10.236,15.474,2,0
Acceptor,1HW9_SIM_C2,15.318,10.268,16.088,3,1
Acceptor,1HWI_115_A2,14.121,7.148,19.719,3,1
Acceptor,1HWI_115_A2,13.551,4.741,14.43,0,0
Acceptor,1HWI_115_A2,14.58,6.494,10.889,1,0
Acceptor,1HWJ_116_A2,18.544,10.556,17.959,2,0
Acceptor,1HWJ_116_A2,19.379,9.592,13.614,2,0
Acceptor,1HWJ_116_A2,13.65,6.894,19.073,3,1
Acceptor,1HWJ_116_A2,13.381,4.763,14.44,0,0
Acceptor,1HWJ_116_A2,14.53,6.404,10.755,1,0
Acceptor,1HWK_117_A2,13.638,7.392,19.233,3,1
Acceptor,1HWK_117_A2,13.505,4.696,14.403,0,0
Acceptor,1HWK_117_A2,21.839,8.908,14.107,2,0
Acceptor,1HWK_117_A2,14.835,6.571,11.09,1,0
Acceptor,1HWL_FBI_A2,22.427,9.295,14.171,2,0
Acceptor,1HWL_FBI_A2,23.326,11.196,15.676,2,0
Acceptor,1HWL_FBI_A2,19.352,9.847,13.821,2,0
Acceptor,1HWL_FBI_A2,18.564,9.497,15.977,2,0
Acceptor,1HWL_FBI_A2,14.05,6.679,19.374,3,1
Acceptor,1HWL_FBI_A2,13.585,4.827,14.551,0,0
Acceptor,1HWL_FBI_A2,14.626,6.423,10.804,1,0
Acceptor,2Q1L_882_A877,13.564,4.541,14.398,0,0
Acceptor,2Q1L_882_A877,14.753,6.466,10.967,1,0
Acceptor,2Q1L_882_A877,13.789,7.438,19.041,3,1
Acceptor,2Q1L_882_A877,20.57,10.866,20.692,2,0
Acceptor,2Q1L_882_A877,21.753,9.0,13.558,2,0
Acceptor,2Q6B_HR2_A3001,13.934,8.662,19.365,3,1
Acceptor,2Q6B_HR2_A3001,14.726,6.557,11.029,1,0
Acceptor,2Q6B_HR2_A3001,13.584,4.755,14.506,0,0
Acceptor,2Q6B_HR2_A3001,21.471,9.291,13.11,2,0
Acceptor,2Q6C_HR1_A3002,21.245,10.805,13.116,2,0
Acceptor,2Q6C_HR1_A3002,13.789,7.306,18.918,3,1
Acceptor,2Q6C_HR1_A3002,14.895,6.582,11.037,1,0
