het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
ADP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,[NH-]c1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]1O,7.4,6,2.52;3.04;3.51;3.75;4.90;5.56,pkasolver
117,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H]([O-])C[C@@H](O)CC(=O)[O-],7.4,5,4.23;4.75;7.13;7.78;8.62,pkasolver
882,CC(C)n1c(c(c(c1C(=O)Nc2ccccc2)c3ccc(cc3)F)c4ccc(cc4)F)CC[C@H](C[C@H](CC(=O)O)O)O,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,7.4,5,4.72;5.28;7.89;8.51;9.26,pkasolver
COA,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(C)(CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H]([O-])[C@@H]1OP(=O)([O-])[O-])[C@@H]([O-])C(=O)[N-]CCC(=O)NCC[S-],7.4,10,4.40;4.54;4.63;5.16;5.42;5.69;6.29;6.35;6.71;6.96,pkasolver
MAH,CC(CC(=O)O)(CC(=O)O)O,CC(O)(CC(=O)[O-])CC(=O)[O-],7.4,3,3.92;4.64;10.11,pkasolver
114,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,7.4,3,4.70;8.29;9.13,pkasolver
115,CC(C)n1c2ccccc2c(c1/C=C/[C@H](C[C@H](CC(=O)O)O)O)c3ccc(cc3)F,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,7.4,3,4.42;7.99;8.70,pkasolver
116,CC(C)c1c(c(c(c(n1)C(C)C)COC)c2ccc(cc2)F)CC[C@H](C[C@H](CC(=O)O)O)O,COCc1c(C(C)C)nc(C(C)C)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1,7.4,4,4.73;6.53;7.64;8.39,pkasolver
3HI,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4O,CC(C)c1c(C(=O)Nc2ccccc2[O-])c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],7.4,6,4.40;5.12;7.25;7.53;8.15;8.72,pkasolver
4HI,CC(C)c1c(nc(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)C(=O)NCc3ccccc3,CC(C)c1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],7.4,6,3.87;4.23;5.68;8.13;8.86;9.78,pkasolver
