het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
ADP,ADENOSINE-5'-DIPHOSPHATE,cofactor,False,6,24,1HW8,427.201,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
117,"7-[2-(4-FLUORO-PHENYL)-5-ISOPROPYL-3-PHENYL-4-PHENYLCARBAMOYL-PYRROL-1-YL]- 3,5-DIHYDROXY-HEPTANOIC ACID",ligand,False,2,5,1HWK,558.64,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4
882,"(3R,5R)-7-[5-(ANILINOCARBONYL)-3,4-BIS(4-FLUOROPHENYL)-1-ISOPROPYL-1H-PYRROL-2-YL]-3,5-DIHYDROXYHEPTANOIC ACID",ligand,False,2,8,2Q1L,576.63,CC(C)n1c(c(c(c1C(=O)Nc2ccccc2)c3ccc(cc3)F)c4ccc(cc4)F)CC[C@H](C[C@H](CC(=O)O)O)O
COA,COENZYME A,cofactor,False,2,8,1DQA,767.534,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
MAH,3-HYDROXY-3-METHYL-GLUTARIC ACID,ligand,False,2,8,1DQA,162.141,CC(CC(=O)O)(CC(=O)O)O
114,"(3R,5R)-3,5-dihydroxy-7-[(1S,2S,8S,8aR)-2-methyl-8-{[(2S)-2-methylbutanoyl]oxy}-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]h
eptanoic acid",ligand,False,1,4,1HW8,408.528,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O
115,"(3R,5S,6E)-7-[3-(4-fluorophenyl)-1-(propan-2-yl)-1H-indol-2-yl]-3,5-dihydroxyhept-6-enoic acid",ligand,False,1,4,1HWI,411.466,CC(C)n1c2ccccc2c(c1/C=C/[C@H](C[C@H](CC(=O)O)O)O)c3ccc(cc3)F
116,"7-[4-(4-FLUORO-PHENYL)-5-HYDROXYMETHYL-2,6-DIISOPROPYL-PYRIDIN-3-YL]-3,5-DIHYDROXY-HEPTANOIC ACID",ligand,False,1,4,1HWJ,461.566,CC(C)c1c(c(c(c(n1)C(C)C)COC)c2ccc(cc2)F)CC[C@H](C[C@H](CC(=O)O)O)O
3HI,"(3R,5R)-7-[2-(4-fluorophenyl)-4-[(2-hydroxyphenyl)carbamoyl]-5-(1-methylethyl)-3-phenyl-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CCT,574.639,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4O
4HI,"(3R,5R)-7-[4-(benzylcarbamoyl)-2-(4-fluorophenyl)-5-(1-methylethyl)-1H-imidazol-1-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CCW,497.558,CC(C)c1c(nc(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)C(=O)NCc3ccccc3
5HI,"(3R,5R)-7-[2-(4-fluorophenyl)-4-{[(1S)-2-hydroxy-1-phenylethyl]carbamoyl}-5-(1-methylethyl)-1H-imidazol-1-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CCZ,527.584,CC(C)c1c(nc(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)C(=O)N[C@H](CO)c3ccccc3
6HI,"(3R,5R)-7-{2-[(4-fluorobenzyl)carbamoyl]-4-(4-fluorophenyl)-1-(1-methylethyl)-1H-imidazol-5-yl}-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CD0,515.549,CC(C)n1c(c(nc1C(=O)NCc2ccc(cc2)F)c3ccc(cc3)F)CC[C@H](C[C@H](CC(=O)O)O)O
7HI,"(3R,5R)-7-[3-(biphenyl-4-ylcarbamoyl)-2-ethyl-5,6,7,8-tetrahydrocyclohepta[b]pyrrol-1(4H)-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CD5,518.644,CCc1c(c2c(n1CC[C@H](C[C@H](CC(=O)O)O)O)CCCCC2)C(=O)Nc3ccc(cc3)c4ccccc4
8HI,"(3R,5R)-7-{3-(4-fluorophenyl)-1-(1-methylethyl)-4-phenyl-5-[(4-sulfamoylphenyl)carbamoyl]-1H-pyrrol-2-yl}-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CDA,637.718,CC(C)n1c(c(c(c1C(=O)Nc2ccc(cc2)S(=O)(=O)N)c3ccccc3)c4ccc(cc4)F)CC[C@H](C[C@H](CC(=O)O)O)O
9HI,"(3R,5R)-7-{3-[(4-carbamoylphenyl)sulfamoyl]-4,5-bis(4-fluorophenyl)-2-(1-methylethyl)-1H-pyrrol-1-yl}-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3CDB,655.709,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccc(cc3)F)S(=O)(=O)Nc4ccc(cc4)C(=O)N
FBI,"7-[4-(4-FLUORO-PHENYL)-6-ISOPROPYL-2-(METHANESULFONYL-METHYL-AMINO)-PYRIMIDIN-5-YL] -3,5-DIHYDROXY-HEPTANOIC ACID",ligand,False,1,4,1HWL,483.554,CC(C)c1c(c(nc(n1)N(C)S(=O)(=O)C)c2ccc(cc2)F)CC[C@H](C[C@H](CC(=O)O)O)O
HMG,3-HYDROXY-3-METHYLGLUTARYL-COENZYME A,ligand,False,1,4,1DQ9,906.62,C[C@](CC(=O)[O-])(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)([O-])[O-])O)O
HR1,"(3R,5R)-7-[1-(4-FLUOROPHENYL)-3-ISOPROPYL-4-OXO-5-PHENYL-4,5-DIHYDRO-3H-PYRROLO[2,3-C]QUINOLIN-2-YL]-3,5-DIHYDROXYHEPTANOIC ACID",ligand,False,1,4,2Q6C,556.624,CC(C)n1c(c(c-2c1C(=O)N(c3c2cccc3)c4ccccc4)c5ccc(cc5)F)CC[C@H](C[C@H](CC(=O)O)O)O
HR2,"(3R,5R)-7-[3-(4-FLUOROPHENYL)-1-ISOPROPYL-8-OXO-7-PHENYL-1,4,5,6,7,8-HEXAHYDROPYRROLO[2,3-C]AZEPIN-2-YL]-3,5-DIHYDROXYHEPTANOIC ACID",ligand,False,1,4,2Q6B,522.608,CC(C)n1c(c(c2c1C(=O)N(CCC2)c3ccccc3)c4ccc(cc4)F)CC[C@H](C[C@H](CC(=O)O)O)O
NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,cofactor,False,1,4,1DQA,743.405,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)OP(=O)(O)O)O)O)O)C(=O)N
RID,"(3R,5R)-7-[2-(4-fluorophenyl)-5-(1-methylethyl)-4-(morpholin-4-ylsulfonyl)-3-phenyl-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,3BGL,588.687,CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)S(=O)(=O)N4CCOCC4
RIE,"(3R,5R)-7-[1-(4-fluorophenyl)-4-(1-methylethyl)-3-{methyl[(1R)-1-phenylethyl]carbamoyl}-1H-pyrazol-5-yl]-3,5-dihydroxyheptanoic acid",ligand,False,1,4,2R4F,525.612,CC(C)c1c(n(nc1C(=O)N(C)[C@H](C)c2ccccc2)c3ccc(cc3)F)CC[C@H](C[C@H](CC(=O)O)O)O
SIM,Simvastatin acid,ligand,False,1,4,1HW9,436.582,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)C
