target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
adrb2,35V,"4-[(1R)-1-hydroxy-2-({2-[3-methoxy-4-(2-sulfanylethoxy)phenyl]ethyl}amino)ethyl]benzene-1,2-diol",no,4QKX,25006259,10.1073/pnas.1410415111,Covalent agonists for studying G protein-coupled receptor activation.
adrb2,A1AE2,"(2S)-1-[(3-{1-[4-(4-{(2S)-2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butyl]-1H-1,2,3-triazol-4-yl}propyl)amino]-3-(2-propylphenoxy)propan-2-ol",no,8W1V,38952152,10.1021/acs.jmedchem.4c00578,Bitopic Ligands Support the Presence of a Metastable Binding Site at the beta 2 Adrenergic Receptor.
adrb2,A1ASM,"4-[(1R)-1-hydroxy-2-{[6-(4-phenylbutoxy)hexyl]amino}ethyl]benzene-1,2-diol",no,9BUY,40106559,10.1126/sciadv.adq3971,Structure and dynamics determine G protein coupling specificity at a class A GPCR.
adrb2,A1D9A,(2~{S})-5-[bis(azanyl)methylideneamino]-2-[[5-[bis(4-chlorophenyl)methyl]-3-methyl-thiophen-2-yl]carbonylamino]pentanoic acid,yes,8ZWG,39788969,10.1038/s41421-024-00765-x,Structural insights into the agonist activity of the nonpeptide modulator JR14a on C3aR.
adrb2,A1IZU,"6-(4-imidazo[1,2-a]pyridin-8-yl-2-methyl-phenyl)-1,5-dimethyl-pyrimidine-2,4-dione",no,9I52,40552668,10.1021/acs.jmedchem.5c00294,Orally Bioavailable Dopamine D1/D5 Receptor-Biased Agonists to Study the Role of beta-Arrestin in Treatment-Related Dyskinesia in Parkinson's Disease.
adrb2,A1IZV,"6-(3-fluoranyl-5-furo[3,2-c]pyridin-4-yloxy-pyridin-2-yl)-1,5-dimethyl-pyrimidine-2,4-dione",no,9I54,40552668,10.1021/acs.jmedchem.5c00294,Orally Bioavailable Dopamine D1/D5 Receptor-Biased Agonists to Study the Role of beta-Arrestin in Treatment-Related Dyskinesia in Parkinson's Disease.
adrb2,A1JHU,~{N}-[4-[(~{E})-[2-[(2~{S})-2-oxidanyl-3-(propan-2-ylamino)propoxy]phenyl]diazenyl]phenyl]ethanamide,yes,9RKF,41848496,10.1002/anie.202517995,Structural Mechanism of an Efficacy Photoswitch Targeting the beta 2 -adrenergic Receptor.
adrb2,B40,(2S)-N-methyl-1-phenylpropan-2-amine,yes,9U9V,,,beta2-adrenergic receptor in complex with methamphetamine
adrb2,BER,BERBERINE,yes,9W3F,42129146,10.1038/s41421-026-00892-7,A negative survival pressure selection system enables GPCR antagonist screening.
adrb2,GJ6,"(5R,6R)-6-(propan-2-ylamino)-5,6,7,8-tetrahydronaphthalene-1,2,5-triol",yes,7XK9,37059717,10.1038/s41467-023-37808-y,Constrained catecholamines gain beta 2 AR selectivity through allosteric effects on pocket dynamics.
adrb2,WV8,"(2R,4S)-4-[(2S)-2-phenylbutyl]-1,3-oxazolidin-2-amine",yes,8UHB,38168118,10.1038/s41467-023-44601-4,Molecular basis of human trace amine-associated receptor 1 activation.
adrb2,XQC,"4-[(1R)-1-hydroxy-2-{[1-(4-hydroxyphenyl)-2-methylpropan-2-yl]amino}ethyl]benzene-1,2-diol",yes,4LDL,24056936,10.1038/nature12572,Adrenaline-activated structure of beta 2-adrenoceptor stabilized by an engineered nanobody.
cavab,G3P,SN-GLYCEROL-3-PHOSPHATE,yes,6JUH,30981510,10.1016/j.bbrc.2019.03.176,Structural basis for efonidipine block of a voltage-gated Ca2+channel.
cdk2,SGM,MONOTHIOGLYCEROL,no,7QHL,35749742,10.1021/acs.jmedchem.1c02184,"3,5,7-Substituted Pyrazolo[4,3- d ]Pyrimidine Inhibitors of Cyclin-Dependent Kinases and Cyclin K Degraders."
esr1,1HP,"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol",no,2QSE,18344977,10.1038/nchembio.76,NFkappaB selectivity of estrogen receptor ligands revealed by comparative crystallographic analyses
esr1,27L,"4-(2,4,4-trimethylpentan-2-yl)phenol",yes,4MGA,25260197,10.1289/ehp.1408453,Structural and functional profiling of environmental ligands for estrogen receptors.
esr1,36M,propyl 4-hydroxybenzoate,yes,4TV1,25500867,10.1038/aps.2014.133,A structural perspective on nuclear receptors as targets of environmental compounds.
esr1,3YJ,"11-[3,17beta-dihydroxyestra-1,3,5(10)-trien-7beta-yl]-N-methyl-N-propylundecanamide",no,7R62,,,"Estrogen Receptor Alpha Ligand Binding Domain in Complex with a Desmethyl ICI164,384 Derivative"
esr1,458,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",yes,2B1V,16648639,10.1074/jbc.M513684200,Identification of ligands with bicyclic scaffolds provides insights into mechanisms of estrogen receptor subtype selectivity.
esr1,4Q7,"2-methoxyphenyl (1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate",no,4ZNV,27107013,10.15252/msb.20156701,Predictive features of ligand-specific signaling through the estrogen receptor.
esr1,5VP,"4-{[(2-chloro-5-phenylthieno[2,3-d]pyrimidin-4-yl)amino]methyl}phenol",yes,7RKE,35859859,10.1021/acsmedchemlett.2c00180,"A New Chemotype of Chemically Tractable Nonsteroidal Estrogens Based on a Thieno[2,3- d ]pyrimidine Core."
esr1,73I,"(1S,2R,4S,5S,6S)-N,5,6-tris(4-hydroxyphenyl)-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]heptane-2-sulfonamide",no,7RS7,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,77I,"(1S,2R,4S,5R,6S)-5-(4-hydroxyphenyl)-N-(4-methoxyphenyl)-6-{4-[3-(piperidin-1-yl)propoxy]phenyl}-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]heptane-2-sulfonamide",no,7RRZ,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7AI,"(1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-N-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,7RRX,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7EI,"(1R,2S,4R)-5-(4-hydroxyphenyl)-N-(4-methoxyphenyl)-6-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,7RS8,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7FZ,"(1S)-5-(4-hydroxy-3,5-dimethylphenyl)-2,3-dihydro-1H-inden-1-ol",no,5TN4,28042045,10.1016/j.chembiol.2016.11.014,Systems Structural Biology Analysis of Ligand Effects on ER alpha Predicts Cellular Response to Environmental Estrogens and Anti-hormone Therapies.
esr1,7G0,"(1S,3aS,5S,7aS)-5-(4-hydroxyphenyl)-7a-methyloctahydro-1H-inden-1-ol",yes,5TN5,28042045,10.1016/j.chembiol.2016.11.014,Systems Structural Biology Analysis of Ligand Effects on ER alpha Predicts Cellular Response to Environmental Estrogens and Anti-hormone Therapies.
esr1,7I5,"(2E)-3-(4-{[(1S,2R,4S,5S,6S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]heptane-2-sulfonyl](2,2,2-trifluoroethyl)amino}phenyl)prop-2-enoic acid",no,7RS2,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7I9,"(1R,2S,4R,5R,6R)-5-(4-hydroxyphenyl)-N-(4-methoxyphenyl)-6-(4-propoxyphenyl)-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]heptane-2-sulfonamide",no,7RS0,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7OI,"(1S,2R,4S)-N-[4-(benzyloxy)phenyl]-5,6-bis(4-hydroxyphenyl)-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,7RS9,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7OR,"(1S,2R,4S)-6-[4-(benzyloxy)phenyl]-5-(4-hydroxyphenyl)-N-(4-methoxyphenyl)-N-(2,2,2-trifluoroethyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonamide",no,7RS3,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,7Q5,"methyl 3-(4-{[(1S,2R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonyl](2,2,2-trifluoroethyl)amino}phenyl)prop-2-enoate",no,7RS1,34452998,10.1073/pnas.2101657118,Dual-mechanism estrogen receptor inhibitors.
esr1,86V,(2S)-3-(4-hydroxyphenyl)-4-methyl-2-(4-{2-[(3S)-3-methylpyrrolidin-1-yl]ethoxy}phenyl)-2H-1-benzopyran-7-ol,no,5UFW,29915250,10.1038/s41467-018-04413-3,Specific stereochemistry of OP-1074 disrupts estrogen receptor alpha helix 12 and confers pure antiestrogenic activity.
esr1,86Y,(2S)-3-(4-hydroxyphenyl)-4-methyl-2-(4-{2-[(3R)-3-methylpyrrolidin-1-yl]ethoxy}phenyl)-2H-1-benzopyran-7-ol,yes,5UFX,29915250,10.1038/s41467-018-04413-3,Specific stereochemistry of OP-1074 disrupts estrogen receptor alpha helix 12 and confers pure antiestrogenic activity.
