target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
adora2a,6DV,"N~5~-{2-[4-(2,4-difluorophenyl)piperazin-1-yl]ethyl}-2-(furan-2-yl)[1,2,4]triazolo[1,5-a][1,3,5]triazine-5,7-diamine",yes,5IUB,27312113,10.1021/acs.jmedchem.6b00653,Controlling the Dissociation of Ligands from the Adenosine A2A Receptor through Modulation of Salt Bridge Strength.
adora2a,6DX,"2-(furan-2-yl)-N~5~-[3-(4-phenylpiperazin-1-yl)propyl][1,2,4]triazolo[1,5-a][1,3,5]triazine-5,7-diamine",yes,5IUA,27312113,10.1021/acs.jmedchem.6b00653,Controlling the Dissociation of Ligands from the Adenosine A2A Receptor through Modulation of Salt Bridge Strength.
adora2a,6DY,"2-(furan-2-yl)-N~5~-[2-(4-phenylpiperidin-1-yl)ethyl][1,2,4]triazolo[1,5-a][1,3,5]triazine-5,7-diamine",yes,5IU7,27312113,10.1021/acs.jmedchem.6b00653,Controlling the Dissociation of Ligands from the Adenosine A2A Receptor through Modulation of Salt Bridge Strength.
adora2a,6DZ,"2-(furan-2-yl)-N~5~-[2-(4-methylpiperazin-1-yl)ethyl][1,2,4]triazolo[1,5-a][1,3,5]triazine-5,7-diamine",yes,5IU8,27312113,10.1021/acs.jmedchem.6b00653,Controlling the Dissociation of Ligands from the Adenosine A2A Receptor through Modulation of Salt Bridge Strength.
adora2a,8D1,"5-amino-N-[(2-methoxyphenyl)methyl]-2-(3-methylphenyl)-2H-1,2,3-triazole-4-carboximidamide",no,5UIG,28167788,10.1073/pnas.1621423114,Crystal structure of the adenosine A2A receptor bound to an antagonist reveals a potential allosteric pocket.
adora2a,8E2,Preladenant conjugate PSB-2113,no,7PX4,35174942,10.1002/anie.202115545,Single Stabilizing Point Mutation Enables High-Resolution Co-Crystal Structures of the Adenosine A 2A Receptor with Preladenant Conjugates.
adora2a,8IM,"2-[2-[2-[2-[2-[2-[4-[4-[2-[7-azanyl-4-(furan-2-yl)-3,5,6,8,10,11-hexazatricyclo[7.3.0.0^{2,6}]dodeca-1(9),2,4,7,11-pentaen-10-yl]ethyl]piperazin-1-yl]phenoxy]ethanoylamino]ethoxy]ethoxy]ethoxy]ethoxy]-~{N}-[5-[2,2-bis(fluoranyl)-4,6,10,12-tetramethyl-1,3-diaza-2$l^{4}-boratricyclo[7.3.0.0^{3,7}]dodeca-4,6,9,11-tetraen-8-yl]pentyl]ethanamide",no,7PYR,35174942,10.1002/anie.202115545,Single Stabilizing Point Mutation Enables High-Resolution Co-Crystal Structures of the Adenosine A 2A Receptor with Preladenant Conjugates.
adora2a,8JN,"1-butyl-3-[(~{E})-3-oxidanylprop-1-enyl]-8-[(1~{R},5~{S})-3-tricyclo[3.3.1.0^{3,7}]nonanyl]-7~{H}-purine-2,6-dione",no,5N2R,28712806,10.1016/j.str.2017.06.012,Structures of Human A1 and A2A Adenosine Receptors with Xanthines Reveal Determinants of Selectivity.
adora2a,9Y2,"4-(3,3-dimethylbutanoylamino)-3,5-bis(fluoranyl)-~{N}-(1,3-thiazol-2-yl)benzamide",yes,5OLV,29311713,10.1038/s41598-017-18570-w,Towards high throughput GPCR crystallography: In Meso soaking of Adenosine A2A Receptor crystals.
adora2a,A1C5S,"(4%{S})-2-[(3%{R},6%{S})-1-(1-ethyl-1%{H}-pyrazol-4-yl)-6-methylpiperidin-3-yl]-7-methoxy[1,2,4]triazolo[1,5-%{c}]quinazolin-5-amine",no,10KT,42084562,10.1021/acs.jmedchem.5c03405,Discovery of MK-1088 as a Potent A 2A /A 2B Adenosine Receptor Dual-Antagonist for Cancer Immunotherapy.
adora2a,A1COM,"(3M)-3-(2-methyl-1,3-thiazol-4-yl)pyridine",yes,7IN9,42129437,10.1038/s42004-026-02059-7,An integrated experimental and computational pipeline for crystallographic fragment screening of membrane protein in the lipid cubic phase.
adora2a,A1COV,"5~{H}-pyrido[2,1-b]quinazolin-11-one",yes,7INI,42129437,10.1038/s42004-026-02059-7,An integrated experimental and computational pipeline for crystallographic fragment screening of membrane protein in the lipid cubic phase.
adora2a,A1COY,"5-methyl-1,2-oxazole-3-carbothioamide",no,7INL,42129437,10.1038/s42004-026-02059-7,An integrated experimental and computational pipeline for crystallographic fragment screening of membrane protein in the lipid cubic phase.
