family,ligand_id,x,y,z,cluster,kept
Donor,2WNC_TKT_C300,172.802,121.548,181.623,0,0
Donor,2WZY_SQX_A301,170.567,119.767,181.556,0,0
Donor,2WZY_SQX_A301,168.83,116.988,189.67,2,0
Donor,2X00_GYN_B301,169.276,119.236,182.116,0,0
Donor,2XYT_TC9_F1206,172.097,119.678,184.063,0,0
Donor,2XYT_TC9_F1206,162.125,122.637,181.413,1,0
Donor,3SIO_MLK_D260,169.881,120.877,182.067,0,0
Donor,3SIO_MLK_D260,169.891,123.131,183.589,0,0
Acceptor,2WNC_TKT_C300,171.767,120.925,186.164,1,1
Acceptor,2WNC_TKT_C300,170.41,122.496,185.118,1,1
Acceptor,2WZY_SQX_A301,161.335,124.692,179.752,0,1
Acceptor,2WZY_SQX_A301,163.486,123.853,180.096,0,1
Acceptor,2WZY_SQX_A301,170.567,119.767,181.556,1,1
Acceptor,2WZY_SQX_A301,170.729,117.865,185.135,1,1
Acceptor,2WZY_SQX_A301,169.565,117.925,187.154,1,1
Acceptor,2WZY_SQX_A301,168.83,116.988,189.67,1,1
Acceptor,2WZY_SQX_A301,171.403,119.04,188.049,1,1
Acceptor,2X00_GYN_B301,161.325,124.235,179.71,0,1
Acceptor,2X00_GYN_B301,163.568,123.791,180.197,0,1
Acceptor,2X00_GYN_B301,169.276,119.236,182.116,1,1
Acceptor,2X00_GYN_B301,171.079,120.81,186.657,1,1
Acceptor,2XYS_SY9_E1206,165.759,124.228,181.721,0,1
Acceptor,2XYS_SY9_E1206,167.412,119.856,180.54,1,1
Acceptor,2XYT_TC9_F1206,169.67,119.137,185.384,1,1
Acceptor,2XYT_TC9_F1206,164.086,121.834,183.333,0,1
Acceptor,2XYT_TC9_F1206,170.135,116.725,186.768,1,1
Acceptor,2XYT_TC9_F1206,172.097,119.678,184.063,1,1
Acceptor,2XYT_TC9_F1206,162.42,125.089,180.032,0,1
Acceptor,2XYT_TC9_F1206,162.125,122.637,181.413,0,1
Acceptor,3SIO_MLK_D260,163.798,123.589,178.86,0,1
Acceptor,3SIO_MLK_D260,160.95,126.824,180.25,0,1
Acceptor,3SIO_MLK_D260,163.882,125.4,181.757,0,1
Acceptor,3SIO_MLK_D260,164.14,123.881,183.369,0,1
Acceptor,3SIO_MLK_D260,167.014,121.698,187.581,1,1
Acceptor,3SIO_MLK_D260,171.618,118.274,184.987,1,1
Acceptor,3SIO_MLK_D260,169.824,118.061,182.582,1,1
Acceptor,3SIO_MLK_D260,169.881,120.877,182.067,1,1
Acceptor,3SIO_MLK_D260,169.891,123.131,183.589,1,1
Acceptor,3SIO_MLK_D260,167.426,121.818,181.845,1,1
Acceptor,8Q1M_ILR_A301,167.342,121.778,184.154,1,1
Acceptor,8Q1M_ILR_A301,165.109,122.339,183.949,0,1
Acceptor,8QTL_WSP_A301,167.828,121.269,185.25,1,1
Acceptor,8QTL_WSP_A301,169.58,122.292,184.169,1,1
Acceptor,9SG3_PHN_A302,167.919,123.423,186.664,1,1
Acceptor,9SG3_PHN_A302,169.465,121.743,188.174,1,1
PosIonizable,2WNC_TKT_C300,167.071,123.322,185.996,1,0
PosIonizable,2XYS_SY9_E1206,167.078,123.456,186.376,1,0
PosIonizable,2XYT_TC9_F1206,167.827,115.289,180.916,0,0
PosIonizable,2XYT_TC9_F1206,167.066,124.439,184.455,1,0
PosIonizable,3SIO_MLK_D260,168.221,123.318,186.013,1,0
Aromatic,2WNC_TKT_C300,172.786,121.258,182.765,1,0
Aromatic,2WNC_TKT_C300,174.535,120.046,183.146,1,0
Aromatic,2XYS_SY9_E1206,168.399,118.895,184.399,1,0
Aromatic,2XYT_TC9_F1206,168.846,116.656,184.245,1,0
Aromatic,2XYT_TC9_F1206,169.823,121.135,183.408,1,0
Aromatic,2XYT_TC9_F1206,164.378,124.229,181.851,0,0
Aromatic,2XYT_TC9_F1206,165.043,119.361,182.46,0,0
Aromatic,3SIO_MLK_D260,161.021,123.133,181.507,0,0
Aromatic,9SG3_PHN_A302,167.819,123.253,185.3,1,0
Aromatic,9SG3_PHN_A302,169.295,121.359,185.438,1,0
Aromatic,9SG3_PHN_A302,170.162,120.705,187.58,1,0
