family,ligand_id,x,y,z,cluster,kept
Donor,1UV6_CCE_J1206,171.136,124.075,188.76,1,0
Donor,3WTJ_TH4_B301,167.76,122.852,185.2,0,0
Donor,3ZDG_XRX_I301,171.008,122.218,189.129,1,0
Acceptor,1UV6_CCE_J1206,170.298,122.014,187.78,2,0
Acceptor,1UV6_CCE_J1206,171.93,122.046,189.353,3,0
Acceptor,2WNL_AN4_G300,171.499,124.195,188.52,1,1
Acceptor,3U8J_09O_A211,171.915,123.932,188.493,1,1
Acceptor,3U8K_09P_F211,171.73,124.312,188.649,1,1
Acceptor,3U8K_09P_F211,171.783,120.779,189.577,3,0
Acceptor,3U8L_09Q_J211,171.762,123.838,188.466,1,1
Acceptor,3U8M_09R_L211,171.52,124.338,188.465,1,1
Acceptor,3U8N_09S_Q211,171.492,124.207,188.321,1,1
Acceptor,3U8N_09S_Q211,171.512,120.798,189.641,3,0
Acceptor,3WTJ_TH4_B301,171.491,124.264,187.81,1,1
Acceptor,3ZDG_XRX_I301,170.041,123.163,187.268,2,0
Acceptor,3ZDG_XRX_I301,171.538,124.383,188.49,1,1
Acceptor,3ZDH_XRS_A301,171.734,123.831,188.82,1,1
Acceptor,3ZDH_XRS_A301,169.938,123.024,187.428,2,0
Acceptor,4FRR_0VC_F301,173.83,116.22,187.261,0,0
Acceptor,4FRR_0VC_F301,171.78,123.641,189.001,1,1
Acceptor,4FRR_0VC_F301,169.091,122.577,186.967,2,0
Acceptor,4ZJS_4P0_D301,171.107,123.972,188.018,1,1
Acceptor,5AIN_QMR_A1207,170.802,121.06,189.26,3,0
Acceptor,5AIN_QMR_A1207,171.702,123.659,189.007,1,1
Acceptor,5BP0_FN1_D302,171.627,121.127,189.208,3,0
Acceptor,5BP0_FN1_D302,170.913,124.549,188.114,1,1
Acceptor,5O87_NCT_A601,171.405,123.992,188.502,1,1
Acceptor,5SYO_C5E_E301,171.086,124.55,188.057,1,1
Acceptor,6SGV_LDQ_G601,171.372,124.731,188.438,1,1
Acceptor,8ST4_ACH_A704,169.706,122.791,187.185,2,0
Acceptor,8ST4_ACH_A704,171.12,123.878,188.506,1,1
PosIonizable,1UV6_CCE_J1206,167.388,122.837,185.526,1,1
PosIonizable,3U8J_09O_A211,166.337,123.736,186.367,1,1
PosIonizable,3U8K_09P_F211,166.368,123.473,186.502,1,1
PosIonizable,3U8L_09Q_J211,166.081,123.626,186.221,1,1
PosIonizable,3U8M_09R_L211,166.444,123.742,186.328,1,1
PosIonizable,3U8N_09S_Q211,166.287,123.562,186.617,1,1
PosIonizable,3ZDG_XRX_I301,167.15,122.585,186.332,1,1
PosIonizable,3ZDH_XRS_A301,167.309,122.812,186.316,1,1
PosIonizable,3ZDH_XRS_A301,171.499,122.783,189.304,0,0
PosIonizable,4FRR_0VC_F301,166.714,123.594,186.169,1,1
PosIonizable,4ZJS_4P0_D301,167.901,124.386,186.048,1,1
PosIonizable,5BP0_FN1_D302,167.157,123.028,186.465,1,1
PosIonizable,5O87_NCT_A601,167.542,123.141,186.085,1,1
PosIonizable,5SYO_C5E_E301,166.429,123.49,186.269,1,1
PosIonizable,6SGV_LDQ_G601,166.817,123.483,186.267,1,1
PosIonizable,8ST4_ACH_A704,167.372,123.185,185.199,1,1
Aromatic,2WNL_AN4_G300,170.901,122.996,188.282,1,1
Aromatic,3U8J_09O_A211,171.05,122.857,188.232,1,1
Aromatic,3U8K_09P_F211,171.083,123.139,188.256,1,1
Aromatic,3U8L_09Q_J211,172.309,118.817,189.385,0,0
Aromatic,3U8L_09Q_J211,171.084,122.709,188.004,1,1
Aromatic,3U8M_09R_L211,171.006,123.111,188.033,1,1
Aromatic,3U8N_09S_Q211,170.852,123.023,188.063,1,1
Aromatic,3WTJ_TH4_B301,170.784,123.106,187.552,1,1
Aromatic,3ZDH_XRS_A301,171.499,122.783,189.304,1,1
Aromatic,4FRR_0VC_F301,171.188,122.467,188.668,1,1
Aromatic,5AIN_QMR_A1207,171.261,122.359,189.11,1,1
Aromatic,5BP0_FN1_D302,170.482,123.23,187.85,1,1
Aromatic,5O87_NCT_A601,170.727,122.826,188.217,1,1
Aromatic,5SYO_C5E_E301,169.788,122.255,187.787,1,1
Aromatic,6SGV_LDQ_G601,170.196,122.349,188.358,1,1
LumpedHydrophobe,4FRR_0VC_F301,171.861,119.267,189.78,0,0
LumpedHydrophobe,5AIN_QMR_A1207,168.865,122.739,185.354,0,0
