het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
ACH,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,7.4,0,,,pkasolver:no_ionizable
MG,[Mg+2],[Mg+2],7.4,0,,,pkasolver:no_ionizable
CA,[Ca+2],[Ca+2],7.4,0,,,pkasolver:no_ionizable
L0B,CN1[C@@H](CCC[C@@H]1CC(=O)c2ccccc2)C[C@@H](c3ccccc3)O,C[NH+]1[C@@H](CC(=O)c2ccccc2)CCC[C@H]1C[C@H](O)c1ccccc1,7.4,2,8.37;9.47,,pkasolver
NCT,C[N@@]1CCC[C@H]1c2cccnc2,C[NH+]1CCC[C@H]1c1cccnc1,7.4,2,4.93;8.29,,pkasolver
SY9,c1ccc2c(c1)[C@]34CC[N@@]5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,7.4,2,4.68;7.07,,pkasolver
QMR,c1cnc2cc3c(cc2n1)[C@@H]4C[C@H]3CNC4,c1cnc2cc3c(cc2n1)[C@@H]1C[NH2+]C[C@H]3C1,7.4,2,4.43;10.37,,pkasolver
IM4,c1cc(ncc1CN\2CCN/C2=N\[N+](=O)[O-])Cl,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,7.4,3,3.10;5.88;7.15,,pkasolver
MLK,CC[N@]1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2[C@@H]([C@@]([C@H]31)([C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC)OC)O)O)OC)OC)COC(=O)c7ccccc7N8C(=O)C[C@@H](C8=O)C,CC[NH+]1C[C@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](OC)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@](O)([C@@H](OC)[C@H]23)[C@@H]14,7.4,3,3.78;7.42;8.43,,pkasolver
TH4,c1cc(ncc1CN\2CCS/C2=N\C#N)Cl,N#C/N=C1\SCCN1Cc1ccc(Cl)nc1,7.4,2,2.88;4.31,,pkasolver
09P,CCOc1cc(cnc1)N2CCCNCC2,CCOc1cncc(N2CCC[NH2+]CC2)c1,7.4,3,5.31;7.29;9.90,,pkasolver
09R,c1cc(ncc1N2CCCNCC2)Br,Brc1ccc(N2CCC[NH2+]CC2)cn1,7.4,3,3.15;3.94;9.46,,pkasolver
4P0,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,CC(=O)C1=CCC[C@@H]2CC[C@H]1[NH2+]2,7.4,1,7.91,,pkasolver
7KO,c1cc(cnc1)CN(Cc2cccnc2)c3cc(nc(n3)N)Cl,Nc1nc(Cl)cc(N(Cc2cccnc2)Cc2cccnc2)n1,7.4,5,3.23;3.75;4.47;5.24;8.28,,pkasolver
A1LW0,CN/C(=N\[N+](=O)[O-])/NC[C@@H]1CCOC1,C[NH2+]/C(=N\[N+](=O)[O-])NC[C@@H]1CCOC1,7.4,2,7.32;7.48,,pkasolver
C5E,C1[C@H]2CNC[C@@H]1C3=CC=CC(=O)N3C2,O=c1cccc2n1C[C@@H]1C[NH2+]C[C@H]2C1,7.4,1,9.82,,pkasolver
CT4,CN/C(=N\[N+](=O)[O-])/NCc1cnc(s1)Cl,CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,7.4,3,3.11;5.81;6.24,,pkasolver
ILR,CC1=NCCC[C@]12CCCCC23OCCO3,CC1=NCCC[C@]12CCCCC21OCCO1,7.4,0,,,pkasolver:no_ionizable
N1Y,c1cc(ncc1CN\2CCN/C2=C\[N+](=O)[O-])Cl,O=[N+]([O-])/C=C1\NCCN1Cc1ccc(Cl)nc1,7.4,3,2.93;5.64;6.56,,pkasolver
N2Y,[H]/N=C\1/NCCN1Cc2ccc(nc2)Cl,[H]/[NH+]=C1/NCCN1Cc1ccc(Cl)nc1,7.4,2,4.07;9.06,,pkasolver
OCT,CCCCCCCC,CCCCCCCC,7.4,0,,,pkasolver:no_ionizable
TKT,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)c3c[nH]c4c3cccc4,C[NH+]1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,7.4,3,5.19;8.80;10.64,,pkasolver
VU3,c1ccc(cc1)C2CCN(CC2)CCc3cc4ccccc4[nH]3,c1ccc(C2CC[NH+](CCc3cc4ccccc4[nH]3)CC2)cc1,7.4,3,6.43;9.12;10.90,,pkasolver
083,Cc1cc(nc(n1)/C(=N/c2c3ccccc3cc(n2)c4ccccn4)/N)C,Cc1cc(C)nc(/C(N)=[NH+]/c2nc(-c3ccccn3)cc3ccccc23)n1,7.4,4,3.87;4.89;5.58;5.84,,pkasolver
09O,c1cc(cnc1)N2CCCNCC2,c1cncc(N2CCC[NH2+]CC2)c1,7.4,3,4.79;6.64;9.93,,pkasolver
09Q,c1ccc(cc1)c2cc(cnc2)N3CCCNCC3,c1ccc(-c2cncc(N3CCC[NH2+]CC3)c2)cc1,7.4,3,5.14;6.70;9.88,,pkasolver
09S,CCOc1cc(cnc1Br)N2CCCNCC2,CCOc1cc(N2CCC[NH2+]CC2)cnc1Br,7.4,3,3.98;4.27;9.30,,pkasolver
0J0,CN1c2ccccc2C(=CC1=O)OCc3cn(nn3)C4C[C@H]5CC[C@@H](C4)[N+]5(C)C,Cn1c(=O)cc(OCc2cn(C3C[C@H]4CC[C@@H](C3)[N+]4(C)C)nn2)c2ccccc21,7.4,1,4.05,,pkasolver
0VC,COCC[C@H]1C[C@@H]1c2cc(cnc2)OC[C@@H]3CCN3,COCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CC[NH2+]2)c1,7.4,2,6.06;9.93,,pkasolver
40P,C[C@H]1C[C@]23CCC(=C[C@@H]2[C@H]4[C@H]5[C@@H]([C@@H](C[C@@](O4)(O5)C[C@H]6CCC[C@]7(O6)CC[C@@]8(O7)[C@](CC[C@H](O8)CC(=C)CCCC3=NC[C@@H]1C)(C)O)C)O)C(=O)O,C=C1CCCC2=NC[C@H](C)[C@@H](C)C[C@@]23CCC(C(=O)[O-])=C[C@@H]3[C@@H]2O[C@]3(C[C@H]4CCC[C@@]5(CC[C@@]6(O[C@@H](CC[C@@]6(C)O)C1)O5)O4)C[C@@H](C)[C@@H]([O-])[C@H]2O3,7.4,2,6.06;7.16,,pkasolver
41J,C[C@H]1C[C@]23CCC(=C[C@@H]2[C@H]4[C@H]5[C@@H]([C@@H](C[C@@](O4)(O5)C[C@H]6CCC[C@]7(O6)CC[C@@]8(O7)[C@](CC[C@H](O8)C/C(=C/CCC3=NC[C@@H]1C)/C)(C)O)C)O)C=C,C=CC1=C[C@@H]2[C@@H]3O[C@]4(C[C@H]5CCC[C@@]6(CC[C@@]7(O[C@@H](CC[C@@]7(C)O)C/C(C)=C/CCC7=NC[C@H](C)[C@@H](C)C[C@@]72CC1)O6)O5)C[C@@H](C)[C@@H](O)[C@H]3O4,7.4,1,8.99,,pkasolver
42R,C[C@@]1(CN(C(=CC1=O)c2ccc(cc2)Br)C)O,CN1C[C@](C)(O)C(=O)C=C1c1ccc(Br)cc1,7.4,2,4.14;7.89,,pkasolver
4P6,c1cc(cnc1)C\2=NCCC/C2=C\c3cccs3,C(=C1/CCCN=C1c1cccnc1)/c1cccs1,7.4,1,4.74,,pkasolver
4P7,c1cc(cnc1)C\2=NCCC/C2=C\c3cc[nH]c3,C(=C1/CCCN=C1c1cccnc1)/c1cc[nH]c1,7.4,3,5.05;6.52;10.71,,pkasolver
4QW,Cn1cncc1/C=C/2\CCN=C2c3cccnc3,Cn1cncc1/C=C1\CCN=C1c1cccnc1,7.4,2,4.51;7.06,,pkasolver
4VU,c1cc(cnc1)[C@H]2CC3CCN2CC3,c1cncc([C@H]2CC3CC[NH+]2CC3)c1,7.4,2,5.76;8.94,,pkasolver
5VU,c1cc(c(cc1F)F)NC(=O)N2CCCC2,O=C(Nc1ccc(F)cc1F)N1CCCC1,7.4,3,4.32;4.42;9.24,,pkasolver
6GF,COc1ccc(cc1)c2cc(nc(n2)N)N(Cc3ccccn3)Cc4ccccn4,COc1ccc(-c2cc(N(Cc3ccccn3)Cc3ccccn3)nc(N)n2)cc1,7.4,6,3.60;3.75;3.86;4.50;5.41;7.62,,pkasolver
6GH,c1ccnc(c1)CN(Cc2ccccn2)c3cc(nc(n3)N)c4ccsc4,Nc1nc(-c2ccsc2)cc(N(Cc2ccccn2)Cc2ccccn2)n1,7.4,5,3.30;3.33;4.23;5.13;7.41,,pkasolver
6GK,COc1ccccc1c2cc(nc(n2)N)N(Cc3ccccn3)Cc4ccccn4,COc1ccccc1-c1cc(N(Cc2ccccn2)Cc2ccccn2)nc(N)n1,7.4,6,3.21;3.42;3.48;4.51;5.57;7.63,,pkasolver
6GM,c1ccnc(c1)CN(Cc2ccccn2)c3cc(nc(n3)N)c4ccc(cc4)O,Nc1nc(-c2ccc(O)cc2)cc(N(Cc2ccccn2)Cc2ccccn2)n1,7.4,6,3.74;3.75;4.68;5.69;7.56;10.00,phenol@8:8.00->10.00,pkasolver+phenol_rule
6S7,CN(C)CCOc1cc(cnc1)N2C[C@@H]3C[C@H](C2)CNC3,C[NH+](C)CCOc1c[nH+]cc(N2C[C@@H]3C[NH2+]C[C@@H](C3)C2)c1,7.4,4,6.70;8.14;9.91;10.28,,pkasolver
74S,C[N+]1([C@@H]2CC[C@H]1CC(C2)n3cc(nn3)Cn4c5ccccc5c6c4cccc6)CCc7ccccc7,C[N+]1(CCc2ccccc2)[C@@H]2CC[C@H]1CC(n1cc(Cn3c4ccccc4c4ccccc43)nn1)C2,7.4,2,5.12;5.35,,pkasolver
7A9,c1cc2c3c(c1)C(=O)N(C[C@@H]3CCC2)[C@@H]4CN5CCC4CC5,O=C1c2cccc3c2[C@@H](CCC3)CN1[C@@H]1C[NH+]2CCC1CC2,7.4,2,6.08;9.24,,pkasolver
7IE,c1cc(ncc1CN(CC(F)F)C2=CC(=O)OC2)Cl,O=C1C=C(N(Cc2ccc(Cl)nc2)CC(F)F)CO1,7.4,2,3.31;3.97,,pkasolver
7II,CC(c1ccc(nc1)C(F)(F)F)[S@](=NC#N)(=O)C,CC(c1ccc(C(F)(F)F)nc1)[S@@](C)(=O)=NC#N,7.4,1,2.84,,pkasolver
7JI,CC1=CC=CN2C1=[N+](C(=C(C2=O)c3cc(cc(c3)Cl)Cl)[O-])Cc4cnc(s4)Cl,Cc1cccn2c(=O)c(-c3cc(Cl)cc(Cl)c3)c([O-])[n+](Cc3cnc(Cl)s3)c12,7.4,2,2.64;2.88,,pkasolver
7LB,C[C@@H](C/C=C/c1cc(cnc1)Oc2ccccc2)NC,C[NH2+][C@@H](C)C/C=C/c1cncc(Oc2ccccc2)c1,7.4,2,6.09;9.67,,pkasolver
7OB,c1cc(cc(c1)C(F)(F)F)C2=C([N+](=C3C=CC=CN3C2=O)Cc4cncnc4)[O-],O=c1c(-c2cccc(C(F)(F)F)c2)c([O-])[n+](Cc2cncnc2)c2ccccn12,7.4,2,2.66;3.01,,pkasolver
7OF,c1cc(ncc1CN\2C=CC=C/C2=N\C(=O)C(F)(F)F)Cl,O=C(/N=c1\ccccn1Cc1ccc(Cl)nc1)C(F)(F)F,7.4,1,3.16,,pkasolver
8L3,c1cc(cnc1)OCC2(CCNCC2)Cc3ccc(c(c3)Cl)Cl,Clc1ccc(CC2(COc3cccnc3)CC[NH2+]CC2)cc1Cl,7.4,2,5.52;9.60,,pkasolver
9Z0,c1c(c([nH]c1C(=O)NCCCO)Br)Br,O=C(NCCCO)c1cc(Br)c(Br)[nH]1,7.4,5,3.66;4.23;7.41;8.15;9.68,,pkasolver
AN4,c1cc(cnc1)C2=NCCCC2,c1cncc(C2=NCCCC2)c1,7.4,1,4.76,,pkasolver
AN5,c1cc(cnc1)C(=O)CCCCN,[NH3+]CCCCC(=O)c1cccnc1,7.4,2,4.56;9.48,,pkasolver
ARG,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],7.4,2,6.15;10.98,,pkasolver
