family,ligand_id,x,y,z,cluster,kept
Donor,8F0P_X7L_A1610,87.152,137.498,141.37,0,1
Donor,8F0P_X7L_A1610,88.521,135.657,139.537,0,1
Donor,8F0P_X7L_A1610,92.401,135.012,134.223,1,1
Donor,8F0R_X7W_A1606,86.299,137.851,141.093,0,1
Donor,8F0R_X7W_A1606,87.675,135.892,139.574,0,1
Donor,8F0R_X7W_A1606,91.395,134.543,134.156,1,1
Donor,8F0S_X80_A1605,84.158,136.682,139.454,0,1
Donor,8F0S_X80_A1605,87.988,136.29,139.864,0,1
Donor,8F0S_X80_A1605,91.982,133.756,135.519,1,1
Acceptor,8F0P_X7L_A1610,92.831,134.23,138.143,0,1
Acceptor,8F0P_X7L_A1610,91.717,133.204,132.94,1,1
Acceptor,8F0P_X7L_A1610,94.103,134.97,136.086,0,1
Acceptor,8F0P_X7L_A1610,93.233,137.147,135.236,4,1
Acceptor,8F0P_X7L_A1610,91.23,127.734,133.566,3,1
Acceptor,8F0R_X7W_A1606,89.726,136.705,135.221,2,1
Acceptor,8F0R_X7W_A1606,90.933,132.746,132.695,1,1
Acceptor,8F0R_X7W_A1606,90.786,130.529,133.338,1,1
Acceptor,8F0R_X7W_A1606,93.242,133.94,136.122,0,1
Acceptor,8F0R_X7W_A1606,92.943,136.492,135.31,4,1
Acceptor,8F0S_X80_A1605,89.595,136.511,135.355,2,1
Acceptor,8F0S_X80_A1605,90.88,131.701,132.101,1,1
Acceptor,8F0S_X80_A1605,93.555,135.239,136.763,0,1
Acceptor,8F0S_X80_A1605,92.278,136.201,134.836,4,1
Acceptor,8F0S_X80_A1605,90.604,133.981,133.674,1,1
Acceptor,8F0S_X80_A1605,90.616,127.657,134.672,3,1
PosIonizable,8F0P_X7L_A1610,87.152,137.498,141.37,0,0
PosIonizable,8F0R_X7W_A1606,86.299,137.851,141.093,0,0
PosIonizable,8F0S_X80_A1605,84.158,136.682,139.454,1,0
Aromatic,8F0P_X7L_A1610,91.947,132.45,133.883,0,1
Aromatic,8F0P_X7L_A1610,90.604,135.727,137.651,2,1
Aromatic,8F0P_X7L_A1610,91.416,130.44,133.104,0,1
Aromatic,8F0R_X7W_A1606,89.798,135.506,137.686,2,1
Aromatic,8F0R_X7W_A1606,90.995,131.84,133.642,0,1
Aromatic,8F0R_X7W_A1606,80.738,136.884,138.391,1,0
Aromatic,8F0S_X80_A1605,89.981,135.866,137.972,2,1
Aromatic,8F0S_X80_A1605,90.903,130.405,134.502,0,1
LumpedHydrophobe,8F0P_X7L_A1610,90.604,135.727,137.651,2,0
LumpedHydrophobe,8F0P_X7L_A1610,91.416,130.44,133.104,1,0
LumpedHydrophobe,8F0P_X7L_A1610,90.806,124.331,133.478,3,1
LumpedHydrophobe,8F0R_X7W_A1606,89.798,135.506,137.686,2,0
LumpedHydrophobe,8F0R_X7W_A1606,80.738,136.884,138.391,0,0
LumpedHydrophobe,8F0S_X80_A1605,89.981,135.866,137.972,2,0
LumpedHydrophobe,8F0S_X80_A1605,90.903,130.405,134.502,1,0
LumpedHydrophobe,8F0S_X80_A1605,90.198,124.598,132.933,3,1
