het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
P5S,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-])OC(=O)CCCCCCCCCCCCCCCCC,7.4,3,6.45;7.14;8.83,,pkasolver
9Z9,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)OCCC(COC)COC)C)C)C)OC1,COCC(CCO[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@@H]5[C@@]4(C)CC[C@@H]32)C1)COC,7.4,0,,,pkasolver:no_ionizable
1PW,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)O)NC(=O)C)O,CCCCCCCCCCCCC/C=C/[C@@H]([O-])[C@H](COP(=O)([O-])[O-])[N-]C(C)=O,7.4,4,3.76;4.57;6.38;6.92,,pkasolver
9SL,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)N)N,NC(=O)OC[C@@H]1[NH+]=C(N)N2CCC(O)(O)[C@@]23N=C(N)N[C@@H]13,7.4,5,6.55;7.37;8.12;9.11;10.09,,pkasolver
9SR,C([C@@]1([C@H]2[C@@H]3[C@H](N=C(N[C@@]34[C@@H]([C@@H]1O[C@]([C@H]4O)(O2)O)O)N)O)O)O,NC1=N[C@H](O)[C@H]2[C@H]3O[C@]4(O)O[C@@H]([C@@H](O)[C@@]2(N1)[C@@H]4O)[C@]3(O)CO,7.4,7,6.71;9.11;9.19;9.27;9.29;9.57;9.58,,pkasolver
76F,CCCCCC/C=C/CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCC=CCCCCC,CCCCCC=CCC=CCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C/CCCCCC)COP(=O)([O-])OCC[NH3+],7.4,2,7.33;9.15,,pkasolver
A1E26,C[C@H]1CC[C@H]2[C@@]([C@]3([C@H](C[C@]4([C@@H]5CC[C@H]6[C@]7([C@]5(C[C@]4([C@@H]3CN2C1)O)O[C@@]6([C@H](CC7)OC(=O)c8ccc(c(c8)OC)OC)O)C)O)O)O)(C)O,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](C[NH+]8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@]24O)cc1OC,7.4,3,8.36;9.14;9.18,,pkasolver
AJP,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)[C@H]([C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(C[C@H]([C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O)C)C)O)C)OC1,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,7.4,13,8.49;8.51;8.52;8.53;8.54;8.54;8.56;8.57;8.61;8.67;8.70;8.72;8.73,,pkasolver
5P2,CCN1CC(C1)n2c(ccn2)c3cc(ccc3Oc4ccc(cc4C#N)S(=O)(=O)Nc5ncns5)C(F)(F)F,CCN1CC(n2nccc2-c2cc(C(F)(F)F)ccc2Oc2ccc(S(=O)(=O)[N-]c3ncns3)cc2C#N)C1,7.4,5,3.63;3.86;4.32;6.47;6.63,,pkasolver
657,c1cc2c(cc1OC(F)(F)F)sc(n2)N,Nc1nc2ccc(OC(F)(F)F)cc2s1,7.4,3,3.99;5.59;8.25,,pkasolver
6OU,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],7.4,2,7.28;9.18,,pkasolver
G2E,CCCCCN1c2ccccc2[C@]3(C1=O)COc4c3cc5c(c4)OCO5,CCCCCN1C(=O)[C@]2(COc3cc4c(cc32)OCO4)c2ccccc21,7.4,1,3.78,,pkasolver
G2W,Cc1cc(ccc1OC2CN(C2)c3ccnc(n3)Nc4cccc(c4)C(=O)NC)F,CNC(=O)c1cccc(Nc2nccc(N3CC(Oc4ccc(F)cc4C)C3)n2)c1,7.4,7,3.27;3.52;4.10;5.48;5.76;9.27;9.86,,pkasolver
G4I,Cc1c(cccc1/N=C(/C)\O)/N=C/2\NC(=NC=N2)N3CCC(CC3)OCc4ccc(cc4)OC(F)(F)F,C/C(O)=N/c1cccc(/N=c2/ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)[nH]2)c1C,7.4,4,6.17;6.50;8.28;9.11,,pkasolver
IYJ,c1cc(c(c(c1)Cl)Cl)c2c(nc(nn2)N)N,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,7.4,6,3.36;3.63;4.80;5.25;7.64;7.98,,pkasolver
LQO,CC(=O)N[C@H](COC)C(=O)NCc1ccccc1,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,7.4,4,5.20;6.73;9.03;10.09,,pkasolver
N6W,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21,7.4,2,7.00;9.16,,pkasolver
OJ0,CCCCN1CCCC[C@H]1C(=O)Nc2c(cccc2C)C,CCCC[NH+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,7.4,3,5.63;8.02;10.07,,pkasolver
P0T,CCCCCc1cc(c(c(c1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,7.4,2,10.00;10.00,phenol@12:10.07->10.00;phenol@22:10.48->10.00,pkasolver+phenol_rule
P3X,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC=CCCCC)COP(=O)(O)OCCN,CCCCC=CCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCC,7.4,2,7.12;9.19,,pkasolver
T70,c1cc(c(cc1Cl)c2cn[nH]c2N)Oc3cc(c(cc3Cl)S(=O)(=O)Nc4cscn4)F,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,7.4,6,5.75;5.97;6.33;7.77;8.90;9.32,,pkasolver
T7F,CC[C@@]12CCCN3[C@@H]1c4c(c5ccccc5n4C(=C2)C(=O)OCC)CC3,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,7.4,1,6.46,,pkasolver
TB4,c1ccc(c(c1)COc2ccc(cc2)[C@H]3CC[C@H](N3)C(=O)N)F,NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)[NH2+]1,7.4,3,7.10;8.11;8.71,,pkasolver
UK0,C[C@@H]1CC[C@@]2([C@@H]([C@@]1(C)CCc3ccoc3)CCC=C2C(=O)O)C,C[C@@H]1CC[C@@]2(C)C(C(=O)[O-])=CCC[C@@H]2[C@@]1(C)CCc1ccoc1,7.4,1,4.40,,pkasolver
X7L,CN(C)[C@H]1CCCC[C@@H]1Nc2ccc(c(c2)F)S(=O)(=O)Nc3nc4ccc(cc4s3)OCC5CCCC5,C[NH+](C)[C@H]1CCCC[C@@H]1Nc1ccc(S(=O)(=O)Nc2nc3ccc(OCC4CCCC4)cc3s2)c(F)c1,7.4,4,4.96;5.96;7.92;9.11,,pkasolver
