family,ligand_id,x,y,z,cluster,kept
Donor,4M48_21B_A704,129.942,125.809,133.364,0,1
Donor,4XNX_41X_A707,130.998,125.457,133.683,0,1
Donor,4XP4_COC_A706,130.908,126.659,135.164,0,1
Donor,4XPF_42F_A703,130.992,127.193,134.518,0,1
Donor,4XPG_42L_A701,130.6,126.932,135.534,0,1
Donor,6M38_29E_A601,129.832,125.274,134.534,0,1
Donor,6M3Z_F0F_A701,129.651,125.297,134.107,0,1
Donor,6M3Z_F0F_A701,130.205,129.567,131.234,0,1
Donor,6M47_F1U_A608,129.763,126.366,135.193,0,1
Donor,6M47_F1U_A608,129.636,130.526,135.477,0,1
Donor,8HFI_DSM_A701,129.982,125.516,133.699,0,1
Donor,8HFL_1XR_A701,129.442,126.401,131.063,0,1
Donor,8I3V_68P_A701,129.79,127.822,131.678,0,1
Donor,8WTX_Y60_A701,128.339,127.074,130.264,0,1
Donor,8WTY_XEF_A701,128.53,125.163,132.033,0,1
Donor,8WTY_XEF_A701,123.566,119.623,128.929,1,0
Donor,8XB2_YNT_A702,129.577,126.913,132.964,0,1
Donor,8XB2_YNT_A702,131.229,127.694,130.625,0,1
Donor,8Y8Z_A1LX3_E701,129.249,126.946,133.974,0,1
Donor,8Y90_A1LX6_A701,128.822,126.833,134.18,0,1
Donor,8Y91_A1LX5_D703,128.931,129.512,137.753,0,1
Donor,8Y91_A1LX5_D703,129.706,127.575,134.109,0,1
Donor,8Y93_TP0_A701,129.437,126.047,133.675,0,1
Donor,8YR2_41U_B701,130.014,125.656,133.876,0,1
Donor,8ZP1_A1D9Y_A702,130.522,125.386,133.602,0,1
Donor,8ZP2_A1LX4_A701,130.018,125.526,133.951,0,1
Donor,9KDH_A1D5S_B709,129.747,124.373,130.123,0,1
Donor,9KDH_A1D5S_B709,129.231,126.232,131.68,0,1
Donor,9KE3_A1EFR_B707,128.855,125.667,131.433,0,1
Donor,9KE3_A1EFR_B707,129.901,128.357,131.138,0,1
Donor,9KE3_A1EFR_B707,128.831,122.984,131.684,0,1
PosIonizable,4M48_21B_A704,129.942,125.809,133.364,0,1
PosIonizable,4XNX_41X_A707,130.998,125.457,133.683,0,1
PosIonizable,4XP4_COC_A706,130.908,126.659,135.164,0,1
PosIonizable,4XPF_42F_A703,130.992,127.193,134.518,0,1
PosIonizable,4XPG_42L_A701,130.6,126.932,135.534,0,1
PosIonizable,6M38_29E_A601,129.832,125.274,134.534,0,1
PosIonizable,6M3Z_F0F_A701,129.651,125.297,134.107,0,1
PosIonizable,6M47_F1U_A608,129.763,126.366,135.193,0,1
PosIonizable,8HFI_DSM_A701,129.982,125.516,133.699,0,1
PosIonizable,8HFL_1XR_A701,129.442,126.401,131.063,1,0
PosIonizable,8I3V_68P_A701,129.79,127.822,131.678,1,0
PosIonizable,8WTX_Y60_A701,128.339,127.074,130.264,1,0
PosIonizable,8WTY_XEF_A701,128.53,125.163,132.033,1,0
PosIonizable,8XB2_YNT_A702,129.577,126.913,132.964,0,1
PosIonizable,8Y8Z_A1LX3_E701,129.249,126.946,133.974,0,1
PosIonizable,8Y90_A1LX6_A701,128.822,126.833,134.18,0,1
PosIonizable,8Y91_A1LX5_D703,129.706,127.575,134.109,0,1
PosIonizable,8Y93_TP0_A701,129.437,126.047,133.675,0,1
PosIonizable,8YR2_41U_B701,130.014,125.656,133.876,0,1
PosIonizable,8ZP1_A1D9Y_A702,130.522,125.386,133.602,0,1
PosIonizable,8ZP2_A1LX4_A701,130.018,125.526,133.951,0,1
PosIonizable,9JEL_A1EBN_A701,129.083,127.403,130.99,1,0
PosIonizable,9JF3_A1EBO_A701,129.189,125.993,130.708,1,0
