family,ligand_id,x,y,z,cluster,kept
Donor,4XP1_LDP_A708,133.32,131.902,128.809,1,1
Donor,4XP1_LDP_A708,130.976,133.265,128.181,1,1
Donor,4XP1_LDP_A708,132.067,128.546,134.237,0,1
Donor,4XP6_B40_A601,130.259,127.051,134.961,0,1
Donor,4XP9_1WE_C706,130.812,125.261,135.036,0,1
Donor,8WTV_E5E_A704,128.773,132.3,129.486,1,1
Donor,8WTV_E5E_A704,131.283,132.799,128.436,1,1
Donor,8WTV_E5E_A704,130.51,128.665,133.129,0,1
Donor,8WTV_E5E_A704,129.153,126.681,130.455,0,1
Donor,8ZOY_LNR_A701,132.798,131.382,128.794,1,1
Donor,8ZOY_LNR_A701,130.836,133.224,128.392,1,1
Donor,8ZOY_LNR_A701,130.416,127.498,131.167,0,1
Donor,8ZOY_LNR_A701,130.567,127.671,133.745,0,1
Acceptor,4XP1_LDP_A708,133.32,131.902,128.809,2,0
Acceptor,4XP1_LDP_A708,130.976,133.265,128.181,1,1
Acceptor,8WTV_E5E_A704,128.773,132.3,129.486,3,0
Acceptor,8WTV_E5E_A704,131.283,132.799,128.436,1,1
Acceptor,8WTV_E5E_A704,130.51,128.665,133.129,0,0
Acceptor,8ZOY_LNR_A701,132.798,131.382,128.794,2,0
Acceptor,8ZOY_LNR_A701,130.836,133.224,128.392,1,1
Acceptor,8ZOY_LNR_A701,130.416,127.498,131.167,0,0
PosIonizable,4XP1_LDP_A708,132.067,128.546,134.237,1,1
PosIonizable,4XP6_B40_A601,130.259,127.051,134.961,1,1
PosIonizable,4XP9_1WE_C706,130.812,125.261,135.036,1,1
PosIonizable,8WTV_E5E_A704,129.153,126.681,130.455,0,0
PosIonizable,8XB3_YMN_A701,129.699,125.644,131.999,0,0
PosIonizable,8XB3_YMN_A701,129.222,126.757,132.752,0,0
PosIonizable,8ZOY_LNR_A701,130.567,127.671,133.745,1,1
Aromatic,4XP1_LDP_A708,130.963,131.336,130.199,0,1
Aromatic,4XP6_B40_A601,130.503,130.377,131.147,1,0
Aromatic,4XP9_1WE_C706,130.237,129.404,132.101,1,0
Aromatic,8WTV_E5E_A704,130.879,130.588,130.073,0,1
Aromatic,8XB3_YMN_A701,130.279,130.776,130.179,0,1
Aromatic,8ZOY_LNR_A701,130.287,130.98,129.996,0,1
Hydrophobe,4XP1_LDP_A708,130.882,129.349,132.305,0,1
Hydrophobe,4XP1_LDP_A708,130.948,130.383,131.201,1,1
Hydrophobe,4XP1_LDP_A708,132.126,130.652,130.517,1,1
Hydrophobe,4XP1_LDP_A708,129.789,131.062,130.882,1,1
Hydrophobe,4XP1_LDP_A708,129.802,132.016,129.883,1,1
Hydrophobe,4XP6_B40_A601,130.832,129.406,132.087,0,1
Hydrophobe,4XP6_B40_A601,131.191,128.346,133.103,0,1
Hydrophobe,4XP9_1WE_C706,130.399,128.542,133.187,0,1
Hydrophobe,4XP9_1WE_C706,130.609,127.615,134.364,0,1
Hydrophobe,8WTV_E5E_A704,130.671,129.489,130.888,1,1
Hydrophobe,8XB3_YMN_A701,130.388,129.505,130.708,1,1
Hydrophobe,8XB3_YMN_A701,131.228,131.237,129.285,1,1
Hydrophobe,8ZOY_LNR_A701,131.271,129.977,130.245,1,1
Hydrophobe,8ZOY_LNR_A701,129.233,131.911,129.815,1,1
Hydrophobe,8ZOY_LNR_A701,128.991,130.863,130.559,1,1
Hydrophobe,8ZOY_LNR_A701,130.081,129.826,130.789,1,1
