family,ligand_id,x,y,z,cluster,kept
Donor,4XP1_LDP_A708,133.32,131.902,128.809,1,0
Donor,4XP1_LDP_A708,130.976,133.265,128.181,1,0
Donor,4XP1_LDP_A708,132.067,128.546,134.237,0,0
Donor,4XP6_B40_A601,130.259,127.051,134.961,0,0
Donor,4XP9_1WE_C706,130.812,125.261,135.036,0,0
Donor,8WTV_E5E_A704,128.773,132.3,129.486,1,0
Donor,8WTV_E5E_A704,131.283,132.799,128.436,1,0
Donor,8WTV_E5E_A704,130.51,128.665,133.129,0,0
Donor,8WTV_E5E_A704,129.153,126.681,130.455,0,0
Donor,8ZOY_LNR_A701,132.798,131.382,128.794,1,0
Donor,8ZOY_LNR_A701,130.836,133.224,128.392,1,0
Donor,8ZOY_LNR_A701,130.416,127.498,131.167,0,0
Donor,8ZOY_LNR_A701,130.567,127.671,133.745,0,0
Acceptor,4XP1_LDP_A708,133.32,131.902,128.809,0,1
Acceptor,4XP1_LDP_A708,130.976,133.265,128.181,0,1
Acceptor,8WTV_E5E_A704,128.773,132.3,129.486,0,1
Acceptor,8WTV_E5E_A704,131.283,132.799,128.436,0,1
Acceptor,8WTV_E5E_A704,130.51,128.665,133.129,1,0
Acceptor,8ZOY_LNR_A701,132.798,131.382,128.794,0,1
Acceptor,8ZOY_LNR_A701,130.836,133.224,128.392,0,1
Acceptor,8ZOY_LNR_A701,130.416,127.498,131.167,1,0
PosIonizable,4XP1_LDP_A708,132.067,128.546,134.237,0,1
PosIonizable,4XP6_B40_A601,130.259,127.051,134.961,0,1
PosIonizable,4XP9_1WE_C706,130.812,125.261,135.036,0,1
PosIonizable,8WTV_E5E_A704,129.153,126.681,130.455,0,1
PosIonizable,8XB3_YMN_A701,129.699,125.644,131.999,0,1
PosIonizable,8XB3_YMN_A701,129.222,126.757,132.752,0,1
PosIonizable,8ZOY_LNR_A701,130.567,127.671,133.745,0,1
Aromatic,4XP1_LDP_A708,130.963,131.336,130.199,0,1
Aromatic,4XP6_B40_A601,130.503,130.377,131.147,0,1
Aromatic,4XP9_1WE_C706,130.237,129.404,132.101,0,1
Aromatic,8WTV_E5E_A704,130.879,130.588,130.073,0,1
Aromatic,8XB3_YMN_A701,130.279,130.776,130.179,0,1
Aromatic,8ZOY_LNR_A701,130.287,130.98,129.996,0,1
LumpedHydrophobe,4XP1_LDP_A708,130.963,131.336,130.199,0,0
LumpedHydrophobe,4XP6_B40_A601,130.503,130.377,131.147,0,0
LumpedHydrophobe,4XP9_1WE_C706,130.237,129.404,132.101,0,0
LumpedHydrophobe,8WTV_E5E_A704,130.879,130.588,130.073,0,0
LumpedHydrophobe,8XB3_YMN_A701,130.279,130.776,130.179,0,0
LumpedHydrophobe,8ZOY_LNR_A701,130.287,130.98,129.996,0,0
