het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
P4G,CCOCCOCCOCC,CCOCCOCCOCC,7.4,0,,,pkasolver:no_ionizable
LNR,c1cc(c(cc1[C@H](CN)O)O)O,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,7.4,4,9.08;10.00;10.00;10.52,phenol:2,pkasolver+weak_acid_guard
DMU,CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,7.4,5,8.85;8.97;9.24;9.29;9.37,,pkasolver
A1EFM,CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)(O)OC[C@H](CO)O,CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)([O-])OC[C@@H](O)CO,7.4,3,6.68;9.41;9.46,,pkasolver
PTY,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)([O-])OCC[NH3+],7.4,2,7.35;9.19,,pkasolver
42J,c1cc(c(cc1CCN)Cl)Cl,[NH3+]CCc1ccc(Cl)c(Cl)c1,7.4,1,9.32,,pkasolver
A1LX4,Cc1ccccc1O[C@H](CCNC)c2ccccc2,C[NH2+]CC[C@@H](Oc1ccccc1C)c1ccccc1,7.4,1,9.94,,pkasolver
41U,CNCC[C@@H](c1ccccc1)Oc2ccccc2OC,C[NH2+]CC[C@H](Oc1ccccc1OC)c1ccccc1,7.4,1,9.90,,pkasolver
42F,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(cc3)I)C(=O)OC,COC(=O)[C@H]1[C@@H](c2ccc(I)cc2)C[C@@H]2CC[C@H]1[NH+]2C,7.4,1,8.89,,pkasolver
COC,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,7.4,1,8.45,,pkasolver
DSM,CNCCCN1c2ccccc2CCc3c1cccc3,C[NH2+]CCCN1c2ccccc2CCc2ccccc21,7.4,2,5.91;9.53,,pkasolver
E5E,c1cc(c(cc1[C@H](C[NH3+])O)O)O,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,7.4,4,9.08;10.00;10.00;10.52,phenol:2,pkasolver+weak_acid_guard
F0F,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2,CC[NH+](CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1C[NH3+],7.4,2,7.57;9.14,,pkasolver
LDP,c1cc(c(cc1CCN)O)O,[NH3+]CCc1ccc(O)c(O)c1,7.4,3,9.80;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
