het_code,name,category,flagged,n_structures,n_instances,representative_pdb,formula_weight,smiles
P4G,1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE,ligand,False,7,9,4XP4,162.227,CCOCCOCCOCC
LNR,L-NOREPINEPHRINE,ligand,False,6,8,8ZOY,169.178,c1cc(c(cc1[C@H](CN)O)O)O
DMU,DECYL-BETA-D-MALTOPYRANOSIDE,ligand,False,5,5,6M2R,482.562,CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O
A1EFM,"[(2~{R})-1-[[(2~{S})-2,3-bis(oxidanyl)propoxy]-oxidanyl-phosphoryl]oxy-3-nonanoyloxy-propan-2-yl] decanoate",ligand,False,4,8,9KDA,540.624,CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC)COP(=O)(O)OC[C@H](CO)O
PTY,PHOSPHATIDYLETHANOLAMINE,ligand,False,4,4,8ZP2,734.039,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN
42J,"2-(3,4-dichlorophenyl)ethanamine",ligand,False,3,3,4XPH,190.07,c1cc(c(cc1CCN)Cl)Cl
A1LX4,(3R)-N-methyl-3-(2-methylphenoxy)-3-phenyl-propan-1-amine,ligand,False,3,4,8ZP2,255.355,Cc1ccccc1O[C@H](CCNC)c2ccccc2
41U,nisoxetine,ligand,False,2,3,8YR2,271.354,CNCC[C@@H](c1ccccc1)Oc2ccccc2OC
42F,"methyl (1R,2S,3S,5S)-3-(4-iodophenyl)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate",ligand,False,2,2,4XPF,385.24,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(cc3)I)C(=O)OC
COC,COCAINE,ligand,False,2,2,4XP4,303.353,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC
DSM,"3-(10,11-DIHYDRO-5H-DIBENZO[B,F]AZEPIN-5-YL)-N-METHYLPROPAN-1-AMINE",ligand,False,2,3,8HFI,266.381,CNCCCN1c2ccccc2CCc3c1cccc3
E5E,Noradrenaline,ligand,False,2,4,8WTV,170.186,c1cc(c(cc1[C@H](C[NH3+])O)O)O
F0F,"(1R,2S)-2-(aminomethyl)-N,N-diethyl-1-phenyl-cyclopropane-1-carboxamide",ligand,False,2,3,9KDM,246.348,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2
LDP,L-DOPAMINE,ligand,False,2,3,4XP1,153.178,c1cc(c(cc1CCN)O)O
1WE,(2S)-1-phenylpropan-2-amine,ligand,False,1,1,4XP9,135.206,C[C@@H](Cc1ccccc1)N
1WR,"(3S)-1-(4,4-diphenylbut-3-enyl)piperidine-3-carboxylic acid",ligand,False,1,2,7WLW,335.439,c1ccc(cc1)C(=CCCN2CCC[C@@H](C2)C(=O)O)c3ccccc3
1XR,Bupropion,ligand,False,1,1,8HFL,239.741,C[C@@H](C(=O)c1cccc(c1)Cl)NC(C)(C)C
21B,Nortriptyline,ligand,False,1,1,4M48,263.377,CNCCC=C1c2ccccc2CCc3c1cccc3
