file,vendor,molecules,size_gb
01_500000_ChemDiv.sdf,ChemDiv,500000,1.89
02_500000_ChemDiv.sdf,ChemDiv,500000,1.98
03_500000_ChemDiv.sdf,ChemDiv,500000,1.90
04_149761_ChemDiv.sdf,ChemDiv,149761,0.58
2020-07_FCHGroup_SC_full_SDF.sdf,FCHGroup,2244487,5.12
Enamine_screening_collection_202604_part01.sdf,Enamine,473633,1.05
Enamine_screening_collection_202604_part02.sdf,Enamine,473633,1.23
Enamine_screening_collection_202604_part03.sdf,Enamine,473633,1.23
Enamine_screening_collection_202604_part04.sdf,Enamine,473633,1.23
Enamine_screening_collection_202604_part05.sdf,Enamine,473633,1.22
Enamine_screening_collection_202604_part06.sdf,Enamine,473633,1.19
Enamine_screening_collection_202604_part07.sdf,Enamine,473633,1.14
Enamine_screening_collection_202604_part08.sdf,Enamine,473633,1.11
Enamine_screening_collection_202604_part09.sdf,Enamine,473633,1.21
Enamine_screening_collection_202604_part10.sdf,Enamine,473626,1.25
mcule_purchasable_in_stock_260130_part01.sdf,mcule,705875,1.67
mcule_purchasable_in_stock_260130_part02.sdf,mcule,705875,1.66
mcule_purchasable_in_stock_260130_part03.sdf,mcule,705875,1.74
mcule_purchasable_in_stock_260130_part04.sdf,mcule,705875,1.67
mcule_purchasable_in_stock_260130_part05.sdf,mcule,705875,1.59
mcule_purchasable_in_stock_260130_part06.sdf,mcule,705875,1.50
mcule_purchasable_in_stock_260130_part07.sdf,mcule,705875,1.33
mcule_purchasable_in_stock_260130_part08.sdf,mcule,705875,1.60
mcule_purchasable_in_stock_260130_part09.sdf,mcule,705875,1.51
mcule_purchasable_in_stock_260130_part10.sdf,mcule,705869,1.44
Princeton_Screeneng_032020-001.sdf,Princeton,520000,1.46
Princeton_Screeneng_032020-002.sdf,Princeton,520000,1.42
Princeton_Screeneng_032020-003.sdf,Princeton,492542,1.38
STK_Vitas_2026_03_PART1.sdf,STK-Vitas-M,474343,1.70
STK_Vitas_2026_03_PART2.sdf,STK-Vitas-M,474944,1.79
STK_Vitas_2026_03_PART3.sdf,STK-Vitas-M,439985,1.64
