mol_id,smiles,drugclip_score
HIT102410623,c1cncc([C@H]2N3CCC[N@H+]2CC3)c1,8.03366470336914
HIT106654695,CN(C)/C=C(\C#N)C=[N+](C)C,7.642786979675293
HIT211527259,CC(=O)/C(C)=C/N(C)C,7.564984321594238
HIT103013418,CN(C)/C=C/C=[N+](C)C,7.540597438812256
HIT105447036,CC(=O)/C=C/N(C)C,7.4892730712890625
HIT211257447,C[N+](C)(C)C/C=C1/COCO1,7.42844295501709
HIT104937517,C[NH+]1CCC([C@@H]2CC[NH2+]C2)CC1,7.406724452972412
HIT102894609,c1cnc2cc3c(cc2n1)[C@H]1C[NH2+]C[C@@H]3C1,7.3715081214904785
HIT106969098,Cc1ncc2c(n1)CC[N@@H+](C)C2,7.231876373291016
HIT104829491,C[NH+](C)CCC1CC[NH2+]CC1,7.229837894439697
HIT105170827,C[N+](C)(C)C/C=C/CBr,7.2094502449035645
HIT103379685,c1cncc([C@@H]2CCCC[NH2+]2)c1,7.18387508392334
HIT105347857,C=CC[N@+]1(C)[C@H]2CC[C@@H]1C[C@@H](O)C2,7.120647430419922
HIT104939092,C1CC(C2CC[NH2+]CC2)CC[NH2+]1,7.09616756439209
HIT102036562,C[N@@H+]1CCCC[C@H]1CBr,7.052577972412109
HIT106395731,C[NH+](C)CCCCC#N,7.0308308601379395
HIT105335600,C[NH+]1CCN([C@@H]2CC[NH2+]C2)CC1,7.015509605407715
HIT105974201,[NH3+]CCCCc1ccccn1,7.010942459106445
HIT101820327,C[N@H+]1CCC[C@]2(CCC[NH2+]C2)C1,7.0108866691589355
HIT104691485,c1cc(C2CC[NH2+]CC2)ccn1,6.972644805908203
HIT105810313,C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](O)C2,6.972164154052734
HIT107208850,Cc1c2cccn2cc[n+]1C,6.966440677642822
HIT101922433,c1cnc(N2CC[NH2+]CC2)cn1,6.947432518005371
HIT105771076,C[NH+](C)CC[C@@H]1CCCC[NH2+]1,6.94696569442749
HIT102769598,C[NH+](C)C1Cc2ccccc2C1,6.942026138305664
