family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z1741977105,7.294,-0.572,-0.295,0.429,-0.664,-0.612
Acceptor,Z1741977105,6.029,-1.951,-2.123,0.985,-0.049,0.167
Acceptor,Z1741977105,1.002,-0.154,-1.489,-0.667,-0.389,-0.635
PosIonizable,Z1741977105,-3.725,1.171,1.322,,,
Aromatic,Z1741977105,4.571,-0.184,-0.564,0.17,0.727,-0.665
Aromatic,Z1741977105,-6.299,-0.645,-0.858,-0.922,0.314,0.228
LumpedHydrophobe,Z1741977105,4.571,-0.184,-0.564,,,
LumpedHydrophobe,Z1741977105,-6.299,-0.645,-0.858,,,
Acceptor,Z1741977105,7.346,-0.985,0.007,0.704,-0.315,-0.636
Acceptor,Z1741977105,6.908,-1.696,-2.47,0.899,0.007,0.439
Acceptor,Z1741977105,1.569,-1.037,-2.808,-0.41,-0.261,-0.874
PosIonizable,Z1741977105,-3.564,0.719,1.18,,,
Aromatic,Z1741977105,4.749,-0.886,-0.934,0.144,0.944,-0.296
Aromatic,Z1741977105,-7.067,0.091,-0.06,-0.432,0.887,-0.16
LumpedHydrophobe,Z1741977105,4.749,-0.886,-0.934,,,
LumpedHydrophobe,Z1741977105,-7.067,0.091,-0.06,,,
Acceptor,Z4580714056,7.208,-1.071,0.138,0.683,-0.315,-0.659
Acceptor,Z4580714056,6.698,-1.716,-2.456,0.932,-0.073,0.354
Acceptor,Z4580714056,1.408,-0.814,-2.748,-0.432,-0.172,-0.885
PosIonizable,Z4580714056,-3.218,1.055,0.309,,,
Aromatic,Z4580714056,4.622,-0.859,-0.813,-0.177,-0.947,0.27
Aromatic,Z4580714056,-6.596,-0.227,0.137,-0.681,0.724,0.109
LumpedHydrophobe,Z4580714056,4.622,-0.859,-0.813,,,
LumpedHydrophobe,Z4580714056,-6.596,-0.227,0.137,,,
Acceptor,OSSM_117313,6.731,-1.264,-1.856,0.011,-0.463,-0.886
Acceptor,OSSM_117313,9.007,-1.297,-1.795,0.863,-0.248,-0.439
Acceptor,OSSM_117313,1.972,-1.118,-2.168,0.068,-0.274,-0.959
PosIonizable,OSSM_117313,0.673,0.257,-0.664,,,
PosIonizable,OSSM_117313,-3.255,1.02,0.726,,,
Aromatic,OSSM_117313,4.279,-0.564,-0.736,0.063,0.886,-0.46
Aromatic,OSSM_117313,-6.778,-0.154,-0.192,0.668,-0.407,-0.623
LumpedHydrophobe,OSSM_117313,4.279,-0.564,-0.736,,,
LumpedHydrophobe,OSSM_117313,-6.778,-0.154,-0.192,,,
Acceptor,STK614978,6.731,-1.264,-1.856,0.011,-0.463,-0.886
Acceptor,STK614978,9.007,-1.297,-1.795,0.863,-0.248,-0.439
Acceptor,STK614978,1.972,-1.118,-2.168,0.068,-0.274,-0.959
PosIonizable,STK614978,0.673,0.257,-0.664,,,
PosIonizable,STK614978,-3.255,1.02,0.726,,,
Aromatic,STK614978,4.279,-0.564,-0.736,0.063,0.886,-0.46
Aromatic,STK614978,-6.778,-0.154,-0.192,0.668,-0.407,-0.623
LumpedHydrophobe,STK614978,4.279,-0.564,-0.736,,,
LumpedHydrophobe,STK614978,-6.778,-0.154,-0.192,,,
Acceptor,Z8679812633,7.539,-0.949,-0.152,0.593,-0.49,-0.639
Acceptor,Z8679812633,6.764,-1.935,-2.447,0.939,-0.03,0.343
Acceptor,Z8679812633,1.541,-0.667,-2.416,-0.51,-0.308,-0.803
PosIonizable,Z8679812633,-3.707,0.716,0.566,,,
Aromatic,Z8679812633,-7.101,-0.002,-0.012,-0.523,0.853,-0.006
Aromatic,Z8679812633,4.882,-0.665,-0.859,0.212,0.87,-0.445
LumpedHydrophobe,Z8679812633,4.882,-0.665,-0.859,,,
Acceptor,Z4493401842,7.456,-1.037,-0.035,0.686,-0.304,-0.661
Acceptor,Z4493401842,6.943,-1.748,-2.499,0.912,0.01,0.41
Acceptor,Z4493401842,1.61,-1.011,-2.7,-0.422,-0.174,-0.89
Acceptor,Z4493401842,-6.717,-0.657,-0.486,0.9,-0.37,-0.232
PosIonizable,Z4493401842,-3.291,1.369,1.305,,,
Aromatic,Z4493401842,4.831,-0.944,-0.895,-0.132,-0.945,0.3
Aromatic,Z4493401842,-7.979,-0.147,-0.176,-0.061,0.397,-0.916
LumpedHydrophobe,Z4493401842,4.831,-0.944,-0.895,,,
Acceptor,Z4493402112,7.551,-0.964,-0.143,0.601,-0.469,-0.648
Acceptor,Z4493402112,6.796,-1.911,-2.461,0.938,-0.028,0.346
Acceptor,Z4493402112,1.558,-0.7,-2.423,-0.506,-0.305,-0.807
Acceptor,Z4493402112,-6.683,0.434,-1.209,0.429,0.287,-0.856
PosIonizable,Z4493402112,-3.677,0.74,0.61,,,
Aromatic,Z4493402112,4.895,-0.688,-0.858,0.206,0.88,-0.427
Aromatic,Z4493402112,-7.295,0.027,-0.018,0.504,-0.863,-0.035
LumpedHydrophobe,Z4493402112,4.895,-0.688,-0.858,,,
Acceptor,STK601271,4.032,0.601,1.681,-0.896,0.17,0.41
Acceptor,STK601271,5.057,1.361,3.564,-0.079,0.38,0.922
Acceptor,STK601271,1.829,-0.913,-2.326,0.063,-0.195,-0.979
PosIonizable,STK601271,0.523,0.299,-0.686,,,
PosIonizable,STK601271,-3.382,0.947,0.752,,,
Aromatic,STK601271,4.149,-0.434,-0.899,0.044,0.926,-0.374
Aromatic,STK601271,-6.95,-0.186,-0.026,-0.645,0.46,0.61
LumpedHydrophobe,STK601271,4.149,-0.434,-0.899,,,
LumpedHydrophobe,STK601271,-6.95,-0.186,-0.026,,,
Acceptor,STK605378,6.747,-1.301,-1.825,0.029,-0.451,-0.892
Acceptor,STK605378,9.036,-1.416,-1.655,0.879,-0.27,-0.392
Acceptor,STK605378,1.977,-1.098,-2.198,0.072,-0.272,-0.959
PosIonizable,STK605378,0.662,0.254,-0.687,,,
PosIonizable,STK605378,-3.261,0.998,0.707,,,
Aromatic,STK605378,4.27,-0.548,-0.752,-0.075,-0.896,0.438
Aromatic,STK605378,-6.803,-0.152,-0.164,-0.656,0.411,0.632
LumpedHydrophobe,STK605378,4.27,-0.548,-0.752,,,
LumpedHydrophobe,STK605378,-6.803,-0.152,-0.164,,,
Acceptor,Z4493402195,7.25,-1.092,0.08,0.737,-0.236,-0.634
Acceptor,Z4493402195,6.914,-1.673,-2.447,0.881,-0.01,0.473
Acceptor,Z4493402195,1.588,-1.028,-2.956,-0.36,-0.129,-0.924
Acceptor,Z4493402195,-6.314,0.303,-0.866,0.483,0.278,-0.83
PosIonizable,Z4493402195,-3.585,1.282,1.039,,,
Aromatic,Z4493402195,4.685,-0.999,-0.945,-0.13,-0.962,0.238
Aromatic,Z4493402195,-6.998,-0.095,0.283,0.648,-0.751,0.126
LumpedHydrophobe,Z4493402195,4.685,-0.999,-0.945,,,
Acceptor,OSSM_114841,4.032,0.601,1.681,-0.896,0.17,0.41
Acceptor,OSSM_114841,5.057,1.361,3.564,-0.079,0.38,0.922
Acceptor,OSSM_114841,1.829,-0.913,-2.326,0.063,-0.195,-0.979
PosIonizable,OSSM_114841,0.523,0.299,-0.686,,,
PosIonizable,OSSM_114841,-3.382,0.947,0.752,,,
Aromatic,OSSM_114841,4.149,-0.434,-0.899,0.044,0.926,-0.374
Aromatic,OSSM_114841,-6.95,-0.186,-0.026,-0.645,0.46,0.61
LumpedHydrophobe,OSSM_114841,4.149,-0.434,-0.899,,,
LumpedHydrophobe,OSSM_114841,-6.95,-0.186,-0.026,,,
Donor,STK616659,7.791,-2.075,-0.033,-0.491,0.357,-0.794
Acceptor,STK616659,2.108,-1.101,-2.314,0.213,-0.71,-0.671
Acceptor,STK616659,-0.103,-1.479,-2.619,-0.718,-0.494,-0.49
Acceptor,STK616659,6.796,-0.312,-1.902,0.195,-0.864,-0.463
Acceptor,STK616659,7.791,-2.075,-0.033,0.183,-0.631,-0.754
PosIonizable,STK616659,7.731,1.13,-0.186,,,
Aromatic,STK616659,-2.033,-1.321,1.51,0.932,-0.141,0.335
Aromatic,STK616659,4.205,0.293,-1.133,-0.059,0.711,-0.701
LumpedHydrophobe,STK616659,-2.033,-1.321,1.51,,,
LumpedHydrophobe,STK616659,4.205,0.293,-1.133,,,
Acceptor,OSSM_025582,6.764,-1.313,-1.807,0.034,-0.435,-0.9
Acceptor,OSSM_025582,9.036,-1.486,-1.594,0.88,-0.293,-0.374
Acceptor,OSSM_025582,2.014,-1.114,-2.217,0.077,-0.245,-0.967
PosIonizable,OSSM_025582,0.645,0.201,-0.699,,,
PosIonizable,OSSM_025582,-3.322,0.965,0.611,,,
Aromatic,OSSM_025582,4.294,-0.557,-0.752,-0.074,-0.898,0.435
Aromatic,OSSM_025582,-6.857,-0.132,-0.102,-0.504,0.105,0.857
LumpedHydrophobe,OSSM_025582,4.294,-0.557,-0.752,,,
LumpedHydrophobe,OSSM_025582,-6.857,-0.132,-0.102,,,
Donor,STK095172,1.239,0.783,2.925,,,
Acceptor,STK095172,7.288,-1.145,-0.104,0.476,-0.562,-0.677
Acceptor,STK095172,6.367,-1.649,-2.5,0.917,-0.244,0.315
Acceptor,STK095172,-0.808,0.805,3.962,-0.558,0.286,0.779
Acceptor,STK095172,-5.581,-1.415,-0.261,0.676,-0.732,-0.083
PosIonizable,STK095172,-3.202,1.008,0.798,,,
Aromatic,STK095172,4.719,-0.288,-0.723,-0.367,-0.87,0.328
Aromatic,STK095172,-6.538,-0.399,-0.15,-0.071,0.04,-0.997
LumpedHydrophobe,STK095172,4.719,-0.288,-0.723,,,
Acceptor,OSSM_168027,6.747,-1.301,-1.825,0.029,-0.451,-0.892
Acceptor,OSSM_168027,9.036,-1.416,-1.655,0.879,-0.27,-0.392
Acceptor,OSSM_168027,1.977,-1.098,-2.198,0.072,-0.272,-0.959
PosIonizable,OSSM_168027,0.662,0.254,-0.687,,,
PosIonizable,OSSM_168027,-3.261,0.998,0.707,,,
Aromatic,OSSM_168027,4.27,-0.548,-0.752,-0.075,-0.896,0.438
Aromatic,OSSM_168027,-6.803,-0.152,-0.164,-0.656,0.411,0.632
LumpedHydrophobe,OSSM_168027,4.27,-0.548,-0.752,,,
LumpedHydrophobe,OSSM_168027,-6.803,-0.152,-0.164,,,
Acceptor,Y511-6540,1.765,-0.402,-2.923,-0.537,-0.763,-0.359
Acceptor,Y511-6540,3.104,1.699,-3.291,0.388,0.688,-0.613
PosIonizable,Y511-6540,-1.32,1.029,-1.192,,,
PosIonizable,Y511-6540,-3.888,0.81,0.793,,,
Aromatic,Y511-6540,6.197,-2.368,0.164,0.584,0.012,-0.812
Aromatic,Y511-6540,4.947,-0.467,-0.707,-0.582,-0.011,0.813
LumpedHydrophobe,Y511-6540,6.197,-2.368,0.164,,,
LumpedHydrophobe,Y511-6540,4.947,-0.467,-0.707,,,
Donor,MCULE-5760115115,-0.868,2.932,-0.575,,,
Acceptor,MCULE-5760115115,-7.204,1.515,-0.055,0.287,0.958,-0.015
Acceptor,MCULE-5760115115,0.754,3.765,-1.983,0.345,0.751,-0.562
Acceptor,MCULE-5760115115,3.835,-1.813,-2.062,0.082,-0.967,-0.242
Acceptor,MCULE-5760115115,1.927,-1.163,-3.189,-0.773,-0.234,-0.59
PosIonizable,MCULE-5760115115,-4.068,0.647,1.108,,,
Aromatic,MCULE-5760115115,-7.615,0.182,-0.046,-0.634,0.2,0.747
Aromatic,MCULE-5760115115,5.348,-0.182,-0.449,-0.579,-0.241,0.779
LumpedHydrophobe,MCULE-5760115115,5.348,-0.182,-0.449,,,
Donor,Z85145044,10.286,4.373,-3.949,0.398,-0.884,0.244
Acceptor,Z85145044,8.531,5.793,-3.545,-0.393,0.919,-0.028
Acceptor,Z85145044,8.022,-1.122,-0.395,0.547,-0.237,0.803
Acceptor,Z85145044,7.219,-1.702,-2.671,-0.007,-0.638,-0.77
PosIonizable,Z85145044,14.167,5.715,-4.052,,,
Aromatic,Z85145044,4.159,-0.271,-0.611,-0.072,-0.972,0.223
LumpedHydrophobe,Z85145044,4.159,-0.271,-0.611,,,
Acceptor,Z4493401875,7.539,-0.969,-0.145,0.603,-0.44,-0.665
Acceptor,Z4493401875,6.78,-1.881,-2.475,0.937,-0.041,0.348
Acceptor,Z4493401875,1.529,-0.725,-2.383,-0.509,-0.298,-0.807
Acceptor,Z4493401875,-6.733,0.327,-1.167,0.313,0.215,-0.925
PosIonizable,Z4493401875,-3.723,0.692,0.588,,,
Aromatic,Z4493401875,-7.095,0.081,-0.061,-0.509,0.86,0.023
Aromatic,Z4493401875,4.877,-0.707,-0.838,0.195,0.89,-0.413
LumpedHydrophobe,Z4493401875,4.877,-0.707,-0.838,,,
Donor,MCULE-5121538438,-0.547,0.254,0.245,,,
Acceptor,MCULE-5121538438,1.518,-1.232,-2.5,-0.03,0.04,-0.999
Acceptor,MCULE-5121538438,-0.443,0.241,-3.811,0.005,0.017,-1.0
PosIonizable,MCULE-5121538438,-3.594,0.964,0.933,,,
PosIonizable,MCULE-5121538438,-7.806,0.616,1.548,,,
Aromatic,MCULE-5121538438,4.667,-0.317,-0.721,-0.671,0.563,0.483
LumpedHydrophobe,MCULE-5121538438,4.667,-0.317,-0.721,,,
Acceptor,STK597514,2.093,-0.799,-2.365,0.076,-0.481,-0.873
Acceptor,STK597514,-0.113,-0.458,-2.746,-0.78,-0.092,-0.619
Acceptor,STK597514,6.808,-1.332,-1.861,0.02,-0.664,-0.747
Acceptor,STK597514,10.285,-2.68,0.706,0.304,0.951,-0.06
PosIonizable,STK597514,7.943,-0.845,0.231,,,
Aromatic,STK597514,-2.2,-1.478,0.983,-0.809,0.585,0.054
Aromatic,STK597514,4.391,-0.423,-0.848,0.146,0.877,-0.458
LumpedHydrophobe,STK597514,-2.2,-1.478,0.983,,,
LumpedHydrophobe,STK597514,4.391,-0.423,-0.848,,,
Donor,Z90651290,-3.249,-3.134,0.315,-0.436,0.499,-0.749
Acceptor,Z90651290,1.49,1.409,-1.451,-0.204,0.978,0.043
Acceptor,Z90651290,1.503,-0.735,-2.731,-0.195,-0.503,-0.842
Acceptor,Z90651290,-1.261,-3.616,1.344,0.501,-0.33,0.8
PosIonizable,Z90651290,-5.748,-1.352,0.581,,,
Aromatic,Z90651290,4.854,-0.359,-0.586,-0.254,-0.795,0.55
LumpedHydrophobe,Z90651290,4.854,-0.359,-0.586,,,
LumpedHydrophobe,Z90651290,-7.142,-0.211,-0.074,,,
Donor,S420-0610,0.728,-0.635,-0.423,,,
Donor,S420-0610,7.607,1.169,0.676,,,
Acceptor,S420-0610,1.429,-0.963,-2.598,-0.215,-0.175,-0.961
Acceptor,S420-0610,7.937,-0.906,-0.265,0.616,-0.748,-0.247
PosIonizable,S420-0610,8.482,3.458,2.276,,,
Aromatic,S420-0610,4.424,-0.352,-0.664,0.102,-0.974,0.201
LumpedHydrophobe,S420-0610,4.424,-0.352,-0.664,,,
Donor,OSSM_165332,7.22,-1.306,-0.423,0.003,-0.076,-0.997
Acceptor,OSSM_165332,-2.652,-2.326,-2.015,0.065,-0.317,-0.946
