ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z1741977105,seed,0,-1,0,,True
Z1741977105,aligned,40,18,8,0.522,True
Z4580714056,aligned,40,27,8,0.540,True
OSSM_117313,aligned,40,29,7,0.579,True
STK614978,aligned,40,29,7,0.579,True
Z8679812633,aligned,40,23,7,0.466,True
Z4493401842,aligned,40,23,7,0.635,True
Z4493402112,aligned,40,26,7,0.471,True
STK601271,aligned,40,33,6,0.324,True
STK605378,aligned,40,26,7,0.560,True
Z4493402195,aligned,40,23,7,0.603,True
OSSM_114841,aligned,40,33,6,0.324,True
STK616659,aligned,39,16,5,1.075,True
OSSM_025582,aligned,40,13,7,0.556,True
STK095172,aligned,40,6,6,0.437,True
OSSM_168027,aligned,40,26,7,0.560,True
Y511-6540,aligned,40,29,4,0.528,True
MCULE-5760115115,aligned,40,17,5,0.784,True
Z85145044,aligned,40,23,4,1.047,True
Z4493401875,aligned,40,24,7,0.474,True
MCULE-5121538438,aligned,40,33,4,0.223,True
STK597514,aligned,40,28,4,0.613,True
Z90651290,aligned,21,7,4,0.319,True
S420-0610,aligned,40,5,4,0.367,True
OSSM_165332,aligned,39,12,4,0.364,True
MCULE-2169066108,aligned,40,32,6,1.236,True
Z1535677966,aligned,40,12,4,0.515,True
Z999693592,aligned,40,32,4,0.260,True
MCULE-7397041861,aligned,40,4,4,0.226,True
STL018562,aligned,29,8,4,0.609,True
MCULE-9416529564,aligned,40,1,6,1.212,True
Z4493402179,aligned,40,26,7,0.526,True
S420-0307,aligned,40,23,7,0.574,True
STK606127,aligned,40,13,7,0.556,True
STL349826,aligned,16,4,4,0.620,True
OSSM_359540,aligned,16,4,4,0.620,True
OSSM_029404,aligned,39,16,5,1.075,True
MCULE-7606492205,aligned,40,17,5,0.634,True
MCULE-9049988220,aligned,40,36,3,0.886,True
STK085425,aligned,40,2,7,0.465,True
STK589147,aligned,39,12,4,0.364,True
MCULE-6708544121,aligned,40,38,3,0.089,True
MCULE-2451548413,aligned,40,30,4,0.507,True
Z4244368765,aligned,40,20,4,1.188,True
Z4493402181,aligned,40,35,7,0.542,True
STK038806,aligned,40,4,6,0.413,True
MCULE-7731031692,aligned,40,3,4,0.221,True
MCULE-9960679025,aligned,40,26,4,0.227,True
STK614783,aligned,40,25,6,0.316,True
MCULE-2656552248,aligned,40,11,4,0.226,True
MCULE-4412719064,aligned,40,33,5,1.158,True
