family,ligand_id,x,y,z,cluster,kept
Acceptor,Z1741977105,7.346,-0.985,0.007,1,1
Acceptor,Z1741977105,6.908,-1.696,-2.47,1,1
Acceptor,Z1741977105,1.569,-1.037,-2.808,0,1
Acceptor,Z4580714056,7.208,-1.071,0.138,1,1
Acceptor,Z4580714056,6.699,-1.716,-2.456,1,1
Acceptor,Z4580714056,1.408,-0.814,-2.748,0,1
Acceptor,OSSM_117313,9.007,-1.297,-1.795,1,1
Acceptor,OSSM_117313,1.972,-1.118,-2.167,0,1
Acceptor,STK614978,9.007,-1.297,-1.795,1,1
Acceptor,STK614978,1.972,-1.118,-2.167,0,1
Acceptor,Z8679812633,7.539,-0.949,-0.152,1,1
Acceptor,Z8679812633,6.764,-1.935,-2.447,1,1
Acceptor,Z8679812633,1.541,-0.667,-2.416,0,1
Acceptor,Z4493401842,7.456,-1.037,-0.035,1,1
Acceptor,Z4493401842,6.943,-1.748,-2.499,1,1
Acceptor,Z4493401842,1.61,-1.011,-2.7,0,1
Acceptor,Z4493401842,-6.717,-0.657,-0.486,2,0
Acceptor,Z4493402112,7.551,-0.964,-0.143,1,1
Acceptor,Z4493402112,6.796,-1.911,-2.461,1,1
Acceptor,Z4493402112,1.558,-0.7,-2.423,0,1
Acceptor,Z4493402112,-6.683,0.434,-1.209,2,0
Acceptor,STK601271,5.057,1.361,3.564,1,1
Acceptor,STK601271,1.829,-0.913,-2.326,0,1
Acceptor,STK605378,9.036,-1.416,-1.655,1,1
Acceptor,STK605378,1.977,-1.099,-2.198,0,1
Acceptor,Z4493402195,7.25,-1.092,0.08,1,1
Acceptor,Z4493402195,6.914,-1.673,-2.447,1,1
Acceptor,Z4493402195,1.588,-1.028,-2.955,0,1
Acceptor,Z4493402195,-6.314,0.303,-0.866,2,0
Acceptor,OSSM_114841,5.057,1.361,3.564,1,1
Acceptor,OSSM_114841,1.829,-0.913,-2.326,0,1
Acceptor,STK616659,-0.103,-1.479,-2.619,0,1
Acceptor,STK616659,6.796,-0.312,-1.902,1,1
Acceptor,STK616659,7.791,-2.075,-0.033,1,1
Acceptor,OSSM_025582,9.036,-1.486,-1.594,1,1
Acceptor,OSSM_025582,2.014,-1.113,-2.217,0,1
Acceptor,STK095172,7.288,-1.145,-0.104,1,1
Acceptor,STK095172,6.367,-1.649,-2.5,1,1
Acceptor,STK095172,-0.808,0.805,3.962,0,1
Acceptor,STK095172,-5.581,-1.415,-0.261,2,0
Acceptor,OSSM_168027,9.036,-1.416,-1.655,1,1
Acceptor,OSSM_168027,1.977,-1.099,-2.198,0,1
Acceptor,Y511-6540,1.765,-0.402,-2.923,0,1
Acceptor,Y511-6540,3.104,1.698,-3.291,0,1
Acceptor,MCULE-5760115115,-7.204,1.515,-0.055,2,0
Acceptor,MCULE-5760115115,0.754,3.765,-1.983,0,1
Acceptor,MCULE-5760115115,1.927,-1.163,-3.189,0,1
Acceptor,Z85145044,8.531,5.793,-3.546,3,0
Acceptor,Z85145044,8.022,-1.123,-0.395,1,1
Acceptor,Z85145044,7.219,-1.702,-2.671,1,1
Acceptor,Z4493401875,7.539,-0.969,-0.145,1,1
Acceptor,Z4493401875,6.779,-1.881,-2.475,1,1
Acceptor,Z4493401875,1.529,-0.725,-2.383,0,1
Acceptor,Z4493401875,-6.732,0.327,-1.167,2,0
Acceptor,MCULE-5121538438,1.518,-1.232,-2.5,0,1
Acceptor,MCULE-5121538438,-0.443,0.241,-3.811,0,1
Acceptor,STK597514,-0.113,-0.458,-2.746,0,1
Acceptor,STK597514,6.808,-1.332,-1.861,1,1
Acceptor,STK597514,10.285,-2.68,0.706,1,1
Acceptor,Z90651290,1.49,1.409,-1.45,0,1
Acceptor,Z90651290,1.503,-0.735,-2.731,0,1
Acceptor,Z90651290,-1.261,-3.616,1.344,0,1
Acceptor,S420-0610,1.429,-0.964,-2.598,0,1
Acceptor,S420-0610,7.937,-0.906,-0.265,1,1
Acceptor,OSSM_165332,-4.73,-3.213,-1.858,2,0
Acceptor,OSSM_165332,1.813,-0.707,-2.438,0,1
Acceptor,OSSM_165332,7.221,-1.306,-0.423,1,1
Acceptor,MCULE-2169066108,6.149,-2.191,-1.644,1,1
Acceptor,MCULE-2169066108,1.778,-0.062,-3.104,0,1
Acceptor,MCULE-2169066108,-0.121,-2.087,-3.256,0,1
Acceptor,MCULE-2169066108,7.485,-0.378,-0.214,1,1
Acceptor,Z1535677966,2.704,2.41,2.733,0,1
Acceptor,Z1535677966,3.613,2.245,-0.98,0,1
Acceptor,Z1535677966,5.68,3.818,1.649,1,1
Acceptor,Z999693592,7.463,-0.948,-0.039,1,1
Acceptor,Z999693592,1.197,2.819,1.987,0,1
Acceptor,MCULE-7397041861,1.513,-1.23,-2.512,0,1
Acceptor,MCULE-7397041861,-0.528,0.117,-3.843,0,1
Acceptor,STL018562,7.747,-1.439,-0.345,1,1
Acceptor,STL018562,1.381,-0.588,-2.119,0,1
Acceptor,MCULE-9416529564,6.156,-2.187,-1.653,1,1
Acceptor,MCULE-9416529564,1.772,-0.079,-3.101,0,1
Acceptor,MCULE-9416529564,-0.177,-2.05,-3.32,0,1
Acceptor,MCULE-9416529564,7.461,-0.386,-0.18,1,1
Acceptor,Z4493402179,7.59,-1.04,-0.139,1,1
Acceptor,Z4493402179,6.809,-1.866,-2.494,1,1
Acceptor,Z4493402179,1.56,-0.714,-2.31,0,1
Acceptor,Z4493402179,-8.052,-1.132,0.58,2,0
Acceptor,S420-0307,7.643,-1.051,-0.113,1,1
Acceptor,S420-0307,1.171,-0.806,-2.631,0,1
Acceptor,STK606127,9.036,-1.486,-1.594,1,1
Acceptor,STK606127,2.014,-1.113,-2.217,0,1
Acceptor,STL349826,-0.103,-0.44,-2.762,0,1
Acceptor,STL349826,6.808,-1.343,-1.851,1,1
Acceptor,OSSM_359540,-0.103,-0.44,-2.762,0,1
Acceptor,OSSM_359540,6.808,-1.343,-1.851,1,1
Acceptor,OSSM_029404,-0.103,-1.479,-2.619,0,1
Acceptor,OSSM_029404,6.796,-0.312,-1.902,1,1
Acceptor,OSSM_029404,7.791,-2.075,-0.033,1,1
Acceptor,MCULE-7606492205,6.69,-2.436,-1.847,1,1
Acceptor,MCULE-7606492205,4.017,-2.12,-0.947,0,1
Acceptor,MCULE-7606492205,1.989,-1.032,-2.508,0,1
Acceptor,MCULE-9049988220,6.444,-1.879,-2.28,1,1
Acceptor,MCULE-9049988220,3.268,-2.352,-1.419,0,1
Acceptor,MCULE-9049988220,1.014,-1.157,-2.709,0,1
Acceptor,MCULE-9049988220,-5.743,2.563,-0.025,2,0
Acceptor,STK085425,6.55,-1.767,-2.514,1,1
Acceptor,STK085425,7.199,-1.017,-0.094,1,1
Acceptor,STK085425,-2.015,1.264,-2.235,0,1
Acceptor,STK589147,-4.73,-3.213,-1.858,2,0
Acceptor,STK589147,1.813,-0.707,-2.438,0,1
Acceptor,STK589147,7.221,-1.306,-0.423,1,1
Acceptor,MCULE-6708544121,-1.317,-2.276,0.313,0,1
Acceptor,MCULE-6708544121,0.128,0.122,0.741,0,1
Acceptor,MCULE-6708544121,2.858,0.33,1.244,0,1
Acceptor,MCULE-2451548413,10.786,0.031,-0.888,1,1
Acceptor,MCULE-2451548413,3.059,-2.204,-0.981,0,1
Acceptor,MCULE-2451548413,1.03,-1.287,-2.65,0,1
Acceptor,Z4244368765,-0.14,0.554,0.92,0,1
Acceptor,Z4244368765,7.096,-1.943,-2.447,1,1
Acceptor,Z4244368765,8.078,-1.464,-0.44,1,1
Acceptor,Z4493402181,7.33,-0.999,0.015,1,1
Acceptor,Z4493402181,6.896,-1.709,-2.464,1,1
Acceptor,Z4493402181,1.563,-1.003,-2.821,0,1
Acceptor,Z4493402181,-6.804,1.103,1.102,2,0
Acceptor,STK038806,6.465,-1.866,-2.412,1,1
Acceptor,STK038806,7.605,-0.968,-0.236,1,1
Acceptor,STK038806,0.236,-1.224,2.513,0,1
Acceptor,MCULE-7731031692,1.508,-1.222,-2.49,0,1
Acceptor,MCULE-7731031692,-0.525,0.129,-3.83,0,1
Acceptor,MCULE-9960679025,1.511,-1.23,-2.507,0,1
Acceptor,MCULE-9960679025,-0.546,0.073,-3.857,0,1
Acceptor,STK614783,5.096,1.353,3.587,1,1
Acceptor,STK614783,1.813,-0.909,-2.323,0,1
Acceptor,MCULE-2656552248,1.51,-1.23,-2.499,0,1
Acceptor,MCULE-2656552248,-0.499,0.152,-3.84,0,1
Acceptor,MCULE-4412719064,1.5,-1.254,-2.878,0,1
Acceptor,MCULE-4412719064,-0.657,0.333,-3.63,0,1
Acceptor,MCULE-4412719064,6.742,-1.576,0.236,1,1
PosIonizable,Z1741977105,-3.564,0.719,1.18,0,1
PosIonizable,Z4580714056,-3.218,1.055,0.309,0,1
PosIonizable,OSSM_117313,0.673,0.257,-0.664,0,1
PosIonizable,OSSM_117313,-3.255,1.02,0.726,0,1
PosIonizable,STK614978,0.673,0.257,-0.664,0,1
PosIonizable,STK614978,-3.255,1.02,0.726,0,1
PosIonizable,Z8679812633,-3.707,0.716,0.566,0,1
PosIonizable,Z4493401842,-3.291,1.369,1.305,0,1
PosIonizable,Z4493402112,-3.677,0.74,0.61,0,1
PosIonizable,STK601271,0.523,0.299,-0.686,0,1
PosIonizable,STK601271,-3.382,0.948,0.752,0,1
PosIonizable,STK605378,0.662,0.254,-0.687,0,1
PosIonizable,STK605378,-3.261,0.998,0.707,0,1
PosIonizable,Z4493402195,-3.585,1.282,1.039,0,1
PosIonizable,OSSM_114841,0.523,0.299,-0.686,0,1
PosIonizable,OSSM_114841,-3.382,0.948,0.752,0,1
PosIonizable,STK616659,7.731,1.13,-0.186,1,0
PosIonizable,OSSM_025582,0.645,0.201,-0.699,0,1
PosIonizable,OSSM_025582,-3.322,0.965,0.611,0,1
PosIonizable,STK095172,-3.202,1.008,0.798,0,1
PosIonizable,OSSM_168027,0.662,0.254,-0.687,0,1
PosIonizable,OSSM_168027,-3.261,0.998,0.707,0,1
PosIonizable,Y511-6540,-1.32,1.029,-1.192,0,1
PosIonizable,Y511-6540,-3.888,0.81,0.793,0,1
PosIonizable,MCULE-5760115115,-4.068,0.647,1.108,0,1
PosIonizable,Z85145044,14.166,5.715,-4.052,3,0
PosIonizable,Z4493401875,-3.723,0.692,0.588,0,1
PosIonizable,MCULE-5121538438,-3.594,0.964,0.933,0,1
PosIonizable,MCULE-5121538438,-7.806,0.616,1.548,0,1
PosIonizable,STK597514,7.944,-0.845,0.231,1,0
PosIonizable,Z90651290,-5.748,-1.352,0.581,0,1
PosIonizable,S420-0610,8.482,3.458,2.276,1,0
PosIonizable,OSSM_165332,3.067,0.033,-0.501,2,0
PosIonizable,MCULE-2169066108,-2.736,-0.572,1.633,0,1
PosIonizable,MCULE-2169066108,-7.019,-0.84,1.438,0,1
PosIonizable,Z1535677966,-5.876,0.295,0.781,0,1
PosIonizable,Z1535677966,-2.916,0.594,0.53,0,1
PosIonizable,Z999693592,-5.395,0.366,-0.141,0,1
PosIonizable,MCULE-7397041861,-3.589,0.966,0.943,0,1
PosIonizable,MCULE-7397041861,-7.488,2.171,-0.611,0,1
PosIonizable,STL018562,-4.25,0.761,0.493,0,1
PosIonizable,MCULE-9416529564,-2.745,-0.54,1.627,0,1
PosIonizable,MCULE-9416529564,-5.491,0.385,2.288,0,1
PosIonizable,Z4493402179,-3.72,0.791,0.326,0,1
PosIonizable,S420-0307,-3.076,1.399,0.38,0,1
PosIonizable,STK606127,0.645,0.201,-0.699,0,1
PosIonizable,STK606127,-3.322,0.965,0.611,0,1
PosIonizable,STL349826,7.939,-0.856,0.259,1,0
PosIonizable,OSSM_359540,7.939,-0.856,0.259,1,0
PosIonizable,OSSM_029404,7.731,1.13,-0.186,1,0
PosIonizable,MCULE-7606492205,-1.324,0.213,2.064,0,1
PosIonizable,MCULE-7606492205,-3.531,0.897,0.418,0,1
PosIonizable,MCULE-9049988220,-2.173,0.706,0.779,0,1
PosIonizable,STK085425,-3.394,0.625,1.418,0,1
PosIonizable,STK589147,3.067,0.033,-0.501,2,0
PosIonizable,MCULE-6708544121,4.252,-0.222,-4.297,2,0
PosIonizable,MCULE-2451548413,-3.727,0.968,0.913,0,1
PosIonizable,Z4244368765,-3.865,1.091,0.91,0,1
PosIonizable,Z4493402181,-3.563,0.809,1.157,0,1
PosIonizable,STK038806,-3.834,0.682,0.765,0,1
PosIonizable,MCULE-7731031692,-3.608,0.963,0.93,0,1
PosIonizable,MCULE-7731031692,-6.382,0.078,1.663,0,1
PosIonizable,MCULE-9960679025,-3.604,0.969,0.947,0,1
PosIonizable,MCULE-9960679025,-7.754,0.493,1.863,0,1
PosIonizable,STK614783,0.521,0.333,-0.711,0,1
PosIonizable,STK614783,-3.38,0.956,0.805,0,1
PosIonizable,MCULE-2656552248,-3.607,0.967,0.938,0,1
PosIonizable,MCULE-2656552248,-6.734,-0.991,3.035,0,1
PosIonizable,MCULE-4412719064,-2.597,0.934,1.772,0,1
PosIonizable,MCULE-4412719064,-6.865,0.845,2.101,0,1
Aromatic,Z1741977105,4.749,-0.886,-0.934,0,1
Aromatic,Z1741977105,-7.067,0.091,-0.06,1,1
Aromatic,Z4580714056,4.622,-0.859,-0.813,0,1
Aromatic,Z4580714056,-6.596,-0.227,0.137,1,1
Aromatic,OSSM_117313,6.718,-0.632,-0.608,0,1
Aromatic,OSSM_117313,4.279,-0.564,-0.736,0,1
Aromatic,OSSM_117313,-6.778,-0.154,-0.192,1,1
Aromatic,STK614978,6.718,-0.632,-0.608,0,1
Aromatic,STK614978,4.279,-0.564,-0.736,0,1
Aromatic,STK614978,-6.778,-0.154,-0.192,1,1
Aromatic,Z8679812633,-7.101,-0.002,-0.012,1,1
Aromatic,Z8679812633,4.882,-0.665,-0.859,0,1
Aromatic,Z4493401842,4.831,-0.944,-0.895,0,1
Aromatic,Z4493401842,-7.979,-0.147,-0.175,1,1
Aromatic,Z4493402112,4.895,-0.688,-0.857,0,1
Aromatic,Z4493402112,-7.295,0.027,-0.018,1,1
Aromatic,STK601271,5.286,0.339,1.116,0,1
Aromatic,STK601271,4.149,-0.434,-0.899,0,1
Aromatic,STK601271,-6.95,-0.186,-0.026,1,1
Aromatic,STK605378,6.7,-0.681,-0.58,0,1
Aromatic,STK605378,4.27,-0.548,-0.752,0,1
Aromatic,STK605378,-6.803,-0.152,-0.164,1,1
Aromatic,Z4493402195,4.685,-0.999,-0.945,0,1
Aromatic,Z4493402195,-6.998,-0.095,0.283,1,1
Aromatic,OSSM_114841,5.286,0.339,1.116,0,1
Aromatic,OSSM_114841,4.149,-0.434,-0.899,0,1
Aromatic,OSSM_114841,-6.95,-0.186,-0.026,1,1
Aromatic,STK616659,-2.033,-1.321,1.51,1,1
Aromatic,STK616659,1.806,-0.131,-1.352,0,1
Aromatic,STK616659,4.205,0.293,-1.133,0,1
Aromatic,OSSM_025582,6.722,-0.693,-0.55,0,1
Aromatic,OSSM_025582,4.294,-0.557,-0.752,0,1
Aromatic,OSSM_025582,-6.857,-0.132,-0.102,1,1
Aromatic,STK095172,4.719,-0.288,-0.723,0,1
Aromatic,STK095172,-6.538,-0.399,-0.15,1,1
