family,ligand_id,x,y,z,dx,dy,dz
Donor,Z52665462,2.086,-2.803,0.408,-0.179,-0.752,-0.635
Acceptor,Z52665462,5.453,-0.531,-1.928,0.241,0.957,0.164
Acceptor,Z52665462,3.99,-2.238,-1.505,-0.284,-0.951,-0.12
Acceptor,Z52665462,0.755,-1.32,1.612,-0.527,-0.787,0.322
Acceptor,Z52665462,1.071,1.065,1.669,-0.25,0.91,0.329
Acceptor,Z52665462,-5.747,1.7,-0.776,0.541,0.816,0.204
Acceptor,Z52665462,-6.025,-0.639,-0.685,0.336,-0.902,0.271
PosIonizable,Z52665462,-2.102,0.213,2.343,,,
Aromatic,Z52665462,2.959,0.685,0.08,0.631,-0.111,0.768
Aromatic,Z52665462,1.437,-0.23,1.201,-0.626,0.099,-0.773
Aromatic,Z52665462,-6.488,0.59,-1.058,0.47,-0.09,-0.878
Donor,Z52665462,2.7,-2.851,0.376,0.217,-0.8,-0.559
Acceptor,Z52665462,6.216,-0.015,-0.875,-0.052,0.996,0.069
Acceptor,Z52665462,5.057,-1.986,-0.781,-0.026,-0.998,-0.064
Acceptor,Z52665462,0.73,-1.65,0.685,-0.446,-0.864,0.234
Acceptor,Z52665462,0.518,0.733,0.426,-0.537,0.843,0.042
Acceptor,Z52665462,-7.098,0.276,0.179,-0.004,-0.997,0.076
Acceptor,Z52665462,-6.017,2.265,-0.465,0.792,0.465,-0.396
PosIonizable,Z52665462,-2.346,-1.018,-0.009,,,
Aromatic,Z52665462,2.929,0.706,-0.229,0.269,0.119,0.956
Aromatic,Z52665462,1.291,-0.463,0.375,-0.256,-0.13,-0.958
Aromatic,Z52665462,-7.098,1.635,0.075,-0.413,-0.07,-0.908
Acceptor,STL121594,0.252,1.171,0.488,0.614,0.674,-0.41
Acceptor,STL121594,-0.903,-3.106,2.274,-0.723,-0.537,0.435
Acceptor,STL121594,5.544,1.045,-1.312,0.794,0.12,0.596
PosIonizable,STL121594,-2.707,-0.107,1.888,,,
Aromatic,STL121594,0.113,-2.361,1.665,0.318,0.302,0.899
Aromatic,STL121594,3.354,-0.254,-0.218,-0.455,0.881,0.132
LumpedHydrophobe,STL121594,3.354,-0.254,-0.218,,,
LumpedHydrophobe,STL121594,7.173,2.986,-4.72,,,
Donor,STL354617,2.778,-3.006,0.35,-0.105,-0.847,-0.52
Donor,STL354617,-3.731,1.686,0.469,0.535,-0.159,0.83
Acceptor,STL354617,4.934,-1.868,-0.915,-0.675,-0.72,-0.161
Acceptor,STL354617,5.244,0.298,-0.201,0.582,0.795,0.171
Acceptor,STL354617,1.094,0.718,-0.184,-0.45,0.888,-0.094
Acceptor,STL354617,0.947,-1.617,0.25,-0.566,-0.793,0.226
Acceptor,STL354617,-3.728,1.551,-1.859,-0.459,0.06,-0.886
Acceptor,STL354617,-5.966,2.238,-0.263,0.188,-0.035,-0.981
Aromatic,STL354617,-6.17,2.277,0.947,0.236,0.972,0.007
Aromatic,STL354617,1.705,-0.518,-0.049,0.129,0.171,0.977
Aromatic,STL354617,-9.516,3.042,-1.233,0.35,0.909,-0.228
LumpedHydrophobe,STL354617,-9.516,3.042,-1.233,,,
Acceptor,OSSL_976990,0.252,1.171,0.488,0.614,0.674,-0.41
Acceptor,OSSL_976990,-0.903,-3.106,2.274,-0.723,-0.537,0.435
Acceptor,OSSL_976990,5.544,1.045,-1.312,0.794,0.12,0.596
PosIonizable,OSSL_976990,-2.707,-0.107,1.888,,,
Aromatic,OSSL_976990,0.113,-2.361,1.665,0.318,0.302,0.899
Aromatic,OSSL_976990,3.354,-0.254,-0.218,-0.455,0.881,0.132
LumpedHydrophobe,OSSL_976990,3.354,-0.254,-0.218,,,
LumpedHydrophobe,OSSL_976990,7.173,2.986,-4.72,,,
Donor,Z114026980,-7.517,-0.453,2.642,-0.151,0.302,0.941
Donor,Z114026980,2.433,-2.84,0.159,0.3,-0.822,-0.485
Acceptor,Z114026980,-5.868,-0.529,0.919,-0.666,-0.093,-0.74
Acceptor,Z114026980,-4.497,-0.479,0.766,0.499,-0.047,-0.865
Acceptor,Z114026980,0.478,-1.577,0.18,-0.507,-0.851,0.136
Acceptor,Z114026980,0.388,0.813,-0.064,-0.511,0.859,-0.035
Acceptor,Z114026980,4.98,-2.043,-0.542,-0.044,-0.997,-0.06
Acceptor,Z114026980,6.195,-0.106,-0.474,-0.034,0.998,0.052
Aromatic,Z114026980,-5.082,-0.419,1.811,0.044,-0.996,0.083
Aromatic,Z114026980,2.87,0.713,-0.331,-0.116,-0.101,-0.988
Aromatic,Z114026980,1.121,-0.407,-0.013,-0.107,-0.108,-0.988
Acceptor,OSSL_150435,0.239,1.179,0.501,0.611,0.68,-0.405
Acceptor,OSSL_150435,-0.823,-3.007,2.535,-0.714,-0.525,0.463
Acceptor,OSSL_150435,5.544,1.022,-1.328,0.813,0.133,0.567
PosIonizable,OSSL_150435,-2.731,-0.127,1.848,,,
