ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z52665462,seed,0,-1,0,,True
Z52665462,aligned,40,30,11,0.811,True
STL121594,aligned,40,3,4,0.594,True
STL354617,aligned,40,8,8,0.891,True
OSSL_976990,aligned,40,3,4,0.594,True
Z114026980,aligned,40,2,8,0.739,True
OSSL_150435,aligned,40,26,4,0.570,True
D133-0020,aligned,40,39,7,0.689,True
Z52665806,aligned,40,33,10,0.973,True
STK397963,aligned,40,26,4,0.570,True
8020-4802,aligned,17,5,4,0.678,True
STL433508,aligned,17,5,4,0.678,True
STL334491,aligned,40,12,6,0.476,True
OSSL_150434,aligned,40,1,5,0.618,True
D718-0906,aligned,40,1,5,0.618,True
OSSM_318636,aligned,40,12,6,0.476,True
OSSL_404781,aligned,24,12,6,0.628,True
OSSL_673711,aligned,17,5,4,0.678,True
OSSL_656571,aligned,40,39,7,0.689,True
STK397962,aligned,40,1,5,0.618,True
OSSL_644910,aligned,24,11,8,0.826,True
8014-8754,aligned,24,11,8,0.826,True
MCULE-4640387766,aligned,40,1,5,0.627,True
D133-0013,aligned,40,33,7,0.541,True
STK772687,aligned,24,11,8,0.826,True
OSSL_958627,aligned,40,33,7,0.541,True
OSSL_410201,aligned,24,0,5,0.635,True
Z8759538851,aligned,38,35,7,1.214,True
STK871437,aligned,24,0,5,0.635,True
OSSM_285411,aligned,20,1,5,0.680,True
MCULE-1210523155,aligned,24,2,5,0.607,True
MCULE-6276722714,aligned,21,3,4,0.591,True
Z225700796,aligned,40,12,8,1.012,True
STK743878,aligned,40,39,7,0.689,True
STL354769,aligned,40,31,7,0.839,True
Z1770253642,aligned,40,36,10,0.824,True
Z52660414,aligned,40,17,9,0.789,True
F813-0016,aligned,40,37,6,1.097,True
STK651130,aligned,38,34,5,0.317,True
Y020-8586,aligned,15,3,4,0.481,True
OSSK_425691,aligned,25,7,6,0.466,True
STK926028,aligned,29,15,6,0.447,True
STL090776,aligned,40,2,5,1.273,True
8003-0356,aligned,16,10,6,0.795,True
F813-2356,aligned,40,33,6,1.141,True
STL354766,aligned,40,33,7,0.541,True
Y021-0832,aligned,22,21,4,0.590,True
OSSL_871702,aligned,22,21,4,0.590,True
STL436056,aligned,22,21,4,0.590,True
STL438604,aligned,20,1,5,0.680,True
STL167631,aligned,40,10,7,0.832,True
