family,ligand_id,x,y,z,cluster,kept
Donor,Z52665462,2.7,-2.851,0.376,0,1
Donor,STL121594,-2.382,-1.351,2.203,1,0
Donor,STL121594,-1.791,0.693,1.301,1,0
Donor,STL354617,2.778,-3.006,0.35,0,1
Donor,STL354617,-3.731,1.686,0.469,1,0
Donor,OSSL_976990,-2.382,-1.351,2.203,1,0
Donor,OSSL_976990,-1.791,0.693,1.301,1,0
Donor,Z114026980,-7.517,-0.453,2.642,1,0
Donor,Z114026980,2.433,-2.84,0.159,0,1
Donor,OSSL_150435,-2.36,-1.32,2.29,1,0
Donor,OSSL_150435,-1.83,0.65,1.207,1,0
Donor,D133-0020,2.2,-2.949,0.054,0,1
Donor,D133-0020,-4.196,-0.275,0.535,1,0
Donor,Z52665806,2.582,-2.83,0.222,0,1
Donor,STK397963,-2.36,-1.32,2.29,1,0
Donor,STK397963,-1.83,0.65,1.207,1,0
Donor,8020-4802,5.261,-1.69,-0.264,0,1
Donor,8020-4802,3.346,-2.898,0.194,0,1
Donor,STL433508,5.261,-1.69,-0.264,0,1
Donor,STL433508,3.346,-2.898,0.194,0,1
Donor,STL334491,2.771,-2.91,0.297,0,1
Donor,STL334491,-4.115,1.038,0.18,1,0
Donor,OSSL_150434,-2.429,-1.472,1.722,1,0
Donor,OSSL_150434,-1.799,0.569,0.839,1,0
Donor,D718-0906,-2.429,-1.472,1.722,1,0
Donor,D718-0906,-1.799,0.569,0.839,1,0
Donor,OSSM_318636,2.771,-2.91,0.297,0,1
Donor,OSSM_318636,-4.115,1.038,0.18,1,0
Donor,OSSL_404781,-0.993,0.239,0.738,1,0
Donor,OSSL_404781,1.869,-3.483,0.026,0,1
Donor,OSSL_673711,5.261,-1.69,-0.264,0,1
Donor,OSSL_673711,3.346,-2.898,0.194,0,1
Donor,OSSL_656571,2.2,-2.949,0.054,0,1
Donor,OSSL_656571,-4.196,-0.275,0.535,1,0
Donor,STK397962,-2.429,-1.472,1.722,1,0
Donor,STK397962,-1.799,0.569,0.839,1,0
Donor,OSSL_644910,2.346,-2.982,-0.666,0,1
Donor,OSSL_644910,-5.256,-2.472,0.72,1,0
Donor,8014-8754,2.346,-2.982,-0.666,0,1
Donor,8014-8754,-5.256,-2.472,0.72,1,0
Donor,MCULE-4640387766,-2.424,-1.483,1.723,1,0
Donor,MCULE-4640387766,-1.791,0.558,0.843,1,0
Donor,D133-0013,2.199,-2.989,-0.357,0,1
