family,ligand_id,x,y,z,dx,dy,dz
Donor,Z1262591397,-1.1,-2.239,-0.932,-0.995,-0.059,-0.08
Donor,Z1262591397,4.221,1.223,-0.586,0.306,-0.116,-0.945
Acceptor,Z1262591397,-1.1,-2.239,-0.932,-0.149,-0.733,-0.664
Acceptor,Z1262591397,4.221,1.223,-0.586,0.897,0.431,-0.097
PosIonizable,Z1262591397,-3.333,-0.799,-0.058,,,
Aromatic,Z1262591397,1.748,0.037,-0.304,-0.443,0.871,-0.212
LumpedHydrophobe,Z1262591397,1.748,0.037,-0.304,,,
Donor,Z1262591397,-1.197,-2.135,-0.893,-0.97,-0.178,-0.165
Donor,Z1262591397,4.369,0.904,-0.852,0.113,0.801,-0.588
Acceptor,Z1262591397,-1.197,-2.135,-0.893,-0.083,-0.995,0.056
Acceptor,Z1262591397,4.369,0.904,-0.852,0.958,0.285,0.028
PosIonizable,Z1262591397,-3.239,-0.583,0.277,,,
Aromatic,Z1262591397,1.73,0.108,-0.921,-0.194,0.574,0.796
LumpedHydrophobe,Z1262591397,1.73,0.108,-0.921,,,
Donor,FCG2447674341,4.146,1.151,-0.697,0.621,0.283,-0.731
Acceptor,FCG2447674341,4.146,1.151,-0.697,0.746,0.527,0.406
PosIonizable,FCG2447674341,-3.29,-0.237,0.775,,,
PosIonizable,FCG2447674341,-1.254,-1.72,-0.656,,,
Aromatic,FCG2447674341,2.074,-0.308,-1.768,-0.518,0.842,-0.152
LumpedHydrophobe,FCG2447674341,2.074,-0.308,-1.768,,,
Donor,Z3324923673,4.165,1.165,-0.71,0.647,0.214,-0.732
Acceptor,Z3324923673,2.695,2.105,-2.82,0.848,0.432,0.307
Acceptor,Z3324923673,4.165,1.165,-0.71,0.842,0.466,0.271
PosIonizable,Z3324923673,-3.019,-0.435,0.433,,,
Aromatic,Z3324923673,1.811,-0.139,-1.468,0.523,-0.581,-0.623
LumpedHydrophobe,Z3324923673,1.811,-0.139,-1.468,,,
Donor,Z295456854,-1.662,-2.399,-0.605,-0.203,-0.784,0.586
Donor,Z295456854,4.449,0.972,-0.845,0.401,0.781,-0.479
Acceptor,Z295456854,-1.662,-2.399,-0.605,-0.131,-0.802,-0.583
Acceptor,Z295456854,4.449,0.972,-0.845,0.987,0.089,0.135
PosIonizable,Z295456854,-3.257,-0.039,-0.784,,,
Aromatic,Z295456854,1.733,0.7,-1.225,0.109,0.252,-0.962
