ligand_id,source,n_conformers,conformer,n_matched,rmsd,aligned
Z1262591397,seed,0,-1,0,,True
Z1262591397,aligned,26,4,7,0.634,True
FCG2447674341,aligned,26,0,5,0.381,True
Z3324923673,aligned,19,11,5,0.136,True
Z295456854,aligned,9,0,7,0.837,True
Z2301287926,aligned,40,22,7,0.551,True
Z56836691,aligned,40,10,7,0.314,True
OSSL_962902,aligned,40,3,7,0.312,True
STL377784,aligned,40,3,7,0.312,True
STK618645,aligned,29,7,7,0.439,True
Z1815149210,aligned,17,1,5,0.317,True
OSSL_882694,aligned,29,7,7,0.439,True
FCG2447641612,aligned,40,34,5,0.281,True
Z2752645466,aligned,19,5,5,0.236,True
Z4119887033,aligned,12,10,5,0.302,True
Z955123630,aligned,31,1,7,0.325,True
FCG928091505,aligned,13,11,6,0.851,True
Z1259339888,aligned,38,31,7,0.921,True
Z3071621361,aligned,40,21,7,0.414,True
Z203038576,aligned,8,6,7,0.926,True
FCG928091521,aligned,14,10,6,0.368,True
FCG3364299245,aligned,24,21,5,0.402,True
Z3498594783,aligned,40,29,7,0.963,True
STK759203,aligned,14,13,6,0.722,True
Z1198155517,aligned,40,9,7,0.309,True
OSSL_478049,aligned,3,2,5,0.292,True
OSSL_312470,aligned,16,5,7,0.475,True
STK803113,aligned,16,5,7,0.475,True
FCG2445467333,aligned,27,15,5,0.402,True
Z3221821579,aligned,22,20,6,0.550,True
FCG928091315,aligned,24,0,6,0.518,True
Z1556051334,aligned,37,5,7,0.316,True
OSSM_129722,aligned,14,13,6,0.722,True
Z4971220652,aligned,16,6,5,0.334,True
Z9108933277,aligned,40,26,5,0.492,True
Z220327456,aligned,12,7,5,0.225,True
FCG3364299252,aligned,40,36,6,1.141,True
Z1262658266,aligned,12,10,5,0.284,True
Z2050038784,aligned,40,19,7,0.808,True
Z1741977143,aligned,20,4,7,0.590,True
Z57102382,aligned,6,5,5,0.580,True
OSSM_304587,aligned,28,11,7,0.497,True
FCG928091479,aligned,14,5,6,0.731,True
Z4437707719,aligned,14,13,5,0.311,True
Z3215375352,aligned,24,16,5,0.164,True
STL301903,aligned,28,11,7,0.497,True
Z2574937385,aligned,22,15,7,0.604,True
Z5219061923,aligned,40,18,5,0.404,True
Z4574899614,aligned,12,6,5,0.351,True
FCG928091309,aligned,29,10,5,0.279,True
FCG2435177302,aligned,25,1,6,0.397,True
